cell,fabric,gid,arm,seed,final_acl,max_chain,cl_acc,cl_rev,wall
K100,Z12,,s372,0,7.79,10,0,0,15.0
K100,Z12,,s372,1,7.79,10,0,0,16.7
K100,Z12,,s372,2,7.79,10,0,0,18.3
K100,Z12,,s373,0,7.79,10,0,0,15.4
K100,Z12,,s373,1,7.79,10,0,0,17.3
K100,Z12,,s373,2,7.79,10,0,0,18.4
K140,Z12,,s372,0,10.521,12,0,0,50.6
K140,Z12,,s372,1,10.521,12,0,0,51.8
K140,Z12,,s372,2,10.521,12,0,0,53.8
K140,Z12,,s373,0,10.521,12,0,0,50.5
K140,Z12,,s373,1,10.521,12,0,0,51.0
K140,Z12,,s373,2,10.521,12,0,0,52.8
ER100_d10,Z12,,s372,0,4.81,9,3,15,3.7
ER100_d10,Z12,,s372,1,4.93,10,3,15,3.8
ER100_d10,Z12,,s372,2,4.72,9,3,15,3.1
ER100_d10,Z12,,s373,0,4.68,8,26,57,6.8
ER100_d10,Z12,,s373,1,4.78,8,26,57,5.9
ER100_d10,Z12,,s373,2,4.97,9,26,57,4.3
turan_n162,Z12,2647,s372,0,6.741,8,14,19,28.4
turan_n162,Z12,2647,s372,1,6.772,8,8,15,26.4
turan_n162,Z12,2647,s372,2,6.747,8,14,19,28.0
turan_n162,Z12,2647,s372,3,6.735,8,14,19,32.6
turan_n162,Z12,2647,s372,4,6.728,8,14,19,29.9
turan_n162,Z12,2647,s372,5,6.796,8,8,15,43.2
turan_n162,Z12,2647,s372,6,6.784,8,14,19,49.0
turan_n162,Z12,2647,s372,7,6.235,7,8,15,39.1
turan_n162,Z12,2647,s372,8,6.796,8,8,15,60.9
turan_n162,Z12,2647,s372,9,6.747,8,14,19,27.2
turan_n162,Z12,2647,s373,0,6.772,8,8,61,37.7
turan_n162,Z12,2647,s373,1,6.772,8,10,100,31.1
turan_n162,Z12,2647,s373,2,6.802,8,8,61,41.9
turan_n162,Z12,2647,s373,3,7.0,8,8,61,36.2
turan_n162,Z12,2647,s373,4,7.0,8,8,61,35.6
turan_n162,Z12,2647,s373,5,6.772,8,10,100,56.2
turan_n162,Z12,2647,s373,6,6.753,8,8,61,37.8
turan_n162,Z12,2647,s373,7,6.778,8,10,100,30.2
turan_n162,Z12,2647,s373,8,6.772,8,10,100,46.5
turan_n162,Z12,2647,s373,9,6.5,7,8,61,61.8
spin_glass_n163,Z12,37309,s372,0,12.319,20,9,23,18.3
spin_glass_n163,Z12,37309,s372,1,12.307,20,9,23,18.3
spin_glass_n163,Z12,37309,s372,2,12.35,20,9,23,18.0
spin_glass_n163,Z12,37309,s373,0,12.006,17,7,99,22.4
spin_glass_n163,Z12,37309,s373,1,12.012,17,7,99,19.6
spin_glass_n163,Z12,37309,s373,2,12.031,16,7,99,26.1
regular_n316,Z12,13096,s372,0,2.725,6,22,31,5.9
regular_n316,Z12,13096,s372,1,2.845,7,22,31,5.7
regular_n316,Z12,13096,s372,2,2.946,7,22,31,5.1
regular_n316,Z12,13096,s373,0,2.813,7,37,197,9.7
regular_n316,Z12,13096,s373,1,2.693,6,37,197,10.2
regular_n316,Z12,13096,s373,2,2.864,7,37,197,9.7
ws_n486,Z12,17188,s372,0,2.753,9,56,177,19.1
ws_n486,Z12,17188,s372,1,2.811,10,56,177,19.6
ws_n486,Z12,17188,s372,2,2.78,9,56,177,19.1
ws_n486,Z12,17188,s373,0,2.712,10,71,601,32.3
ws_n486,Z12,17188,s373,1,2.679,9,71,602,32.6
ws_n486,Z12,17188,s373,2,2.576,8,71,612,32.5
K100,P16,,s372,0,12.68,20,0,0,24.7
K100,P16,,s372,1,13.27,20,0,0,60.9
K100,P16,,s372,2,13.61,21,0,0,22.5
K100,P16,,s373,0,12.68,20,0,0,23.9
K100,P16,,s373,1,13.27,20,0,0,60.4
K100,P16,,s373,2,13.61,21,0,0,23.0
turan_n162,P16,2647,s372,0,8.58,9,7,9,63.0
turan_n162,P16,2647,s372,1,8.765,10,7,9,48.2
turan_n162,P16,2647,s372,2,8.29,9,7,9,56.3
turan_n162,P16,2647,s373,0,7.815,8,4,91,45.9
turan_n162,P16,2647,s373,1,8.0,8,4,91,51.5
turan_n162,P16,2647,s373,2,8.0,8,4,91,60.2
ws_n486,P16,17188,s372,0,3.506,15,17,61,13.8
ws_n486,P16,17188,s372,1,3.539,15,7,37,12.0
ws_n486,P16,17188,s372,2,3.872,17,12,52,13.6
ws_n486,P16,17188,s373,0,3.652,15,49,158,13.7
ws_n486,P16,17188,s373,1,3.549,18,35,309,22.0
ws_n486,P16,17188,s373,2,3.794,19,35,309,31.3
grid_200,Z12,1590,s372,0,1.31,3,11,25,1.4
grid_200,Z12,1590,s372,1,1.445,3,11,25,1.3
grid_200,Z12,1590,s372,2,1.42,3,11,25,1.4
grid_200,Z12,1590,s373,0,1.455,3,25,147,3.0
grid_200,Z12,1590,s373,1,1.405,3,25,147,3.1
grid_200,Z12,1590,s373,2,1.37,3,25,147,3.0
grid_588,Z12,1612,s372,0,1.279,3,44,63,10.7
grid_588,Z12,1612,s372,1,1.31,3,44,63,10.9
grid_588,Z12,1612,s372,2,1.284,3,44,63,10.7
grid_588,Z12,1612,s373,0,1.301,3,126,513,31.5
grid_588,Z12,1612,s373,1,1.247,3,126,520,31.4
grid_588,Z12,1612,s373,2,1.287,3,126,518,31.5
honeycomb_200,Z12,32393,s372,0,1.91,3,11,11,2.1
honeycomb_200,Z12,32393,s372,1,2.125,4,11,11,1.7
honeycomb_200,Z12,32393,s372,2,1.825,3,11,11,2.2
honeycomb_200,Z12,32393,s373,0,1.915,4,13,28,2.6
honeycomb_200,Z12,32393,s373,1,1.775,3,13,28,3.0
honeycomb_200,Z12,32393,s373,2,1.73,3,13,28,3.0
honeycomb_600,Z12,32395,s372,0,1.187,3,40,96,15.4
honeycomb_600,Z12,32395,s372,1,1.168,2,61,107,13.6
honeycomb_600,Z12,32395,s372,2,1.262,3,41,97,11.9
honeycomb_600,Z12,32395,s373,0,1.29,3,59,463,29.9
honeycomb_600,Z12,32395,s373,1,1.267,3,99,563,30.9
honeycomb_600,Z12,32395,s373,2,1.27,3,114,559,31.3
triangular_lat_400,Z12,31888,s372,0,1.775,4,14,27,3.8
triangular_lat_400,Z12,31888,s372,1,1.742,4,14,27,4.2
triangular_lat_400,Z12,31888,s372,2,1.7,4,14,27,4.5
triangular_lat_400,Z12,31888,s373,0,1.71,4,32,164,10.2
triangular_lat_400,Z12,31888,s373,1,1.728,4,32,164,10.1
triangular_lat_400,Z12,31888,s373,2,1.705,4,32,164,10.7
king_graph_196,Z12,32622,s372,0,2.352,5,6,11,2.6
king_graph_196,Z12,32622,s372,1,2.76,6,6,11,2.1
king_graph_196,Z12,32622,s372,2,2.173,5,6,11,2.5
