target,cell,arm,seed,final_acl,time
Z12,K100,contract,0,13.09,60.5
Z12,K100,contract,1,10.82,60.3
Z12,K100,contract,2,10.7,60.2
Z12,K100,mm,0,10.04,50.5
Z12,K100,mm,1,10.71,32.8
Z12,K100,mm,2,10.08,44.7
Z12,K100,mm2,0,12.0,61.1
Z12,K100,mm2,1,10.78,60.1
Z12,K100,mm2,2,11.22,54.3
Z12,K140,contract,0,,47.6
Z12,K140,contract,1,,40.7
Z12,K140,contract,2,21.429,60.3
Z12,K140,mm,0,18.95,60.7
Z12,K140,mm,1,,68.6
Z12,K140,mm,2,17.593,61.2
Z12,K140,mm2,0,19.729,60.7
Z12,K140,mm2,1,19.214,61.2
Z12,K140,mm2,2,17.779,62.5
Z12,ER100_d10,contract,0,4.73,10.3
Z12,ER100_d10,contract,1,4.87,9.3
Z12,ER100_d10,contract,2,4.61,8.8
Z12,ER100_d10,mm,0,5.0,4.6
Z12,ER100_d10,mm,1,5.07,2.6
Z12,ER100_d10,mm,2,4.85,2.2
Z12,ER100_d10,mm2,0,4.64,5.6
Z12,ER100_d10,mm2,1,4.63,3.6
Z12,ER100_d10,mm2,2,5.32,2.8
Z12,turan_n162,contract,0,12.704,60.3
Z12,turan_n162,contract,1,13.494,61.9
Z12,turan_n162,contract,2,14.778,61.0
Z12,turan_n162,mm,0,10.543,31.2
Z12,turan_n162,mm,1,13.963,53.8
Z12,turan_n162,mm,2,11.537,54.3
Z12,turan_n162,mm2,0,13.228,61.2
Z12,turan_n162,mm2,1,9.599,30.5
Z12,turan_n162,mm2,2,10.154,23.9
Z12,spin_glass_n163,contract,0,,37.7
Z12,spin_glass_n163,contract,1,,36.4
Z12,spin_glass_n163,contract,2,,33.8
Z12,spin_glass_n163,mm,0,18.141,60.7
Z12,spin_glass_n163,mm,1,17.417,60.6
Z12,spin_glass_n163,mm,2,18.055,60.5
Z12,spin_glass_n163,mm2,0,17.387,60.8
Z12,spin_glass_n163,mm2,1,19.325,60.7
Z12,spin_glass_n163,mm2,2,,63.6
Z12,wsc_c3_sz32_n96,contract,0,4.104,11.5
Z12,wsc_c3_sz32_n96,contract,1,3.896,11.6
Z12,wsc_c3_sz32_n96,contract,2,4.052,9.5
Z12,wsc_c3_sz32_n96,mm,0,3.604,3.0
Z12,wsc_c3_sz32_n96,mm,1,3.781,4.1
Z12,wsc_c3_sz32_n96,mm,2,3.562,4.4
Z12,wsc_c3_sz32_n96,mm2,0,3.531,7.3
Z12,wsc_c3_sz32_n96,mm2,1,3.521,4.6
Z12,wsc_c3_sz32_n96,mm2,2,3.771,4.5
Z12,wsc_c3_sz64_n192,contract,0,7.651,48.8
Z12,wsc_c3_sz64_n192,contract,1,7.599,51.8
Z12,wsc_c3_sz64_n192,contract,2,7.635,41.4
Z12,wsc_c3_sz64_n192,mm,0,7.026,60.7
Z12,wsc_c3_sz64_n192,mm,1,7.651,44.4
Z12,wsc_c3_sz64_n192,mm,2,7.266,23.0
Z12,wsc_c3_sz64_n192,mm2,0,7.771,27.0
Z12,wsc_c3_sz64_n192,mm2,1,6.906,40.4
Z12,wsc_c3_sz64_n192,mm2,2,7.146,59.9
Z12,regular_n316,contract,0,3.472,11.9
Z12,regular_n316,contract,1,3.437,13.4
Z12,regular_n316,contract,2,3.345,11.0
Z12,regular_n316,mm,0,3.364,2.6
Z12,regular_n316,mm,1,3.411,2.7
Z12,regular_n316,mm,2,3.291,3.7
Z12,regular_n316,mm2,0,3.282,2.6
Z12,regular_n316,mm2,1,3.206,2.7
Z12,regular_n316,mm2,2,3.56,5.5
Z12,ws_n486,contract,0,3.101,27.4
Z12,ws_n486,contract,1,3.146,22.2
Z12,ws_n486,contract,2,3.099,25.0
Z12,ws_n486,mm,0,3.233,6.9
Z12,ws_n486,mm,1,3.173,6.4
Z12,ws_n486,mm,2,2.821,7.1
Z12,ws_n486,mm2,0,3.29,6.8
Z12,ws_n486,mm2,1,3.134,5.3
Z12,ws_n486,mm2,2,3.068,4.5
P16,K100,contract,0,13.76,32.2
P16,K100,contract,1,15.77,43.3
P16,K100,contract,2,14.87,61.9
P16,K140,contract,0,23.657,62.5
P16,K140,contract,1,19.821,61.6
P16,K140,contract,2,21.321,62.2
P16,ER100_d10,contract,0,6.3,9.0
P16,ER100_d10,contract,1,5.74,7.1
P16,ER100_d10,contract,2,5.81,11.4
P16,turan_n162,contract,0,8.605,63.2
P16,turan_n162,contract,1,9.599,59.3
P16,turan_n162,contract,2,9.0,61.0
P16,spin_glass_n163,contract,0,21.589,60.8
P16,spin_glass_n163,contract,1,23.006,60.8
P16,spin_glass_n163,contract,2,22.466,61.0
P16,wsc_c3_sz32_n96,contract,0,5.344,12.5
P16,wsc_c3_sz32_n96,contract,1,5.312,10.9
P16,wsc_c3_sz32_n96,contract,2,5.292,9.3
P16,wsc_c3_sz64_n192,contract,0,9.135,58.9
P16,wsc_c3_sz64_n192,contract,1,9.286,54.7
P16,wsc_c3_sz64_n192,contract,2,9.714,60.5
P16,regular_n316,contract,0,4.098,8.7
P16,regular_n316,contract,1,4.364,10.4
P16,regular_n316,contract,2,4.43,8.9
P16,ws_n486,contract,0,4.457,14.7
P16,ws_n486,contract,1,4.235,15.7
P16,ws_n486,contract,2,4.14,17.0
