cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,deficit,corner,cmiss,time
K100,Z12,,default,0,7.84,9,0.0,0.93,0,0,0,0,0,0,23.0,True,0,0,0,,25.4
K100,Z12,,default,1,7.84,9,0.0,0.93,0,0,0,0,0,0,23.0,True,0,0,0,,26.2
K100,Z12,,default,2,7.84,9,0.0,0.93,0,0,0,0,0,0,23.0,True,0,0,0,,26.7
K100,Z12,,conv,0,7.57,8,0.0,1.0,0,0,0,0,0,0,23.0,True,0,0,0,0,37.7
K100,Z12,,conv,1,7.58,8,0.0,0.93,0,0,0,0,0,0,23.0,True,0,0,0,0,40.3
K100,Z12,,conv,2,7.59,8,0.0,0.94,0,0,0,0,0,0,23.0,True,0,0,0,0,34.1
K140,Z12,,default,0,10.229,11,0.0,2.6,0,0,0,0,0,0,31.0,True,0,0,0,,63.6
K140,Z12,,default,1,10.229,11,0.0,2.55,0,0,0,0,0,0,31.0,True,0,0,0,,66.1
K140,Z12,,default,2,10.229,11,0.0,2.6,0,0,0,0,0,0,31.0,True,0,0,0,,61.7
K140,Z12,,conv,0,9.957,11,0.0,2.62,0,0,0,0,0,0,31.0,True,0,0,0,0,61.0
K140,Z12,,conv,1,9.957,11,0.0,2.7,0,0,0,0,0,0,31.0,True,0,0,0,0,63.4
K140,Z12,,conv,2,9.957,11,0.0,2.59,0,0,0,0,0,0,31.0,True,0,0,0,0,63.1
ER100_d10,Z12,,default,0,4.66,8,0.09,1.14,3,41,1,0,0,0,17.0,False,0,1,1,,60.0
ER100_d10,Z12,,default,1,5.06,9,0.08,1.07,3,41,1,0,0,0,17.0,False,0,1,1,,60.0
ER100_d10,Z12,,default,2,4.75,8,0.08,1.11,3,41,1,0,0,0,17.0,False,0,1,1,,60.0
ER100_d10,Z12,,conv,0,4.57,8,0.06,1.07,3,41,1,0,0,0,17.0,True,0,0,0,0,60.0
ER100_d10,Z12,,conv,1,4.85,8,0.06,1.08,3,41,1,0,0,0,17.0,True,0,0,0,0,60.0
ER100_d10,Z12,,conv,2,4.69,8,0.07,1.07,3,41,1,0,0,0,17.0,True,0,0,0,0,60.0
turan_n162,Z12,2647,default,0,6.0,6,0.0,8.4,20,87,1,0,0,0,24.0,True,0,0,0,,60.5
turan_n162,Z12,2647,default,1,6.0,6,0.0,8.41,19,128,3,0,0,0,28.0,False,0,30,0,,60.5
turan_n162,Z12,2647,default,2,6.0,6,0.0,8.37,20,87,1,0,0,0,24.0,True,0,0,0,,60.3
turan_n162,Z12,2647,default,3,6.0,6,0.0,8.39,20,87,1,0,0,0,24.0,True,0,0,0,,60.0
turan_n162,Z12,2647,default,4,6.0,6,0.0,8.3,20,87,1,0,0,0,24.0,True,0,0,0,,60.1
turan_n162,Z12,2647,default,5,6.0,6,0.0,8.38,19,128,3,0,0,0,28.0,False,0,30,0,,60.4
turan_n162,Z12,2647,default,6,6.0,6,0.0,8.8,20,87,1,0,0,0,24.0,True,0,0,0,,60.5
turan_n162,Z12,2647,default,7,6.0,6,0.0,9.07,19,128,3,0,0,0,28.0,False,0,30,0,,60.5
turan_n162,Z12,2647,default,8,6.0,6,0.0,8.74,19,128,3,0,0,0,28.0,False,0,30,0,,60.7
turan_n162,Z12,2647,default,9,6.0,6,0.0,8.43,20,87,1,0,0,0,24.0,True,0,0,0,,60.4
turan_n162,Z12,2647,conv,0,6.0,6,0.0,8.28,20,87,1,0,0,0,24.0,True,0,0,0,44,60.4
turan_n162,Z12,2647,conv,1,6.0,6,0.0,8.34,19,128,3,0,0,0,28.0,False,0,30,0,23,60.2
turan_n162,Z12,2647,conv,2,6.0,6,0.0,11.17,20,87,1,0,0,0,24.0,True,0,0,0,44,60.2
turan_n162,Z12,2647,conv,3,6.0,6,0.0,11.02,20,87,1,0,0,0,24.0,True,0,0,0,44,60.2
turan_n162,Z12,2647,conv,4,6.0,6,0.0,10.83,20,87,1,0,0,0,24.0,True,0,0,0,44,60.7
turan_n162,Z12,2647,conv,5,6.0,6,0.0,10.47,19,128,3,0,0,0,28.0,False,0,30,0,23,60.3
turan_n162,Z12,2647,conv,6,6.0,6,0.0,10.04,20,87,1,0,0,0,24.0,True,0,0,0,44,60.8
turan_n162,Z12,2647,conv,7,6.0,6,0.0,10.22,19,128,3,0,0,0,28.0,False,0,30,0,23,60.5
turan_n162,Z12,2647,conv,8,6.0,6,0.0,10.97,19,128,3,0,0,0,28.0,False,0,30,0,23,60.2
turan_n162,Z12,2647,conv,9,6.0,6,0.0,10.78,20,87,1,0,0,0,24.0,True,0,0,0,44,62.1
spin_glass_n163,Z12,37309,default,0,11.417,13,0.8,12.19,9,133,1,0,0,0,37.0,True,0,0,0,,48.6
