cell,arm,seed,final_acl,time,diag
K100,default,0,11.75,60.5,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.3007, 'extent_mean': 14.797, 'extent_max': 17.761, 'stride': 1}"
K100,default,1,12.67,49.8,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.2913, 'extent_mean': 14.957, 'extent_max': 17.81, 'stride': 1}"
K100,default,2,11.35,60.6,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.2958, 'extent_mean': 16.622, 'extent_max': 19.317, 'stride': 1}"
K100,courses,0,10.77,41.8,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.1856, 'extent_mean': 11.893, 'extent_max': 12.052, 'stride': 2}"
K100,courses,1,10.56,19.6,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.1877, 'extent_mean': 12.171, 'extent_max': 13.582, 'stride': 2}"
K100,courses,2,10.39,45.1,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.1945, 'extent_mean': 11.891, 'extent_max': 11.891, 'stride': 2}"
K100,courses_exact,0,10.77,43.2,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.185, 'extent_mean': 11.893, 'extent_max': 12.052, 'stride': 2, 'designated': '4947/4947'}"
K100,courses_exact,1,10.56,20.2,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.1849, 'extent_mean': 12.171, 'extent_max': 13.582, 'stride': 2, 'designated': '4947/4947'}"
K100,courses_exact,2,10.39,45.6,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.1817, 'extent_mean': 11.891, 'extent_max': 11.891, 'stride': 2, 'designated': '4947/4947'}"
K140,default,0,,67.5,
K140,default,1,,68.3,
K140,default,2,,68.4,
K140,courses,0,13.314,33.7,"{'assigned': 140, 'assigned_rows': 140, 'assigned_cols': 140, 'insert_reverts': 0, 'mono_time': 0.4629, 'extent_mean': 17.099, 'extent_max': 17.099, 'stride': 2}"
K140,courses,1,14.186,60.4,"{'assigned': 140, 'assigned_rows': 140, 'assigned_cols': 140, 'insert_reverts': 0, 'mono_time': 0.4532, 'extent_mean': 17.099, 'extent_max': 17.099, 'stride': 2}"
K140,courses,2,14.614,60.4,"{'assigned': 140, 'assigned_rows': 140, 'assigned_cols': 140, 'insert_reverts': 0, 'mono_time': 0.4583, 'extent_mean': 17.109, 'extent_max': 17.374, 'stride': 2}"
K140,courses_exact,0,14.043,62.0,"{'assigned': 140, 'assigned_rows': 140, 'assigned_cols': 140, 'insert_reverts': 0, 'mono_time': 0.4757, 'extent_mean': 17.099, 'extent_max': 17.099, 'stride': 2, 'designated': '9712/9715'}"
K140,courses_exact,1,14.657,60.2,"{'assigned': 140, 'assigned_rows': 140, 'assigned_cols': 140, 'insert_reverts': 0, 'mono_time': 0.4513, 'extent_mean': 17.099, 'extent_max': 17.099, 'stride': 2, 'designated': '9712/9715'}"
K140,courses_exact,2,14.0,61.9,"{'assigned': 140, 'assigned_rows': 140, 'assigned_cols': 140, 'insert_reverts': 0, 'mono_time': 0.4549, 'extent_mean': 17.101, 'extent_max': 17.266, 'stride': 2, 'designated': '9712/9715'}"
ER100_d10,default,0,4.86,4.1,"{'assigned': 65, 'assigned_rows': 24, 'assigned_cols': 61, 'insert_reverts': 0, 'mono_time': 0.0242, 'extent_mean': 9.24, 'extent_max': 17.733, 'stride': 1}"
ER100_d10,default,1,4.8,4.0,"{'assigned': 65, 'assigned_rows': 24, 'assigned_cols': 61, 'insert_reverts': 0, 'mono_time': 0.0241, 'extent_mean': 8.488, 'extent_max': 13.778, 'stride': 1}"
ER100_d10,default,2,4.76,4.5,"{'assigned': 65, 'assigned_rows': 24, 'assigned_cols': 61, 'insert_reverts': 0, 'mono_time': 0.0242, 'extent_mean': 8.85, 'extent_max': 16.862, 'stride': 1}"
