cell,fabric,gid,arm,seed,final_acl,max_chain,contract_steps,E_contract,stair_E,time
turan_n162,Z12,2647,default,0,6.772,8,,4304.0,2551.3,38.6
turan_n162,Z12,2647,default,1,6.772,8,,4304.0,2659.2,31.1
turan_n162,Z12,2647,default,2,6.802,8,,4304.0,2551.3,43.5
turan_n162,Z12,2647,cstable,0,6.0,6,50,3922.7,2692.6,21.0
turan_n162,Z12,2647,cstable,1,6.759,8,50,3922.7,2690.6,35.4
turan_n162,Z12,2647,cstable,2,6.0,6,50,3922.7,2692.6,21.6
K100,Z12,,default,0,7.79,10,,551.9,1169.0,14.8
K100,Z12,,default,1,7.79,10,,551.9,1169.0,18.2
K100,Z12,,default,2,7.79,10,,551.9,1169.0,18.9
K100,Z12,,cstable,0,8.08,9,50,364.0,1271.0,24.4
K100,Z12,,cstable,1,8.08,9,50,364.0,1271.0,24.2
K100,Z12,,cstable,2,8.06,9,50,364.0,1271.0,28.2
K140,Z12,,default,0,10.521,12,,981.3,2389.0,52.2
K140,Z12,,default,1,10.521,12,,981.3,2389.0,51.9
K140,Z12,,default,2,10.521,12,,981.3,2389.0,52.8
K140,Z12,,cstable,0,10.457,12,50,730.4,2383.0,56.0
K140,Z12,,cstable,1,10.464,12,50,730.4,2383.0,44.8
K140,Z12,,cstable,2,10.464,12,50,730.4,2383.0,51.0
spin_glass_n163,Z12,37309,default,0,12.006,17,,582.8,3060.5,22.6
spin_glass_n163,Z12,37309,default,1,12.012,17,,582.8,3060.5,20.3
spin_glass_n163,Z12,37309,default,2,12.031,16,,582.8,3060.5,26.3
spin_glass_n163,Z12,37309,cstable,0,11.761,18,50,161.3,3084.3,19.5
spin_glass_n163,Z12,37309,cstable,1,11.791,18,50,161.3,3084.3,19.1
spin_glass_n163,Z12,37309,cstable,2,11.834,15,50,161.3,3084.3,24.0
turan_n162,P16,2647,default,0,7.815,8,,1068.6,1631.1,47.5
turan_n162,P16,2647,default,1,8.0,8,,1068.6,1631.1,51.7
turan_n162,P16,2647,default,2,8.0,8,,1068.6,1631.1,59.1
turan_n162,P16,2647,cstable,0,8.5,9,25,217.2,1709.7,52.3
turan_n162,P16,2647,cstable,1,8.432,10,25,217.2,1709.7,28.5
turan_n162,P16,2647,cstable,2,8.142,9,25,217.2,1709.7,27.7
K100,P16,,default,0,12.68,20,,943.5,1014.9,25.4
K100,P16,,default,1,13.27,20,,943.5,1014.9,61.0
K100,P16,,default,2,13.61,21,,943.5,1014.9,23.3
K100,P16,,cstable,0,12.57,17,16,556.9,856.0,61.4
K100,P16,,cstable,1,14.63,22,16,556.9,856.0,60.6
K100,P16,,cstable,2,12.93,20,16,556.9,856.0,26.3
ws_n486,P16,17188,default,0,3.747,17,,453.6,467.3,22.1
ws_n486,P16,17188,default,1,3.967,19,,453.2,448.9,18.0
ws_n486,P16,17188,default,2,3.794,19,,453.6,467.3,31.1
ws_n486,P16,17188,cstable,0,3.922,15,32,232.8,217.3,11.7
ws_n486,P16,17188,cstable,1,3.576,14,32,235.4,217.0,9.6
ws_n486,P16,17188,cstable,2,4.043,17,32,232.8,217.3,12.8
