cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,lex,0,7.54,8,0.01,29.77,3,8|0|0,0.0,8,277,321,,,,,,,,23.0,True,0,0,0,True,65.9
K100,Z12,,lex,1,7.31,8,0.01,29.25,4,8|0|7|4,0.0,11,386,411,,,,,,,,23.0,True,0,0,0,True,61.7
K100,Z12,,lex,2,7.54,8,0.0,29.84,2,8|0,0.0,8,183,213,,,,,,,,23.0,True,0,0,0,True,60.9
K100,Z12,,plane-nocenter,0,7.26,8,0.0,29.83,8,153|36|3|1|3|1|3|1,,200,0,3851,1487,3,9.06,428,0,0,1152.0,23.0,True,0,0,0,True,60.5
K100,Z12,,plane-nocenter,1,7.26,8,0.0,29.79,5,153|36|3|1|2,,194,0,1956,847,3,8.74,428,0,0,1152.0,23.0,True,0,0,0,True,63.2
K100,Z12,,plane-nocenter,2,7.26,8,0.01,29.36,8,153|36|3|1|3|1|3|1,,200,0,3706,1410,3,7.66,428,0,0,1152.0,23.0,True,0,0,0,True,63.6
K100,Z12,,plane,0,7.26,8,0.0,29.83,6,153|36|3|1|3|1,,196,0,2721,1089,3,12.04,428,0,0,1152.0,23.0,True,0,0,0,True,64.6
K100,Z12,,plane,1,7.26,8,0.0,29.88,3,153|36|3,,191,0,1019,529,3,19.14,428,0,0,1152.0,23.0,True,0,0,0,True,63.2
K100,Z12,,plane,2,7.26,8,0.0,29.89,4,153|36|3|1,,192,0,1495,686,3,8.95,428,0,0,1152.0,23.0,True,0,0,0,True,63.6
K140,Z12,,lex,0,9.886,11,0.0,29.75,3,5|0|0,0.0,5,625,222,,,,,,,,32.0,True,0,0,0,True,75.7
K140,Z12,,lex,1,9.886,11,0.0,30.07,3,5|0|0,0.0,5,625,222,,,,,,,,32.0,True,0,0,0,True,70.6
K140,Z12,,lex,2,9.886,11,0.01,29.46,3,5|0|0,0.0,5,530,169,,,,,,,,32.0,True,0,0,0,True,77.2
K140,Z12,,plane-nocenter,0,9.914,11,0.01,29.87,1,260,,260,0,469,434,0,29.39,431,0,0,2332.0,34.0,True,0,0,0,True,64.8
K140,Z12,,plane-nocenter,1,9.764,10,0.0,29.97,2,274|33,,306,0,944,647,9,22.25,506,0,0,2314.0,34.0,True,0,0,0,True,74.6
K140,Z12,,plane-nocenter,2,9.764,10,0.01,29.92,2,274|34,,307,0,1343,866,9,21.62,506,0,0,2314.0,34.0,True,0,0,0,True,80.2
K140,Z12,,plane,0,9.764,10,0.0,30.02,3,274|34|36,,343,0,1542,974,9,14.76,506,0,0,2314.0,34.0,True,0,0,0,True,62.0
K140,Z12,,plane,1,9.764,10,0.01,29.88,2,274|34,,307,0,1346,869,9,20.04,506,0,0,2314.0,34.0,True,0,0,0,True,81.0
K140,Z12,,plane,2,9.764,10,0.01,29.81,3,274|34|8,,315,0,1388,897,9,16.54,506,0,0,2314.0,34.0,True,0,0,0,True,63.6
ER100_d10,Z12,,lex,0,4.73,8,0.13,29.65,10,58|36|15|6|2|1|0|56|18|4,0.0,71,2357,52,,,,,,,,17.0,True,0,0,6,False,60.0
