cell,arm,seed,final_acl,time
K60,template-raw,-1,6.733,0.0
K60,template-polish,0,6.683,3.3
K60,poisson,0,8.267,32.6
K60,budget,0,8.967,9.8
K60,mm-full,0,7.983,7.6
K60,template-polish,1,6.717,3.2
K60,poisson,1,9.033,27.0
K60,budget,1,7.75,29.9
K60,mm-full,1,7.333,10.6
K60,template-polish,2,6.7,3.2
K60,poisson,2,8.983,19.9
K60,budget,2,8.1,19.0
K60,mm-full,2,8.167,21.3
K100,template-raw,-1,9.78,0.0
K100,template-polish,0,9.77,18.8
K100,poisson,0,14.95,60.6
K100,budget,0,13.4,60.9
K100,mm-full,0,13.2,60.7
K100,template-polish,1,9.78,15.6
K100,poisson,1,14.63,61.4
K100,budget,1,14.23,61.7
K100,mm-full,1,13.96,61.3
K100,template-polish,2,9.78,15.9
K100,poisson,2,14.07,61.4
K100,budget,2,13.65,60.1
K100,mm-full,2,13.69,60.3
K140,template-raw,-1,13.171,0.0
K140,template-polish,0,13.171,42.1
K140,poisson,0,,69.9
K140,budget,0,,68.1
K140,mm-full,0,20.243,60.6
K140,template-polish,1,13.171,46.8
K140,poisson,1,,70.7
K140,budget,1,25.164,61.5
K140,mm-full,1,21.336,60.8
K140,template-polish,2,13.171,45.8
K140,poisson,2,,70.1
K140,budget,2,,72.3
K140,mm-full,2,20.579,61.1
biK48_96,template-raw,-1,6.208,0.0
biK48_96,template-polish,0,6.208,10.5
biK48_96,poisson,0,7.514,60.2
biK48_96,budget,0,7.417,50.5
biK48_96,mm-full,0,6.806,23.4
biK48_96,template-polish,1,6.208,10.3
biK48_96,poisson,1,7.667,62.5
biK48_96,budget,1,8.667,57.4
biK48_96,mm-full,1,6.806,14.3
biK48_96,template-polish,2,6.097,16.3
biK48_96,poisson,2,10.0,63.3
biK48_96,budget,2,9.0,61.3
biK48_96,mm-full,2,6.431,14.1
