cell,arm,seed,final_acl,geo_E,time
K100,base,0,10.58,1383.0,24.2
K100,base,1,9.92,1383.0,19.3
K100,base,2,9.55,1383.0,25.4
K100,invert,0,10.58,1383.0,23.6
K100,invert,1,9.92,1383.0,19.5
K100,invert,2,9.55,1383.0,25.9
K100,dshake,0,10.58,1383.0,23.9
K100,dshake,1,9.92,1383.0,19.7
K100,dshake,2,9.55,1383.0,25.5
K100,both,0,10.58,1383.0,24.3
K100,both,1,9.92,1383.0,19.4
K100,both,2,9.55,1383.0,26.0
K140,base,0,13.764,2788.0,32.0
K140,base,1,14.743,2788.0,62.3
K140,base,2,14.236,2788.0,60.5
K140,invert,0,13.857,2755.0,36.4
K140,invert,1,14.729,2755.0,28.9
K140,invert,2,15.993,2755.0,60.2
K140,dshake,0,13.764,2788.0,34.1
K140,dshake,1,14.743,2788.0,60.4
K140,dshake,2,14.014,2788.0,62.6
K140,both,0,13.857,2755.0,36.8
K140,both,1,14.729,2755.0,26.8
K140,both,2,15.993,2755.0,60.8
ER100_d10,base,0,4.62,66.3,4.4
ER100_d10,base,1,4.71,66.3,5.3
ER100_d10,base,2,4.76,66.3,3.3
ER100_d10,invert,0,4.78,50.6,2.9
ER100_d10,invert,1,5.03,50.6,3.0
ER100_d10,invert,2,4.74,50.6,3.6
ER100_d10,dshake,0,4.62,66.3,4.4
ER100_d10,dshake,1,4.71,66.3,5.3
ER100_d10,dshake,2,4.76,66.3,3.4
ER100_d10,both,0,4.78,50.6,2.9
ER100_d10,both,1,5.03,50.6,3.1
ER100_d10,both,2,4.74,50.6,3.6
turan_n162,base,0,8.481,2674.0,61.1
turan_n162,base,1,7.907,2674.0,60.4
turan_n162,base,2,6.704,2674.0,63.2
turan_n162,invert,0,8.481,2674.0,60.3
turan_n162,invert,1,7.907,2674.0,60.2
turan_n162,invert,2,6.704,2674.0,60.7
turan_n162,dshake,0,7.5,2671.0,60.9
turan_n162,dshake,1,6.5,2671.0,37.2
turan_n162,dshake,2,7.562,2671.0,26.9
turan_n162,both,0,7.593,2563.0,42.7
turan_n162,both,1,7.346,2563.0,60.7
turan_n162,both,2,7.204,2563.0,35.5
spin_glass_n163,base,0,13.558,3495.0,55.9
spin_glass_n163,base,1,15.196,3495.0,44.1
spin_glass_n163,base,2,13.89,3495.0,60.8
spin_glass_n163,invert,0,13.558,3495.0,55.6
spin_glass_n163,invert,1,15.196,3495.0,44.0
spin_glass_n163,invert,2,13.89,3495.0,60.1
spin_glass_n163,dshake,0,13.65,3504.0,37.0
spin_glass_n163,dshake,1,14.411,3504.0,54.9
spin_glass_n163,dshake,2,14.239,3504.0,27.6
spin_glass_n163,both,0,13.65,3504.0,36.6
spin_glass_n163,both,1,14.411,3504.0,54.9
spin_glass_n163,both,2,14.239,3504.0,27.5
