cell,arm,seed,final_acl,skips,deficit,time
K100,base,0,10.58,,,23.7
K100,base,1,9.92,,,19.4
K100,base,2,9.55,,,25.2
K100,dshake,0,10.58,,,24.1
K100,dshake,1,9.92,,,19.6
K100,dshake,2,9.55,,,25.6
K100,exact,0,8.75,1,0,31.0
K100,exact,1,8.73,1,0,36.3
K100,exact,2,8.71,1,0,36.8
K100,exact0,0,10.03,1,0,32.7
K100,exact0,1,10.27,1,0,22.4
K100,exact0,2,10.27,1,0,22.5
K100,exact4,0,8.75,1,0,31.6
K100,exact4,1,8.73,1,0,37.3
K100,exact4,2,8.71,1,0,38.1
K100,cover4,0,8.75,1,0,32.3
K100,cover4,1,8.73,1,0,36.5
K100,cover4,2,8.71,1,0,37.1
K140,base,0,13.764,,,35.2
K140,base,1,14.743,,,60.9
K140,base,2,14.014,,,61.8
K140,dshake,0,13.764,,,35.9
K140,dshake,1,14.743,,,62.5
K140,dshake,2,14.014,,,60.4
K140,exact,0,11.4,1,0,63.5
K140,exact,1,11.436,1,0,64.1
K140,exact,2,11.379,1,0,60.2
K140,exact0,0,12.886,1,0,61.6
K140,exact0,1,13.279,1,0,61.0
K140,exact0,2,13.293,1,0,60.4
K140,exact4,0,11.4,1,0,65.0
K140,exact4,1,11.436,1,0,64.8
K140,exact4,2,11.379,1,0,66.1
K140,cover4,0,11.4,1,0,64.8
K140,cover4,1,11.436,1,0,63.4
K140,cover4,2,11.379,1,0,67.1
ER100_d10,base,0,4.62,,,4.4
ER100_d10,base,1,4.71,,,5.3
ER100_d10,base,2,4.76,,,3.3
ER100_d10,dshake,0,4.62,,,4.4
ER100_d10,dshake,1,4.71,,,5.2
ER100_d10,dshake,2,4.76,,,3.3
ER100_d10,exact,0,4.51,0,363,5.4
ER100_d10,exact,1,4.58,0,363,4.6
ER100_d10,exact,2,5.19,0,363,3.3
ER100_d10,exact0,0,4.71,0,275,6.6
ER100_d10,exact0,1,5.0,0,275,4.9
ER100_d10,exact0,2,5.29,0,275,3.2
ER100_d10,exact4,0,4.72,0,363,4.1
ER100_d10,exact4,1,4.91,0,363,3.4
ER100_d10,exact4,2,4.56,0,363,5.3
ER100_d10,cover4,0,4.92,0,349,4.1
ER100_d10,cover4,1,4.76,0,349,4.4
ER100_d10,cover4,2,5.4,0,349,1.9
turan_n162,base,0,8.481,,,60.2
turan_n162,base,1,7.907,,,60.1
turan_n162,base,2,6.704,,,62.9
turan_n162,dshake,0,7.5,,,60.1
turan_n162,dshake,1,6.5,,,35.6
turan_n162,dshake,2,7.562,,,26.5
turan_n162,exact,0,9.025,0,729,40.7
turan_n162,exact,1,9.796,0,729,38.9
turan_n162,exact,2,9.512,0,729,37.2
turan_n162,exact0,0,9.444,1,0,62.1
turan_n162,exact0,1,8.778,1,0,39.9
turan_n162,exact0,2,8.772,1,0,47.1
turan_n162,exact4,0,9.025,0,729,41.6
turan_n162,exact4,1,9.796,0,729,38.6
turan_n162,exact4,2,9.512,0,729,37.7
turan_n162,cover4,0,8.5,1,0,35.9
turan_n162,cover4,1,8.302,1,0,60.0
turan_n162,cover4,2,8.5,1,0,39.1
spin_glass_n163,base,0,13.558,,,55.7
spin_glass_n163,base,1,15.196,,,44.7
spin_glass_n163,base,2,13.89,,,60.6
spin_glass_n163,dshake,0,13.65,,,36.5
spin_glass_n163,dshake,1,14.411,,,55.5
spin_glass_n163,dshake,2,14.239,,,27.5
spin_glass_n163,exact,0,12.534,0,10,19.9
spin_glass_n163,exact,1,12.521,0,10,15.5
spin_glass_n163,exact,2,12.479,0,10,18.1
spin_glass_n163,exact0,0,12.564,0,21,17.3
spin_glass_n163,exact0,1,12.626,0,21,15.4
spin_glass_n163,exact0,2,12.914,0,21,27.5
spin_glass_n163,exact4,0,12.534,0,10,20.1
spin_glass_n163,exact4,1,12.521,0,10,15.9
spin_glass_n163,exact4,2,12.479,0,10,18.5
spin_glass_n163,cover4,0,15.859,1,0,22.6
spin_glass_n163,cover4,1,15.828,1,0,19.6
spin_glass_n163,cover4,2,15.828,1,0,20.0
