cell,arm,seed,final_acl,rounds,time,diag
K100,point,0,14.2,4,61.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 229.4022}"
K100,cross,0,16.43,4,61.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 24.7495, 'extent_mean': 12.707, 'extent_max': 17.705}"
K100,cross-bars,0,14.95,5,61.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 14.6847, 'extent_mean': 11.655, 'extent_max': 16.166}"
K100,mm-full,0,12.75,,60.3,
K100,point,1,14.71,5,60.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 182.4359}"
K100,cross,1,14.22,5,60.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 21.6099, 'extent_mean': 12.299, 'extent_max': 16.208}"
K100,cross-bars,1,13.96,5,61.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 21.2383, 'extent_mean': 11.88, 'extent_max': 15.361}"
K100,mm-full,1,13.96,,60.4,
K100,point,2,13.98,4,61.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 163.0728}"
K100,cross,2,15.2,4,60.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 19.7037, 'extent_mean': 11.972, 'extent_max': 15.399}"
K100,cross-bars,2,15.16,5,60.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 17.6744, 'extent_mean': 12.103, 'extent_max': 15.671}"
K100,mm-full,2,13.61,,60.1,
K140,point,0,,2,68.6,
K140,cross,0,,2,68.7,
K140,cross-bars,0,23.493,2,61.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.7311, 'extent_mean': 9.427, 'extent_max': 13.927}"
K140,mm-full,0,20.243,,61.4,
K140,point,1,,2,68.9,
K140,cross,1,,2,70.3,
K140,cross-bars,1,,2,73.8,
K140,mm-full,1,21.336,,62.2,
K140,point,2,,2,69.0,
K140,cross,2,,2,70.5,
K140,cross-bars,2,24.8,2,62.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 19.6825, 'extent_mean': 9.37, 'extent_max': 13.566}"
K140,mm-full,2,20.579,,60.4,
ER100_d10,point,0,5.45,10,12.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 43.1585}"
ER100_d10,cross,0,6.63,10,7.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 7.2312, 'extent_mean': 5.33, 'extent_max': 9.99}"
ER100_d10,cross-bars,0,5.73,10,10.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.3154, 'extent_mean': 5.992, 'extent_max': 11.729}"
ER100_d10,mm-full,0,5.66,,5.6,
ER100_d10,point,1,5.51,10,10.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 43.3361}"
ER100_d10,cross,1,5.77,10,9.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 6.2418, 'extent_mean': 4.813, 'extent_max': 9.071}"
