cell,arm,seed,final_acl,rounds,time,diag
K100,point,0,14.2,4,60.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 229.4022}"
K100,cross-v1,0,15.89,4,60.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 20.4261, 'extent_mean': 13.804, 'extent_max': 17.414, 'assigned': 0}"
K100,cross2,0,14.46,5,61.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 25.1578, 'extent_mean': 10.394, 'extent_max': 13.05, 'assigned': 100}"
K100,cross2-bars,0,14.99,4,60.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 7.5034, 'extent_mean': 14.828, 'extent_max': 19.025, 'assigned': 100}"
K100,mm-full,0,12.75,,60.3,
K100,point,1,14.71,5,61.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 182.4359}"
K100,cross-v1,1,14.39,4,60.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 9.3819, 'extent_mean': 12.988, 'extent_max': 15.912, 'assigned': 0}"
K100,cross2,1,15.76,5,61.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.5252, 'extent_mean': 12.736, 'extent_max': 16.296, 'assigned': 100}"
K100,cross2-bars,1,17.01,5,61.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.8699, 'extent_mean': 14.073, 'extent_max': 19.172, 'assigned': 100}"
K100,mm-full,1,13.96,,60.9,
K100,point,2,13.98,4,61.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 163.0728}"
K100,cross-v1,2,15.4,5,61.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 21.0857, 'extent_mean': 12.252, 'extent_max': 15.636, 'assigned': 0}"
K100,cross2,2,14.6,5,60.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 11.9502, 'extent_mean': 12.095, 'extent_max': 16.814, 'assigned': 100}"
K100,cross2-bars,2,15.93,5,60.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 19.4133, 'extent_mean': 11.942, 'extent_max': 15.231, 'assigned': 100}"
K100,mm-full,2,13.61,,61.3,
K140,point,0,,2,68.9,
K140,cross-v1,0,,2,74.0,
K140,cross2,0,,2,71.0,
K140,cross2-bars,0,,2,72.5,
K140,mm-full,0,20.243,,60.1,
K140,point,1,,2,70.7,
K140,cross-v1,1,,2,71.4,
K140,cross2,1,,2,70.4,
K140,cross2-bars,1,,2,69.0,
K140,mm-full,1,21.336,,61.6,
K140,point,2,,2,68.2,
K140,cross-v1,2,,2,69.8,
K140,cross2,2,,2,68.9,
K140,cross2-bars,2,,2,68.0,
K140,mm-full,2,20.579,,60.1,
ER100_d10,point,0,5.45,10,12.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 43.1585}"
ER100_d10,cross-v1,0,5.99,10,10.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 5.6134, 'extent_mean': 5.267, 'extent_max': 10.365, 'assigned': 0}"
ER100_d10,cross2,0,5.71,10,8.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 5.9283, 'extent_mean': 4.727, 'extent_max': 8.683, 'assigned': 92}"
ER100_d10,cross2-bars,0,5.64,10,8.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.6392, 'extent_mean': 4.821, 'extent_max': 9.882, 'assigned': 94}"
ER100_d10,mm-full,0,5.66,,5.5,
ER100_d10,point,1,5.51,10,10.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 43.3361}"
ER100_d10,cross-v1,1,5.8,10,9.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 7.0608, 'extent_mean': 5.334, 'extent_max': 11.255, 'assigned': 0}"
ER100_d10,cross2,1,5.63,10,8.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 6.0808, 'extent_mean': 4.655, 'extent_max': 9.759, 'assigned': 91}"
ER100_d10,cross2-bars,1,5.51,10,7.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 5.46, 'extent_mean': 4.749, 'extent_max': 11.352, 'assigned': 91}"
ER100_d10,mm-full,1,5.51,,4.5,
ER100_d10,point,2,6.0,10,7.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 48.6542}"
ER100_d10,cross-v1,2,5.85,10,9.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 6.5624, 'extent_mean': 4.877, 'extent_max': 9.938, 'assigned': 0}"
ER100_d10,cross2,2,5.5,10,10.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 7.1534, 'extent_mean': 4.766, 'extent_max': 9.721, 'assigned': 90}"
ER100_d10,cross2-bars,2,5.68,10,8.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 6.1702, 'extent_mean': 4.941, 'extent_max': 9.391, 'assigned': 98}"
ER100_d10,mm-full,2,5.84,,3.8,
regular_n316,point,0,3.652,10,10.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.5011}"
regular_n316,cross-v1,0,3.513,10,10.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 6.7786, 'extent_mean': 2.973, 'extent_max': 10.974, 'assigned': 0}"
regular_n316,cross2,0,3.598,10,8.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.4423, 'extent_mean': 4.044, 'extent_max': 10.246, 'assigned': 247}"
regular_n316,cross2-bars,0,3.551,10,8.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.9683, 'extent_mean': 4.442, 'extent_max': 12.817, 'assigned': 275}"
regular_n316,mm-full,0,3.953,,3.0,
regular_n316,point,1,3.563,10,9.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 18.7625}"
regular_n316,cross-v1,1,3.342,10,10.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 6.8217, 'extent_mean': 2.962, 'extent_max': 12.136, 'assigned': 0}"
regular_n316,cross2,1,3.725,10,7.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 4.2397, 'extent_mean': 4.149, 'extent_max': 13.793, 'assigned': 257}"
regular_n316,cross2-bars,1,3.437,10,8.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.673, 'extent_mean': 4.315, 'extent_max': 12.298, 'assigned': 280}"
regular_n316,mm-full,1,4.234,,2.7,
