cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.57,8,0.0,0.87,0,0,0,0,0,0,23.0,True,0,0,0,True,34.1
K100,Z12,,default,1,7.58,8,0.0,0.89,0,0,0,0,0,0,23.0,True,0,0,0,True,36.5
K100,Z12,,default,2,7.59,8,0.0,0.89,0,0,0,0,0,0,23.0,True,0,0,0,True,32.7
K100,Z12,,fold,0,7.54,8,0.0,1.9,0,0,0,4,2,2,23.0,True,0,0,0,True,29.9
K100,Z12,,fold,1,7.54,8,0.0,1.82,0,0,0,4,2,2,23.0,True,0,0,0,True,33.2
K100,Z12,,fold,2,7.54,8,0.0,1.81,0,0,0,4,2,2,23.0,True,0,0,0,True,30.7
K140,Z12,,default,0,9.957,11,0.0,2.4,0,0,0,0,0,0,31.0,True,0,0,0,True,68.7
K140,Z12,,default,1,9.957,11,0.0,2.41,0,0,0,0,0,0,31.0,True,0,0,0,True,67.3
K140,Z12,,default,2,9.957,11,0.0,2.34,0,0,0,0,0,0,31.0,True,0,0,0,True,66.5
K140,Z12,,fold,0,9.957,11,0.0,6.07,0,0,0,3,0,3,31.0,True,0,0,0,True,65.3
K140,Z12,,fold,1,9.957,11,0.0,6.08,0,0,0,3,0,3,31.0,True,0,0,0,True,66.3
K140,Z12,,fold,2,9.957,11,0.0,6.05,0,0,0,3,0,3,31.0,True,0,0,0,True,67.8
ER100_d10,Z12,,default,0,4.57,8,0.08,1.11,3,41,1,0,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,default,1,4.85,8,0.08,1.12,3,41,1,0,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,default,2,4.69,8,0.08,1.05,3,41,1,0,0,0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,fold,0,4.57,8,0.06,1.02,3,41,1,3,0,3,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,fold,1,4.85,8,0.08,1.08,3,41,1,3,0,3,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,fold,2,4.69,8,0.06,1.08,3,41,1,3,0,3,17.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,default,0,6.0,6,0.0,7.82,20,87,1,0,0,0,24.0,True,0,0,44,False,60.3
turan_n162,Z12,2647,default,1,6.0,6,0.0,7.77,19,128,3,0,0,0,28.0,False,0,30,23,False,60.5
turan_n162,Z12,2647,default,2,6.0,6,0.0,7.67,20,87,1,0,0,0,24.0,True,0,0,44,False,60.1
turan_n162,Z12,2647,default,3,6.0,6,0.0,7.65,20,87,1,0,0,0,24.0,True,0,0,44,False,60.6
turan_n162,Z12,2647,default,4,6.0,6,0.0,7.82,20,87,1,0,0,0,24.0,True,0,0,44,False,60.6
turan_n162,Z12,2647,default,5,6.0,6,0.0,7.75,19,128,3,0,0,0,28.0,False,0,30,23,False,60.4
turan_n162,Z12,2647,default,6,6.0,6,0.0,8.49,20,87,1,0,0,0,24.0,True,0,0,44,False,60.3
turan_n162,Z12,2647,default,7,6.0,6,0.0,8.62,19,128,3,0,0,0,28.0,False,0,30,23,False,60.5
turan_n162,Z12,2647,default,8,6.0,6,0.0,8.51,19,128,3,0,0,0,28.0,False,0,30,23,False,60.4
turan_n162,Z12,2647,default,9,6.0,6,0.0,8.53,20,87,1,0,0,0,24.0,True,0,0,44,False,60.3
turan_n162,Z12,2647,fold,0,6.0,6,0.0,9.32,20,87,1,3,0,3,24.0,True,0,0,44,False,60.5
turan_n162,Z12,2647,fold,1,6.0,6,0.0,9.56,19,128,3,3,0,3,28.0,False,0,30,23,False,60.4
turan_n162,Z12,2647,fold,2,6.0,6,0.0,12.08,20,87,1,3,0,3,24.0,True,0,0,44,False,60.6
turan_n162,Z12,2647,fold,3,6.0,6,0.0,12.85,20,87,1,3,0,3,24.0,True,0,0,44,False,60.3
turan_n162,Z12,2647,fold,4,6.0,6,0.0,12.8,20,87,1,3,0,3,24.0,True,0,0,44,False,60.2
turan_n162,Z12,2647,fold,5,6.0,6,0.0,11.94,19,128,3,3,0,3,28.0,False,0,30,23,False,60.3
turan_n162,Z12,2647,fold,6,6.0,6,0.0,12.29,20,87,1,3,0,3,24.0,True,0,0,44,False,60.7
turan_n162,Z12,2647,fold,7,6.0,6,0.0,11.48,19,128,3,3,0,3,28.0,False,0,30,23,False,60.3
turan_n162,Z12,2647,fold,8,6.0,6,0.0,12.28,19,128,3,3,0,3,28.0,False,0,30,23,False,60.3
turan_n162,Z12,2647,fold,9,6.0,6,0.0,13.74,20,87,1,3,0,3,24.0,True,0,0,44,False,60.1
spin_glass_n163,Z12,37309,default,0,11.104,13,1.07,13.67,9,133,1,0,0,0,37.0,True,0,0,0,True,54.5
spin_glass_n163,Z12,37309,default,1,11.104,13,1.27,13.61,9,133,1,0,0,0,37.0,True,0,0,0,True,52.7
spin_glass_n163,Z12,37309,default,2,11.104,13,1.51,12.63,9,133,1,0,0,0,37.0,True,0,0,0,True,53.8
spin_glass_n163,Z12,37309,fold,0,11.104,13,1.21,18.79,9,133,1,3,0,3,37.0,True,0,0,0,True,56.8
spin_glass_n163,Z12,37309,fold,1,11.104,13,0.92,14.56,9,133,1,3,0,3,37.0,True,0,0,0,True,51.0
spin_glass_n163,Z12,37309,fold,2,11.104,13,1.03,13.94,9,133,1,3,0,3,37.0,True,0,0,0,True,51.6
regular_n316,Z12,13096,default,0,2.715,6,0.69,10.1,9,82,2,0,0,0,17.0,False,0,10,16,False,60.1
