cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,mm_skipped,ball_acc,ball_wall,questions,time
K100,Z12,,default,0,7.84,9,0.0,1.05,0,0,True,0,0.1,0,27.5
K100,Z12,,default,1,7.84,9,0.0,1.57,0,0,True,0,0.1,0,28.4
K100,Z12,,default,2,7.84,9,0.0,0.93,0,0,True,0,0.0,0,30.8
K100,Z12,,trivial,0,7.72,8,0.0,0.65,0,0,True,0,0.1,0,35.9
K100,Z12,,trivial,1,7.72,8,0.0,0.74,0,0,True,0,0.0,0,38.8
K100,Z12,,trivial,2,7.72,8,0.0,0.8,0,0,True,0,0.0,0,42.8
K140,Z12,,default,0,10.229,11,0.0,3.18,0,0,True,0,0.1,0,68.8
K140,Z12,,default,1,10.229,11,0.0,3.14,0,0,True,0,0.1,0,66.5
K140,Z12,,default,2,10.229,11,0.0,2.89,0,0,True,0,0.1,0,63.3
K140,Z12,,trivial,0,10.229,11,0.0,2.57,0,0,True,0,0.1,0,62.9
K140,Z12,,trivial,1,10.229,11,0.0,1.84,0,0,True,0,0.1,0,60.3
K140,Z12,,trivial,2,10.229,11,0.0,1.86,0,0,True,0,0.1,0,64.5
ER100_d10,Z12,,default,0,4.66,8,0.05,1.02,3,40,False,0,55.4,61,60.0
ER100_d10,Z12,,default,1,5.06,9,0.07,1.34,3,40,False,0,56.6,49,60.0
ER100_d10,Z12,,default,2,4.75,8,0.09,1.63,3,40,False,0,54.0,62,60.0
ER100_d10,Z12,,trivial,0,5.36,9,0.0,2.91,11,188,False,0,55.3,46,60.0
ER100_d10,Z12,,trivial,1,5.01,10,0.0,2.49,11,188,False,0,55.0,58,60.0
ER100_d10,Z12,,trivial,2,5.09,9,0.0,2.88,11,188,False,0,54.5,59,60.0
turan_n162,Z12,2647,default,0,6.0,6,0.0,9.73,20,87,True,0,24.1,22,60.3
turan_n162,Z12,2647,default,1,6.0,6,0.0,9.13,18,121,True,0,17.6,22,60.5
turan_n162,Z12,2647,default,2,6.0,6,0.0,9.87,20,87,True,0,23.6,22,60.1
turan_n162,Z12,2647,default,3,6.0,6,0.0,9.74,20,87,True,0,24.1,22,60.4
turan_n162,Z12,2647,default,4,6.0,6,0.0,9.72,20,87,True,0,23.8,22,60.7
turan_n162,Z12,2647,default,5,6.0,6,0.0,10.29,18,121,True,0,14.8,22,60.1
turan_n162,Z12,2647,default,6,6.0,6,0.0,9.25,20,87,True,0,22.8,22,60.4
turan_n162,Z12,2647,default,7,6.0,6,0.0,8.36,18,121,True,0,16.8,22,60.1
turan_n162,Z12,2647,default,8,6.228,7,0.0,8.93,18,121,True,0,20.8,23,60.5
turan_n162,Z12,2647,default,9,6.0,6,0.0,8.51,20,87,True,0,24.1,22,60.4
turan_n162,Z12,2647,trivial,0,6.0,6,0.0,2.1,0,0,True,0,26.5,22,60.3
turan_n162,Z12,2647,trivial,1,6.0,6,0.0,1.75,0,0,True,0,27.0,22,60.0
turan_n162,Z12,2647,trivial,2,6.0,6,0.0,2.04,0,0,True,0,25.7,22,60.2
turan_n162,Z12,2647,trivial,3,6.0,6,0.0,1.81,0,0,True,0,27.0,22,60.3
turan_n162,Z12,2647,trivial,4,6.0,6,0.0,2.19,0,0,True,0,27.7,22,60.6
turan_n162,Z12,2647,trivial,5,6.0,6,0.0,2.09,0,0,True,0,26.7,22,60.1
turan_n162,Z12,2647,trivial,6,6.0,6,0.0,2.31,0,0,True,0,25.9,22,60.1
turan_n162,Z12,2647,trivial,7,6.0,6,0.0,2.35,0,0,True,0,23.4,22,60.5
turan_n162,Z12,2647,trivial,8,6.0,6,0.0,2.0,0,0,True,0,28.1,22,60.3
turan_n162,Z12,2647,trivial,9,6.0,6,0.0,2.35,0,0,True,0,26.8,22,60.0
spin_glass_n163,Z12,37309,default,0,11.417,13,0.98,11.36,9,131,True,0,14.9,7,47.5
spin_glass_n163,Z12,37309,default,1,11.417,13,0.96,11.09,9,131,True,0,14.0,7,47.0
spin_glass_n163,Z12,37309,default,2,11.417,13,1.1,11.66,9,131,True,0,14.2,7,47.4
spin_glass_n163,Z12,37309,trivial,0,11.264,14,0.0,13.56,2,109,True,0,29.9,13,60.6
spin_glass_n163,Z12,37309,trivial,1,11.264,14,0.0,12.9,2,109,True,0,30.6,13,61.2
spin_glass_n163,Z12,37309,trivial,2,11.264,14,0.0,13.11,2,109,True,0,30.1,16,60.6
regular_n316,Z12,13096,default,0,2.924,7,0.54,9.14,7,97,False,1,48.8,305,60.1
regular_n316,Z12,13096,default,1,2.769,6,0.31,9.27,7,97,False,0,48.8,305,60.0
regular_n316,Z12,13096,default,2,2.842,7,0.36,8.99,7,97,False,2,49.4,309,60.0
regular_n316,Z12,13096,trivial,0,3.456,10,0.0,23.75,30,598,False,0,31.6,307,60.0
regular_n316,Z12,13096,trivial,1,3.37,9,0.0,23.22,30,598,False,0,34.2,310,60.0
regular_n316,Z12,13096,trivial,2,3.722,11,0.0,24.55,30,598,False,0,33.3,310,60.0
ws_n486,Z12,17188,default,0,2.844,9,0.73,29.22,23,447,False,1,24.6,465,60.0
ws_n486,Z12,17188,default,1,3.381,12,0.69,29.26,22,430,False,0,27.6,469,60.0
ws_n486,Z12,17188,default,2,2.881,10,0.27,29.66,22,441,False,2,27.3,469,60.0
ws_n486,Z12,17188,default,3,2.751,10,0.71,29.18,22,442,False,0,25.3,468,60.0
ws_n486,Z12,17188,default,4,2.969,11,0.28,29.71,22,432,False,0,26.7,465,60.0
ws_n486,Z12,17188,default,5,2.833,9,0.26,29.59,22,427,False,0,26.9,459,60.0
ws_n486,Z12,17188,default,6,2.837,9,0.62,29.17,22,442,False,1,26.5,470,60.0
ws_n486,Z12,17188,default,7,3.44,11,4.17,25.8,22,422,False,0,27.8,476,60.0
ws_n486,Z12,17188,default,8,2.883,10,4.14,25.79,22,414,False,0,26.6,457,60.0
ws_n486,Z12,17188,default,9,3.027,11,3.57,26.33,22,433,False,1,27.2,462,60.0
ws_n486,Z12,17188,trivial,0,2.924,10,0.0,29.79,3,547,False,0,26.2,465,60.0
ws_n486,Z12,17188,trivial,1,3.111,10,0.0,29.95,3,530,False,0,26.1,466,60.0
ws_n486,Z12,17188,trivial,2,3.344,13,0.0,29.77,3,495,False,0,26.4,468,60.0
ws_n486,Z12,17188,trivial,3,2.975,10,0.0,29.89,3,496,False,0,25.4,464,60.0
ws_n486,Z12,17188,trivial,4,3.315,12,0.0,29.44,3,524,False,0,26.5,471,60.0
ws_n486,Z12,17188,trivial,5,3.337,12,0.0,29.87,3,547,False,0,26.5,476,60.0
ws_n486,Z12,17188,trivial,6,2.988,10,0.0,29.55,3,543,False,0,25.1,472,60.0
ws_n486,Z12,17188,trivial,7,3.202,11,0.0,29.46,3,551,False,0,25.9,471,60.0
ws_n486,Z12,17188,trivial,8,3.358,12,0.0,29.93,3,608,False,0,26.1,469,60.0
ws_n486,Z12,17188,trivial,9,3.062,10,0.0,29.92,3,591,False,0,24.2,458,60.0
grid_200,Z12,1590,default,0,1.09,2,0.07,6.41,14,278,False,0,30.8,128,37.8
grid_200,Z12,1590,default,1,1.145,2,0.06,6.32,14,278,False,0,32.9,134,39.6
grid_200,Z12,1590,default,2,1.13,2,0.07,6.48,14,278,False,0,33.4,147,40.4
grid_200,Z12,1590,trivial,0,1.3,3,0.0,5.2,17,228,False,0,43.4,141,49.0
grid_200,Z12,1590,trivial,1,1.235,2,0.0,4.78,17,228,False,0,39.8,137,45.1
grid_200,Z12,1590,trivial,2,1.325,3,0.0,6.47,17,228,False,2,53.2,150,60.0
honeycomb_200,Z12,32393,default,0,1.085,2,0.74,4.26,10,102,False,0,23.7,129,29.1
honeycomb_200,Z12,32393,default,1,1.09,2,0.03,3.23,10,102,False,0,28.0,139,31.9
honeycomb_200,Z12,32393,default,2,1.095,2,0.18,3.36,10,102,False,0,27.0,139,31.0
honeycomb_200,Z12,32393,trivial,0,1.36,3,0.0,3.83,15,156,False,0,33.7,164,38.1
honeycomb_200,Z12,32393,trivial,1,1.315,3,0.0,4.11,15,156,False,1,55.3,151,60.0
honeycomb_200,Z12,32393,trivial,2,1.375,3,0.0,3.83,15,156,False,2,55.6,153,60.0
king_graph_196,Z12,32622,default,0,1.561,3,0.03,7.32,8,267,False,0,51.8,125,60.0
king_graph_196,Z12,32622,default,1,1.531,3,0.03,7.5,8,267,False,0,51.6,141,60.0
king_graph_196,Z12,32622,default,2,1.49,2,0.04,7.88,8,267,False,1,50.8,125,60.0
king_graph_196,Z12,32622,trivial,0,1.893,4,0.0,6.48,12,213,False,3,52.5,137,60.1
king_graph_196,Z12,32622,trivial,1,2.107,5,0.0,7.2,12,213,False,10,52.0,146,60.0
king_graph_196,Z12,32622,trivial,2,2.362,5,0.0,6.31,12,213,False,10,52.9,152,60.1
K100,P16,,default,0,11.23,16,0.0,1.31,0,0,,0,0.0,0,26.8
K100,P16,,default,1,11.51,17,0.01,1.19,0,0,,0,0.1,0,27.3
K100,P16,,default,2,11.65,17,0.0,1.31,0,0,,0,0.0,0,59.6
K100,P16,,trivial,0,11.51,15,0.0,0.82,0,0,,0,0.0,0,30.6
K100,P16,,trivial,1,13.2,17,0.0,0.83,0,0,,0,0.0,0,35.2
K100,P16,,trivial,2,11.91,20,0.0,0.83,0,0,,0,0.0,0,26.2
turan_n162,P16,2647,default,0,7.654,8,0.1,8.07,3,107,,0,8.9,16,60.1
turan_n162,P16,2647,default,1,7.654,8,0.1,7.61,3,107,,0,7.8,16,60.3
turan_n162,P16,2647,default,2,7.654,8,0.01,7.92,3,107,,0,5.6,16,60.2
turan_n162,P16,2647,trivial,0,7.654,8,0.0,1.69,0,0,,0,7.1,15,60.5
turan_n162,P16,2647,trivial,1,7.654,8,0.0,1.89,0,0,,0,9.8,15,60.4
turan_n162,P16,2647,trivial,2,7.654,8,0.0,2.22,0,0,,0,17.4,15,60.1
ws_n486,P16,17188,default,0,3.658,14,0.24,29.68,31,509,,0,26.3,428,60.0
ws_n486,P16,17188,default,1,3.642,12,0.09,29.83,20,503,,0,25.6,430,60.0
ws_n486,P16,17188,default,2,3.477,13,0.08,29.86,20,498,,0,24.7,439,60.0
