best_att,best_clq,best_mm,both,category,clique_ok,graphs,loss,mean_d_att_clq,mean_d_mm_clq,mean_dacl,neither,only_att,only_mm,size_band,tie,topology,triple,win
,,,423,barabasi_albert,,567,160,,,0.0177,139,0,5,n<=30,151,pegasus_16,,112
,,,417,barabasi_albert,,417,198,,,-0.027,0,0,0,31-100,14,pegasus_16,,205
,,,340,barabasi_albert,,390,108,,,-0.4019,40,3,7,101-300,0,pegasus_16,,232
,,,117,barabasi_albert,,417,79,,,0.2577,292,3,5,301-1000,0,pegasus_16,,38
,,,27,barabasi_albert,,445,7,,,-0.0564,412,6,0,n>1000,1,pegasus_16,,19
,,,0,bcc_lattice,,3,0,,,,3,0,0,n<=30,0,pegasus_16,,0
,,,4,bcc_lattice,,4,0,,,-0.1071,0,0,0,31-100,2,pegasus_16,,2
,,,2,bcc_lattice,,2,0,,,-0.1693,0,0,0,101-300,0,pegasus_16,,2
,,,6,bcc_lattice,,6,2,,,-0.3489,0,0,0,301-1000,0,pegasus_16,,4
,,,0,bcc_lattice,,11,0,,,,10,0,1,n>1000,0,pegasus_16,,0
,,,3,binary_tree,,3,2,,,0.2254,0,0,0,n<=30,1,pegasus_16,,0
,,,2,binary_tree,,2,2,,,0.4572,0,0,0,31-100,0,pegasus_16,,0
,,,2,binary_tree,,2,2,,,0.1375,0,0,0,101-300,0,pegasus_16,,0
,,,1,binary_tree,,1,0,,,-0.0117,0,0,0,301-1000,0,pegasus_16,,1
,,,1,binary_tree,,3,0,,,-0.0029,1,1,0,n>1000,0,pegasus_16,,1
,,,29,bipartite,,29,8,,,0.0348,0,0,0,n<=30,14,pegasus_16,,7
,,,48,bipartite,,48,30,,,0.3008,0,0,0,31-100,6,pegasus_16,,12
,,,33,bipartite,,48,29,,,1.3818,8,1,6,101-300,0,pegasus_16,,4
,,,0,bipartite,,18,0,,,,18,0,0,301-1000,0,pegasus_16,,0
,,,71,circulant,,71,33,,,0.2411,0,0,0,n<=30,30,pegasus_16,,8
,,,63,circulant,,63,60,,,0.7988,0,0,0,31-100,0,pegasus_16,,3
,,,57,circulant,,57,54,,,0.4148,0,0,0,101-300,0,pegasus_16,,3
,,,64,circulant,,65,26,,,-0.0257,0,1,0,301-1000,1,pegasus_16,,37
,,,20,circulant,,95,16,,,0.0583,60,12,3,n>1000,1,pegasus_16,,3
,,,19,complete,,19,6,,,0.031,0,0,0,n<=30,11,pegasus_16,,2
,,,19,complete,,19,19,,,0.8885,0,0,0,31-100,0,pegasus_16,,0
,,,7,complete,,17,5,,,1.374,9,1,0,101-300,0,pegasus_16,,2
,,,8,cubic_lattice,,33,1,,,-0.0168,25,0,0,n<=30,4,pegasus_16,,3
,,,6,cubic_lattice,,6,3,,,0.0764,0,0,0,31-100,0,pegasus_16,,3
,,,10,cubic_lattice,,10,3,,,-0.3071,0,0,0,101-300,0,pegasus_16,,7
,,,13,cubic_lattice,,16,5,,,-0.3519,2,1,0,301-1000,0,pegasus_16,,8
,,,2,cubic_lattice,,11,0,,,-0.4105,8,0,1,n>1000,0,pegasus_16,,2
,,,17,cycle,,18,10,,,0.6264,1,0,0,n<=30,7,pegasus_16,,0
,,,10,cycle,,10,7,,,0.2171,0,0,0,31-100,3,pegasus_16,,0
,,,10,cycle,,10,1,,,-0.0019,0,0,0,101-300,5,pegasus_16,,4
,,,11,cycle,,11,0,,,-0.0045,0,0,0,301-1000,2,pegasus_16,,9
,,,11,cycle,,16,8,,,0.0029,4,0,1,n>1000,2,pegasus_16,,1
,,,6,frustrated_square,,6,2,,,0.0238,0,0,0,n<=30,3,pegasus_16,,1
,,,10,frustrated_square,,10,6,,,0.0661,0,0,0,31-100,1,pegasus_16,,3
,,,14,frustrated_square,,14,10,,,0.1716,0,0,0,101-300,0,pegasus_16,,4
,,,15,frustrated_square,,16,6,,,-0.0161,1,0,0,301-1000,0,pegasus_16,,9
,,,2,frustrated_square,,26,0,,,-0.4204,21,2,1,n>1000,0,pegasus_16,,2
,,,32,generalized_petersen,,32,12,,,0.1092,0,0,0,n<=30,12,pegasus_16,,8
,,,102,generalized_petersen,,102,69,,,0.3209,0,0,0,31-100,6,pegasus_16,,27
,,,93,generalized_petersen,,93,84,,,0.4284,0,0,0,101-300,1,pegasus_16,,8
,,,108,generalized_petersen,,108,38,,,-0.0365,0,0,0,301-1000,0,pegasus_16,,70
,,,62,generalized_petersen,,161,15,,,-0.1685,79,7,13,n>1000,0,pegasus_16,,47
,,,8,grid,,11,2,,,0.0671,3,0,0,n<=30,6,pegasus_16,,0
,,,11,grid,,11,9,,,0.2094,0,0,0,31-100,0,pegasus_16,,2
,,,17,grid,,17,14,,,0.2896,0,0,0,101-300,1,pegasus_16,,2
,,,23,grid,,23,17,,,0.0612,0,0,0,301-1000,0,pegasus_16,,6
,,,14,grid,,42,2,,,-0.3908,23,4,1,n>1000,0,pegasus_16,,12
,,,1,hardware_native,,8,0,,,0.0,7,0,0,n<=30,1,pegasus_16,,0
,,,4,hardware_native,,4,3,,,0.4222,0,0,0,31-100,0,pegasus_16,,1
,,,6,hardware_native,,6,2,,,-0.3383,0,0,0,101-300,0,pegasus_16,,4
,,,6,hardware_native,,11,2,,,-0.3875,2,1,2,301-1000,0,pegasus_16,,4
,,,0,hardware_native,,12,0,,,,8,4,0,n>1000,0,pegasus_16,,0
,,,6,honeycomb,,6,5,,,0.4842,0,0,0,n<=30,1,pegasus_16,,0
,,,13,honeycomb,,13,12,,,0.7242,0,0,0,31-100,0,pegasus_16,,1
,,,18,honeycomb,,18,18,,,0.5815,0,0,0,101-300,0,pegasus_16,,0
,,,36,honeycomb,,36,18,,,0.0283,0,0,0,301-1000,0,pegasus_16,,18
,,,24,honeycomb,,68,2,,,-0.3515,34,10,0,n>1000,0,pegasus_16,,22
,,,3,hypercube,,4,0,,,-0.0625,1,0,0,n<=30,2,pegasus_16,,1
,,,2,hypercube,,2,1,,,-0.0391,0,0,0,31-100,0,pegasus_16,,1
,,,2,hypercube,,2,0,,,-1.2695,0,0,0,101-300,0,pegasus_16,,2
,,,0,hypercube,,1,0,,,,1,0,0,301-1000,0,pegasus_16,,0
,,,0,hypercube,,2,0,,,,2,0,0,n>1000,0,pegasus_16,,0
,,,4,johnson,,7,2,,,0.0018,3,0,0,n<=30,1,pegasus_16,,1
,,,9,johnson,,9,5,,,0.0935,0,0,0,31-100,0,pegasus_16,,4
,,,11,johnson,,17,6,,,-0.391,5,1,0,101-300,0,pegasus_16,,5
,,,0,johnson,,25,0,,,,25,0,0,301-1000,0,pegasus_16,,0
,,,0,johnson,,2,0,,,,2,0,0,n>1000,0,pegasus_16,,0
,,,3,kagome,,3,1,,,0.095,0,0,0,n<=30,1,pegasus_16,,1
,,,10,kagome,,10,9,,,0.4266,0,0,0,31-100,0,pegasus_16,,1
,,,17,kagome,,17,15,,,0.4975,0,0,0,101-300,0,pegasus_16,,2
,,,28,kagome,,30,17,,,0.1062,0,2,0,301-1000,0,pegasus_16,,11
,,,16,kagome,,66,3,,,-0.207,40,7,3,n>1000,0,pegasus_16,,13
,,,6,king_graph,,6,1,,,-0.0498,0,0,0,n<=30,1,pegasus_16,,4
,,,10,king_graph,,10,5,,,0.0661,0,0,0,31-100,1,pegasus_16,,4
,,,14,king_graph,,14,7,,,0.0859,0,0,0,101-300,0,pegasus_16,,7
,,,13,king_graph,,16,5,,,0.0114,0,2,1,301-1000,0,pegasus_16,,8
,,,2,king_graph,,26,0,,,-0.25,22,1,1,n>1000,0,pegasus_16,,2
,,,4,kneser,,4,1,,,0.0089,0,0,0,n<=30,3,pegasus_16,,0
,,,9,kneser,,9,3,,,-0.2202,0,0,0,31-100,1,pegasus_16,,5
,,,8,kneser,,17,3,,,-1.7154,9,0,0,101-300,0,pegasus_16,,5
,,,0,kneser,,5,0,,,,5,0,0,301-1000,0,pegasus_16,,0
,,,13,lfr_benchmark,,13,6,,,0.0785,0,0,0,31-100,0,pegasus_16,,7
,,,14,lfr_benchmark,,14,4,,,-0.105,0,0,0,101-300,0,pegasus_16,,10
,,,12,lfr_benchmark,,18,5,,,-0.2,6,0,0,301-1000,0,pegasus_16,,7
,,,0,lfr_benchmark,,6,0,,,,6,0,0,n>1000,0,pegasus_16,,0
,,,11,named_special,,11,1,,,-0.0247,0,0,0,n<=30,6,pegasus_16,,4
,,,1,named_special,,1,1,,,1.3261,0,0,0,31-100,0,pegasus_16,,0
,,,17,path,,18,6,,,0.0451,1,0,0,n<=30,11,pegasus_16,,0
,,,10,path,,10,9,,,0.0661,0,0,0,31-100,1,pegasus_16,,0
,,,10,path,,10,0,,,0.0,0,0,0,101-300,10,pegasus_16,,0
,,,11,path,,11,4,,,0.0019,0,0,0,301-1000,7,pegasus_16,,0
,,,10,path,,16,9,,,0.0071,3,0,3,n>1000,0,pegasus_16,,1
,,,108,planted_solution,,146,48,,,0.1396,38,0,0,n<=30,51,pegasus_16,,9
,,,468,planted_solution,,468,305,,,0.1458,0,0,0,31-100,82,pegasus_16,,81
,,,939,planted_solution,,939,576,,,0.0363,0,0,0,101-300,7,pegasus_16,,356
,,,707,planted_solution,,981,188,,,-0.4686,122,135,17,301-1000,2,pegasus_16,,517
,,,0,planted_solution,,40,0,,,,39,0,1,n>1000,0,pegasus_16,,0
,,,575,random_er,,643,139,,,0.0042,68,0,0,n<=30,312,pegasus_16,,124
,,,614,random_er,,614,194,,,-0.0452,0,0,0,31-100,151,pegasus_16,,269
,,,358,random_er,,571,141,,,-0.6506,190,15,8,101-300,25,pegasus_16,,192
,,,55,random_er,,343,29,,,0.0077,288,0,0,301-1000,0,pegasus_16,,26
,,,0,random_er,,107,0,,,,107,0,0,n>1000,0,pegasus_16,,0
,,,50,random_planar,,74,29,,,0.0449,24,0,0,n<=30,7,pegasus_16,,14
,,,55,random_planar,,55,48,,,0.3041,0,0,0,31-100,3,pegasus_16,,4
,,,50,random_planar,,50,47,,,0.2952,0,0,0,101-300,0,pegasus_16,,3
,,,36,random_planar,,37,29,,,0.1119,0,1,0,301-1000,0,pegasus_16,,7
,,,261,regular,,750,106,,,0.0534,489,0,0,n<=30,57,pegasus_16,,98
,,,447,regular,,447,175,,,-0.0565,0,0,0,31-100,18,pegasus_16,,254
,,,362,regular,,423,46,,,-0.9184,52,9,0,101-300,2,pegasus_16,,314
,,,86,regular,,440,10,,,-0.6661,348,6,0,301-1000,0,pegasus_16,,76
,,,0,regular,,191,0,,,,191,0,0,n>1000,0,pegasus_16,,0
,,,54,sbm,,57,25,,,0.0616,3,0,0,n<=30,22,pegasus_16,,7
,,,216,sbm,,216,95,,,-0.0195,0,0,0,31-100,18,pegasus_16,,103
,,,134,sbm,,198,40,,,-0.5422,57,3,4,101-300,0,pegasus_16,,94
,,,0,sbm,,144,0,,,,144,0,0,301-1000,0,pegasus_16,,0
,,,8,shastry_sutherland,,8,1,,,-0.0484,0,0,0,n<=30,3,pegasus_16,,4
,,,10,shastry_sutherland,,10,6,,,0.0644,0,0,0,31-100,0,pegasus_16,,4
,,,14,shastry_sutherland,,14,10,,,0.1582,0,0,0,101-300,0,pegasus_16,,4
,,,28,shastry_sutherland,,28,9,,,-0.1318,0,0,0,301-1000,1,pegasus_16,,18
,,,9,shastry_sutherland,,12,0,,,-0.4344,0,3,0,n>1000,0,pegasus_16,,9
,,,125,spin_glass,,125,40,,,-0.0089,0,0,0,n<=30,32,pegasus_16,,53
,,,198,spin_glass,,198,104,,,0.2309,0,0,0,31-100,10,pegasus_16,,84
,,,95,spin_glass,,183,29,,,-0.5748,81,7,0,101-300,0,pegasus_16,,66
,,,0,spin_glass,,75,0,,,,75,0,0,301-1000,0,pegasus_16,,0
,,,17,star,,35,10,,,0.063,11,0,7,n<=30,7,pegasus_16,,0
,,,10,star,,10,9,,,0.0688,0,0,0,31-100,0,pegasus_16,,1
,,,10,star,,10,8,,,0.1035,0,0,0,101-300,0,pegasus_16,,2
,,,0,star,,9,0,,,,8,1,0,n>1000,0,pegasus_16,,0
,,,0,sudoku,,2,0,,,,2,0,0,n>1000,0,pegasus_16,,0
,,,4,tree,,4,2,,,0.1833,0,0,0,n<=30,2,pegasus_16,,0
,,,5,tree,,5,5,,,0.3865,0,0,0,31-100,0,pegasus_16,,0
