cell,fabric,gid,arm,seed,final_acl,max_chain,ball_acc,mm_skipped,fold_acc,time
K100,Z12,,default,0,7.84,9,0,True,0,25.9
K100,Z12,,default,1,7.84,9,0,True,0,26.2
K100,Z12,,default,2,7.84,9,0,True,0,27.8
K100,Z12,,ball,0,7.84,9,0,True,0,1.2
K100,Z12,,ball,1,7.84,9,0,True,0,1.1
K100,Z12,,ball,2,7.84,9,0,True,0,1.2
K100,Z12,,ballS,0,7.84,9,0,True,0,1.8
K100,Z12,,ballS,1,7.84,9,0,True,0,1.8
K100,Z12,,ballS,2,7.84,9,0,True,0,1.8
K100,Z12,,ballSF,0,7.81,9,0,True,2,2.8
K100,Z12,,ballSF,1,7.81,9,0,True,2,2.8
K100,Z12,,ballSF,2,7.81,9,0,True,2,2.8
K140,Z12,,default,0,10.229,11,0,True,0,61.9
K140,Z12,,default,1,10.229,11,0,True,0,65.6
K140,Z12,,default,2,10.229,11,0,True,0,67.4
K140,Z12,,ball,0,10.229,11,0,True,0,3.2
K140,Z12,,ball,1,10.229,11,0,True,0,3.2
K140,Z12,,ball,2,10.229,11,0,True,0,3.3
K140,Z12,,ballS,0,10.229,11,0,True,0,5.3
K140,Z12,,ballS,1,10.229,11,0,True,0,5.3
K140,Z12,,ballS,2,10.229,11,0,True,0,5.3
K140,Z12,,ballSF,0,10.229,11,0,True,0,9.4
K140,Z12,,ballSF,1,10.229,11,0,True,0,9.3
K140,Z12,,ballSF,2,10.229,11,0,True,0,9.3
ER100_d10,Z12,,default,0,4.66,8,0,False,0,60.0
ER100_d10,Z12,,default,1,5.06,9,0,False,0,60.0
ER100_d10,Z12,,default,2,4.75,8,0,False,0,60.0
ER100_d10,Z12,,ball,0,5.94,10,1,False,0,60.0
ER100_d10,Z12,,ball,1,5.99,10,1,False,0,60.1
ER100_d10,Z12,,ball,2,5.94,10,1,False,0,60.0
ER100_d10,Z12,,ballS,0,5.88,9,0,False,0,60.0
ER100_d10,Z12,,ballS,1,5.78,9,1,False,0,60.0
ER100_d10,Z12,,ballS,2,5.88,9,0,False,0,60.0
ER100_d10,Z12,,ballSF,0,5.88,9,0,False,0,60.0
ER100_d10,Z12,,ballSF,1,5.78,9,1,False,0,60.0
