cell,fabric,gid,arm,seed,final_acl,max_chain,stair_E,assigned,mm_skipped,time
K100,Z12,,default,0,7.84,9,1181.0,100,True,29.3
K100,Z12,,default,1,7.84,9,1181.0,100,True,33.1
K100,Z12,,default,2,7.84,9,1181.0,100,True,31.5
K100,Z12,,hier,0,7.8,9,1185.0,100,True,28.1
K100,Z12,,hier,1,7.8,9,1185.0,100,True,33.6
K100,Z12,,hier,2,7.8,9,1185.0,100,True,29.1
K100,Z12,,hier-diag,0,7.72,8,1152.0,100,True,41.9
K100,Z12,,hier-diag,1,7.72,8,1152.0,100,True,43.9
K100,Z12,,hier-diag,2,7.72,8,1152.0,100,True,41.2
K140,Z12,,default,0,10.229,11,2345.0,140,True,69.2
K140,Z12,,default,1,10.229,11,2345.0,140,True,69.8
K140,Z12,,default,2,10.229,11,2345.0,140,True,66.9
K140,Z12,,hier,0,10.229,11,2328.0,140,True,66.7
K140,Z12,,hier,1,10.229,11,2328.0,140,True,61.7
K140,Z12,,hier,2,10.229,11,2328.0,140,True,62.3
K140,Z12,,hier-diag,0,10.229,11,2312.0,140,True,66.6
K140,Z12,,hier-diag,1,10.229,11,2312.0,140,True,66.1
K140,Z12,,hier-diag,2,10.229,11,2312.0,140,True,60.4
ER100_d10,Z12,,default,0,4.66,8,845.0,100,False,4.7
ER100_d10,Z12,,default,1,5.06,9,845.0,100,False,3.2
ER100_d10,Z12,,default,2,4.75,8,845.0,100,False,6.2
ER100_d10,Z12,,hier,0,5.71,10,815.0,100,True,3.3
ER100_d10,Z12,,hier,1,4.7,9,815.0,100,True,6.4
ER100_d10,Z12,,hier,2,4.76,8,815.0,100,True,6.9
ER100_d10,Z12,,hier-diag,0,6.02,9,879.0,100,False,4.2
ER100_d10,Z12,,hier-diag,1,6.05,9,879.0,100,False,3.2
ER100_d10,Z12,,hier-diag,2,6.03,9,879.0,100,False,3.1
turan_n162,Z12,2647,default,0,6.0,6,1736.0,162,True,43.7
turan_n162,Z12,2647,default,1,6.0,6,2126.0,162,True,43.3
turan_n162,Z12,2647,default,2,6.0,6,1736.0,162,True,38.3
