cell,target,n,d,arm,order,alpha,seed,success,acl,max_chain,qubits,time
P6 n20 d0.3,P6,20,0.3,stock/a0,stock,0.0,0,True,1.85,3,37,0.0225
P6 n20 d0.3,P6,20,0.3,stock/a1,stock,1.0,0,True,1.85,3,37,0.0218
P6 n20 d0.3,P6,20,0.3,cuthill/a0,cuthill,0.0,0,True,1.75,3,35,0.024
P6 n20 d0.3,P6,20,0.3,cuthill/a1,cuthill,1.0,0,True,1.75,3,35,0.0238
P6 n20 d0.3,P6,20,0.3,stock/a0,stock,0.0,1,True,1.7,3,34,0.0265
P6 n20 d0.3,P6,20,0.3,stock/a1,stock,1.0,1,True,1.7,3,34,0.0265
P6 n20 d0.3,P6,20,0.3,cuthill/a0,cuthill,0.0,1,True,1.8,3,36,0.0254
P6 n20 d0.3,P6,20,0.3,cuthill/a1,cuthill,1.0,1,True,1.8,3,36,0.0401
P6 n20 d0.3,P6,20,0.3,stock/a0,stock,0.0,2,True,1.6,3,32,0.0402
P6 n20 d0.3,P6,20,0.3,stock/a1,stock,1.0,2,True,1.6,3,32,0.0402
P6 n20 d0.3,P6,20,0.3,cuthill/a0,cuthill,0.0,2,True,1.75,2,35,0.021
P6 n20 d0.3,P6,20,0.3,cuthill/a1,cuthill,1.0,2,True,1.75,2,35,0.0209
P6 n20 d0.3,P6,20,0.3,stock/a0,stock,0.0,3,True,1.7,2,34,0.0183
P6 n20 d0.3,P6,20,0.3,stock/a1,stock,1.0,3,True,1.7,2,34,0.0183
P6 n20 d0.3,P6,20,0.3,cuthill/a0,cuthill,0.0,3,True,1.75,3,35,0.0383
P6 n20 d0.3,P6,20,0.3,cuthill/a1,cuthill,1.0,3,True,1.75,3,35,0.038
P6 n20 d0.3,P6,20,0.3,stock/a0,stock,0.0,4,True,1.65,2,33,0.0168
P6 n20 d0.3,P6,20,0.3,stock/a1,stock,1.0,4,True,1.65,2,33,0.0169
P6 n20 d0.3,P6,20,0.3,cuthill/a0,cuthill,0.0,4,True,1.75,3,35,0.0225
P6 n20 d0.3,P6,20,0.3,cuthill/a1,cuthill,1.0,4,True,1.75,3,35,0.0225
P6 n20 d0.3,P6,20,0.3,stock/a0,stock,0.0,5,True,1.9,3,38,0.0319
P6 n20 d0.3,P6,20,0.3,stock/a1,stock,1.0,5,True,1.9,3,38,0.0319
P6 n20 d0.3,P6,20,0.3,cuthill/a0,cuthill,0.0,5,True,1.95,3,39,0.0312
P6 n20 d0.3,P6,20,0.3,cuthill/a1,cuthill,1.0,5,True,1.95,3,39,0.0311
P6 n20 d0.3,P6,20,0.3,stock/a0,stock,0.0,6,True,1.8,3,36,0.0267
P6 n20 d0.3,P6,20,0.3,stock/a1,stock,1.0,6,True,1.8,3,36,0.0267
P6 n20 d0.3,P6,20,0.3,cuthill/a0,cuthill,0.0,6,True,1.8,3,36,0.02
P6 n20 d0.3,P6,20,0.3,cuthill/a1,cuthill,1.0,6,True,1.8,3,36,0.02
P6 n20 d0.3,P6,20,0.3,stock/a0,stock,0.0,7,True,1.75,3,35,0.0431
P6 n20 d0.3,P6,20,0.3,stock/a1,stock,1.0,7,True,1.75,3,35,0.043
P6 n20 d0.3,P6,20,0.3,cuthill/a0,cuthill,0.0,7,True,1.65,3,33,0.024
P6 n20 d0.3,P6,20,0.3,cuthill/a1,cuthill,1.0,7,True,1.65,3,33,0.024
P6 n20 d0.3,P6,20,0.3,stock/a0,stock,0.0,8,True,1.7,3,34,0.0247
P6 n20 d0.3,P6,20,0.3,stock/a1,stock,1.0,8,True,1.7,3,34,0.0247
