cell,arm,seed,final_acl,max_chain,pen,hier_acc,int_acc,passes,bm_wall,readouts,max_edge_span,time
ER100_d10,orders,0,5.62,8,0,0,2672,10,1.35,4108,18.0,60.1
ER100_d10,orders,1,5.62,8,0,0,2817,10,1.26,4368,18.0,60.1
ER100_d10,orders,2,5.62,8,0,0,2331,9,1.27,3598,18.0,60.0
ER100_d10,orders-h,0,5.71,8,0,1289,3013,6,0.83,4063,19.0,60.0
ER100_d10,orders-h,1,5.72,8,0,1073,2489,5,0.9,3358,19.0,60.2
ER100_d10,orders-h,2,4.88,8,0,1289,2950,6,0.68,3966,19.0,60.1
ER100_d10,audit,0,5.55,8,0,0,39,5,14.72,2193,20.0,60.1
ER100_d10,audit,1,5.54,8,0,0,39,5,14.51,2193,20.0,60.2
ER100_d10,audit,2,4.84,8,0,0,39,5,13.8,2193,20.0,60.1
ER100_d10,audit-h,0,5.4,8,0,21,37,5,18.04,3244,19.0,60.1
ER100_d10,audit-h,1,4.67,8,0,21,37,5,16.29,3244,19.0,60.1
ER100_d10,audit-h,2,4.65,8,0,21,37,5,21.87,3244,19.0,60.1
king_graph_196,orders,0,3.352,6,18,0,459,5,0.71,500,5.0,60.1
king_graph_196,orders,1,2.531,5,18,0,465,6,0.84,506,5.0,60.1
king_graph_196,orders,2,3.352,6,18,0,459,5,0.65,500,5.0,60.1
king_graph_196,orders-h,0,3.128,5,12,298,642,5,0.32,743,6.0,60.2
king_graph_196,orders-h,1,3.138,5,12,288,616,4,0.38,717,6.0,60.0
king_graph_196,orders-h,2,3.128,5,12,288,553,4,0.31,640,6.0,60.1
king_graph_196,audit,0,2.061,4,26,0,9,2,0.71,770,11.0,60.1
king_graph_196,audit,1,2.347,5,26,0,9,2,0.69,770,11.0,60.1
king_graph_196,audit,2,1.954,4,26,0,9,2,0.71,770,11.0,60.1
king_graph_196,audit-h,0,2.046,4,10,11,12,3,18.46,2027,10.0,60.1
king_graph_196,audit-h,1,1.954,4,10,11,12,2,19.72,1950,10.0,60.0
king_graph_196,audit-h,2,2.219,5,10,11,12,2,22.07,1780,10.0,60.0
turan_n162,orders,0,6.0,6,0,0,427,4,16.82,432,21.0,61.8
turan_n162,orders,1,6.0,6,0,0,267,2,3.73,271,22.0,60.9
turan_n162,orders,2,6.0,6,0,0,499,4,20.48,504,21.0,65.1
turan_n162,orders,3,6.0,6,0,0,293,3,24.04,297,22.0,74.8
turan_n162,orders,4,6.0,6,0,0,290,3,24.83,294,22.0,60.6
turan_n162,orders,5,6.0,6,0,0,194,1,17.31,197,22.0,64.2
turan_n162,orders,6,6.0,6,0,0,650,5,13.3,656,21.0,69.6
turan_n162,orders,7,6.0,6,0,0,452,4,20.65,458,21.0,63.2
turan_n162,orders,8,6.0,6,0,0,209,2,16.24,213,22.0,65.9
turan_n162,orders,9,6.0,6,0,0,319,3,23.21,323,21.0,65.5
turan_n162,orders-h,0,6.0,6,0,211,534,3,10.48,615,22.0,63.0
turan_n162,orders-h,1,6.0,6,0,103,165,2,18.2,167,22.0,62.4
turan_n162,orders-h,2,6.0,6,0,202,460,3,15.86,477,22.0,70.6
turan_n162,orders-h,3,6.0,6,0,104,218,1,24.18,225,22.0,67.9
turan_n162,orders-h,4,6.0,6,0,211,518,3,9.8,561,22.0,66.5
turan_n162,orders-h,5,6.0,6,0,176,314,3,3.56,317,22.0,64.4
turan_n162,orders-h,6,6.0,6,0,109,251,2,20.64,258,22.0,61.2
turan_n162,orders-h,7,6.0,6,0,137,275,3,16.81,278,22.0,61.0
turan_n162,orders-h,8,6.0,6,0,275,537,4,3.82,543,22.0,65.6
turan_n162,orders-h,9,6.0,6,0,211,494,3,7.52,519,22.0,60.8
turan_n162,audit,0,6.0,6,0,0,33,2,6.14,217,22.0,67.3
turan_n162,audit,1,6.0,6,0,0,19,2,8.51,427,22.0,61.9
turan_n162,audit,2,6.0,6,0,0,33,2,13.26,217,22.0,64.7
turan_n162,audit,3,6.0,6,0,0,33,2,6.21,217,22.0,62.6
turan_n162,audit,4,6.0,6,0,0,33,2,5.25,217,22.0,62.1
turan_n162,audit,5,6.0,6,0,0,19,2,14.59,427,22.0,62.8
turan_n162,audit,6,6.0,6,0,0,33,2,7.2,217,22.0,63.7
turan_n162,audit,7,6.0,6,0,0,19,2,14.23,271,22.0,60.4
turan_n162,audit,8,6.0,6,0,0,19,2,18.26,427,22.0,61.9
turan_n162,audit,9,6.0,6,0,0,33,2,4.6,217,22.0,64.0
turan_n162,audit-h,0,6.0,6,0,6,11,2,21.89,325,22.0,63.5
turan_n162,audit-h,1,6.0,6,0,5,5,2,1.85,333,21.0,68.9
turan_n162,audit-h,2,6.0,6,0,6,11,2,21.15,379,22.0,62.0
turan_n162,audit-h,3,6.0,6,0,6,11,2,17.92,401,22.0,64.7
turan_n162,audit-h,4,6.0,6,0,6,9,1,21.04,119,22.0,62.2
turan_n162,audit-h,5,6.0,6,0,5,5,2,2.2,333,21.0,61.0
turan_n162,audit-h,6,6.0,6,0,6,11,2,18.7,401,22.0,75.6
turan_n162,audit-h,7,6.0,6,0,5,5,2,3.91,333,21.0,69.3
turan_n162,audit-h,8,6.0,6,0,5,5,1,8.08,221,21.0,70.7
turan_n162,audit-h,9,6.0,6,0,6,11,2,15.37,386,22.0,69.6
ws_n486,orders,0,2.494,8,67,0,502,1,0.13,503,30.0,60.8
ws_n486,orders,1,2.837,9,67,0,480,1,0.45,481,30.0,60.1
