cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,spectral,0,7.26,8,0.02,29.33,1,138,,138,0,4140,139,0,6.14,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,64.3
K100,Z12,,spectral,1,7.26,8,0.0,29.55,1,138,,138,0,3983,139,0,5.55,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,63.2
K100,Z12,,spectral,2,7.26,8,0.01,28.65,1,138,,138,0,5677,139,0,8.92,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,64.8
K100,Z12,,trivial,0,7.26,8,0.0,28.68,1,0,,0,0,4349,1,0,0.0,0,0,0,0,1,0,1152.0,24.0,True,0,0,0,True,62.0
K100,Z12,,trivial,1,7.26,8,0.0,29.3,1,0,,0,0,9506,1,0,0.0,0,0,0,0,1,0,1152.0,24.0,True,0,0,0,True,61.6
K100,Z12,,trivial,2,7.26,8,0.0,29.5,1,0,,0,0,6889,1,0,0.0,0,0,0,0,1,0,1152.0,24.0,True,0,0,0,True,62.6
K100,Z12,,landmark,0,7.26,8,0.0,29.61,1,1,,1,0,6292,2,0,0.0,0,0,0,0,1,0,1152.0,24.0,True,0,0,0,True,64.1
K100,Z12,,landmark,1,7.26,8,0.0,29.74,1,1,,1,0,9723,2,0,0.0,0,0,0,0,1,0,1152.0,24.0,True,0,0,0,True,65.9
K100,Z12,,landmark,2,7.26,8,0.0,29.56,1,1,,1,0,7923,2,0,0.0,0,0,0,0,1,0,1152.0,24.0,True,0,0,0,True,70.6
K100,Z12,,random,0,7.26,8,0.0,29.63,1,144,,144,0,9608,145,0,2.33,129,0,9,0,1,0,1153.0,21.0,True,0,0,0,True,61.0
K100,Z12,,random,1,7.26,8,0.0,29.58,1,119,,119,0,8722,120,0,1.71,85,0,6,0,1,0,1153.0,23.0,True,0,0,0,True,64.9
K100,Z12,,random,2,7.26,8,0.0,29.69,1,137,,137,0,5450,138,0,2.23,94,0,5,0,1,0,1153.0,24.0,True,0,0,0,True,61.3
K140,Z12,,spectral,0,9.757,10,0.0,29.72,1,188,,188,0,3773,189,0,5.92,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,70.7
K140,Z12,,spectral,1,9.757,10,0.0,29.59,1,188,,188,0,2622,189,0,11.4,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,63.7
K140,Z12,,spectral,2,9.757,10,0.0,29.79,1,188,,188,0,3682,189,0,6.28,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,75.4
K140,Z12,,trivial,0,9.757,10,0.0,29.34,1,0,,0,0,3816,1,0,0.0,0,0,0,0,1,0,2312.0,34.0,True,0,0,0,True,67.6
K140,Z12,,trivial,1,9.757,10,0.0,29.71,1,0,,0,0,5658,1,0,0.0,0,0,0,0,1,0,2312.0,34.0,True,0,0,0,True,72.1
K140,Z12,,trivial,2,9.757,10,0.0,29.62,1,0,,0,0,5671,1,0,0.0,0,0,0,0,1,0,2312.0,34.0,True,0,0,0,True,78.4
K140,Z12,,landmark,0,9.757,10,0.0,29.67,1,1,,1,0,6639,2,0,0.0,0,0,0,0,1,0,2312.0,34.0,True,0,0,0,True,76.3
K140,Z12,,landmark,1,9.757,10,0.0,29.62,1,1,,1,0,4159,2,0,0.0,0,0,0,0,1,0,2312.0,34.0,True,0,0,0,True,66.9
