cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,seat_acc,trans_acc,passes,fmiss,traj,pen,int_acc,int_dec,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.52,8,0.0,3.35,,,,,,,,,23.0,True,0,0,0,True,65.9
K100,Z12,,default,1,7.52,8,0.0,3.31,,,,,,,,,23.0,True,0,0,0,True,58.2
K100,Z12,,default,2,7.52,8,0.0,3.78,,,,,,,,,23.0,True,0,0,0,True,62.0
K100,Z12,,seats,0,7.35,8,0.0,29.88,5,0,6,12,1|0|5|1|1|0,0.0,0,0,23.0,True,0,0,0,True,62.7
K100,Z12,,seats,1,7.35,8,0.0,25.32,5,0,6,12,1|0|5|1|1|0,0.0,0,0,23.0,True,0,0,0,True,64.0
K100,Z12,,seats,2,7.35,8,0.0,29.88,5,0,6,12,1|0|5|1|1|0,0.0,0,0,23.0,True,0,0,0,True,65.2
K100,Z12,,seatsint,0,7.31,8,0.0,24.96,7,0,5,12,8|0|7|4|0,0.0,11,492,23.0,True,0,0,0,True,64.2
K100,Z12,,seatsint,1,7.31,8,0.0,22.23,7,0,5,12,8|0|7|4|0,0.0,11,492,23.0,True,0,0,0,True,63.0
K100,Z12,,seatsint,2,7.31,8,0.0,25.07,7,0,5,12,8|0|7|4|0,0.0,11,492,23.0,True,0,0,0,True,63.7
K100,Z12,,lex,0,7.35,8,0.0,19.57,8,0,4,0,0|5|3|0,0.0,0,0,23.0,True,0,0,0,True,62.6
K100,Z12,,lex,1,7.35,8,0.0,17.84,8,0,4,0,0|5|3|0,0.0,0,0,23.0,True,0,0,0,True,66.1
K100,Z12,,lex,2,7.35,8,0.0,23.18,8,0,4,0,0|5|3|0,0.0,0,0,23.0,True,0,0,0,True,60.7
K100,Z12,,lexint,0,7.31,8,0.0,29.86,8,0,5,0,8|0|7|4|0,0.0,11,470,23.0,True,0,0,0,True,62.3
K100,Z12,,lexint,1,7.31,8,0.0,24.36,8,0,5,0,8|0|7|4|0,0.0,11,499,23.0,True,0,0,0,True,65.2
K100,Z12,,lexint,2,7.31,8,0.0,24.88,8,0,5,0,8|0|7|4|0,0.0,11,499,23.0,True,0,0,0,True,60.9
K140,Z12,,default,0,9.85,11,0.0,14.48,,,,,,,,,32.0,True,0,0,0,True,60.7
K140,Z12,,default,1,9.85,11,0.0,14.28,,,,,,,,,32.0,True,0,0,0,True,60.8
K140,Z12,,default,2,9.85,11,0.0,11.71,,,,,,,,,32.0,True,0,0,0,True,61.6
K140,Z12,,seats,0,9.957,11,0.0,18.76,0,0,2,1,0|0,0.0,0,0,31.0,True,0,0,0,True,70.2
K140,Z12,,seats,1,9.957,11,0.0,13.06,0,0,2,1,0|0,0.0,0,0,31.0,True,0,0,0,True,70.3
K140,Z12,,seats,2,9.957,11,0.0,14.49,0,0,2,1,0|0,0.0,0,0,31.0,True,0,0,0,True,69.4
K140,Z12,,seatsint,0,9.886,11,0.0,21.8,0,0,3,4,6|0|0,0.0,5,599,32.0,True,0,0,0,True,68.8
K140,Z12,,seatsint,1,9.886,11,0.0,26.99,0,0,3,4,6|0|0,0.0,5,599,32.0,True,0,0,0,True,71.4
K140,Z12,,seatsint,2,9.886,11,0.0,27.78,0,0,3,4,6|0|0,0.0,5,599,32.0,True,0,0,0,True,73.5
K140,Z12,,lex,0,9.957,11,0.0,12.32,0,0,2,0,0|0,0.0,0,0,31.0,True,0,0,0,True,68.4
K140,Z12,,lex,1,9.957,11,0.0,17.84,0,0,2,0,0|0,0.0,0,0,31.0,True,0,0,0,True,74.3
K140,Z12,,lex,2,9.957,11,0.0,13.26,0,0,2,0,0|0,0.0,0,0,31.0,True,0,0,0,True,62.1
K140,Z12,,lexint,0,9.886,11,0.01,23.5,0,0,3,0,5|0|0,0.0,5,625,32.0,True,0,0,0,True,66.5
K140,Z12,,lexint,1,9.886,11,0.0,25.29,0,0,3,0,5|0|0,0.0,5,625,32.0,True,0,0,0,True,60.7
K140,Z12,,lexint,2,9.886,11,0.0,23.15,0,0,3,0,5|0|0,0.0,5,625,32.0,True,0,0,0,True,67.3
ER100_d10,Z12,,default,0,5.42,8,0.05,6.52,,,,,,,,,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,default,1,4.6,8,0.06,5.03,,,,,,,,,18.0,True,0,0,1,False,60.1
ER100_d10,Z12,,default,2,4.57,8,0.05,5.16,,,,,,,,,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,seats,0,4.96,8,0.05,22.75,78,22,12,71,24|14|6|2|0|60|27|16|10|6|1|0,22.0,0,0,17.0,False,0,2,3,False,60.1
ER100_d10,Z12,,seats,1,4.96,8,0.05,29.41,78,22,12,71,24|14|6|2|0|60|27|16|10|6|1|0,22.0,0,0,17.0,False,0,2,3,False,60.1
ER100_d10,Z12,,seats,2,4.72,9,0.06,27.25,78,22,12,71,24|14|6|2|0|60|27|16|10|6|1|0,22.0,0,0,17.0,False,0,2,3,False,60.0
ER100_d10,Z12,,seatsint,0,5.1,9,0.09,21.18,39,14,8,24,44|12|10|0|47|15|2|0,18.0,61,1873,16.0,True,0,0,5,False,60.0
ER100_d10,Z12,,seatsint,1,4.51,8,0.07,19.76,39,14,8,24,44|12|10|0|47|15|2|0,18.0,61,1873,16.0,True,0,0,5,False,60.0
ER100_d10,Z12,,seatsint,2,4.65,8,0.1,21.55,39,14,8,24,44|12|10|0|47|15|2|0,18.0,61,1873,16.0,True,0,0,5,False,60.1
ER100_d10,Z12,,lex,0,4.63,8,0.05,18.41,50,7,9,54,28|3|0|72|16|9|11|1|0,0.0,0,0,15.0,False,0,1,4,False,60.0
ER100_d10,Z12,,lex,1,4.67,9,0.11,19.21,50,7,9,54,28|3|0|72|16|9|11|1|0,0.0,0,0,15.0,False,0,1,4,False,60.0
ER100_d10,Z12,,lex,2,4.7,9,0.08,17.42,50,7,9,54,28|3|0|72|16|9|11|1|0,0.0,0,0,15.0,False,0,1,4,False,60.1
ER100_d10,Z12,,lexint,0,4.63,8,0.06,29.74,47,53,13,70,58|36|15|6|2|1|0|56|18|4|3|1,0.0,71,3072,17.0,False,0,4,11,False,60.0
ER100_d10,Z12,,lexint,1,4.52,8,0.06,29.9,47,53,13,70,58|36|15|6|2|1|0|56|18|4|3|1,0.0,71,3072,17.0,False,0,4,11,False,60.1
ER100_d10,Z12,,lexint,2,4.65,8,0.06,29.85,47,53,13,70,58|36|15|6|2|1|0|56|18|4|3|1,0.0,71,3072,17.0,False,0,4,11,False,60.0
turan_n162,Z12,2647,default,0,6.0,6,0.0,29.57,,,,,,,,,22.0,True,0,0,64,False,60.5
turan_n162,Z12,2647,default,1,6.0,6,0.0,21.8,,,,,,,,,22.0,True,0,0,32,False,64.8
turan_n162,Z12,2647,default,2,6.0,6,0.0,29.92,,,,,,,,,22.0,True,0,0,64,False,60.4
turan_n162,Z12,2647,default,3,6.0,6,0.0,29.82,,,,,,,,,22.0,True,0,0,64,False,61.8
turan_n162,Z12,2647,default,4,6.0,6,0.0,29.61,,,,,,,,,22.0,True,0,0,46,False,62.0
turan_n162,Z12,2647,default,5,6.0,6,0.0,27.49,,,,,,,,,22.0,True,0,0,32,False,63.8
turan_n162,Z12,2647,default,6,6.0,6,0.0,29.79,,,,,,,,,22.0,True,0,0,64,False,63.3
turan_n162,Z12,2647,default,7,6.0,6,0.0,23.92,,,,,,,,,22.0,True,0,0,32,False,61.1
turan_n162,Z12,2647,default,8,6.0,6,0.0,27.04,,,,,,,,,22.0,True,0,0,32,False,64.4
turan_n162,Z12,2647,default,9,6.0,6,0.0,29.69,,,,,,,,,22.0,True,0,0,64,False,62.5
turan_n162,Z12,2647,seats,0,6.0,6,0.0,30.24,128,13,4,8,26|0|129|0,1.0,0,0,26.0,True,0,0,24,False,63.3
turan_n162,Z12,2647,seats,1,6.0,6,0.0,29.95,62,0,4,29,8|0|62|0,0.0,0,0,21.0,True,0,0,62,False,61.9
turan_n162,Z12,2647,seats,2,6.0,6,0.0,30.08,128,13,3,8,26|0|129,1.0,0,0,26.0,True,0,0,24,False,63.8
turan_n162,Z12,2647,seats,3,6.0,6,0.0,30.03,128,13,3,8,26|0|129,1.0,0,0,26.0,True,0,0,24,False,63.6
turan_n162,Z12,2647,seats,4,6.0,6,0.0,30.1,128,13,3,8,26|0|129,1.0,0,0,26.0,True,0,0,24,False,61.4
turan_n162,Z12,2647,seats,5,6.0,6,0.0,29.83,62,0,3,29,8|0|62,0.0,0,0,21.0,True,0,0,62,False,61.2
turan_n162,Z12,2647,seats,6,6.0,6,0.0,34.54,0,13,3,0,26|0|1,0.0,0,0,26.0,True,0,0,42,False,60.7
turan_n162,Z12,2647,seats,7,6.0,6,0.0,29.89,62,0,3,29,8|0|62,0.0,0,0,21.0,True,0,0,62,False,60.5
turan_n162,Z12,2647,seats,8,6.0,6,0.0,35.72,62,0,4,29,8|0|62|0,0.0,0,0,21.0,True,0,0,62,False,63.1
turan_n162,Z12,2647,seats,9,6.0,6,0.0,30.15,128,13,3,8,26|0|129,1.0,0,0,26.0,True,0,0,24,False,62.0
turan_n162,Z12,2647,seatsint,0,6.432,7,0.0,33.75,0,18,4,0,16|7|0|4,5.0,4,482,25.0,True,0,0,45,False,63.2
turan_n162,Z12,2647,seatsint,1,6.0,6,0.0,31.33,0,0,3,0,3|0|0,0.0,2,177,22.0,True,0,0,33,False,63.4
turan_n162,Z12,2647,seatsint,2,6.444,7,0.0,33.7,0,18,4,0,16|7|0|4,5.0,4,482,25.0,True,0,0,45,False,61.1
turan_n162,Z12,2647,seatsint,3,6.228,7,0.0,30.95,0,18,4,0,16|7|0|4,5.0,4,482,25.0,True,0,0,45,False,62.1
turan_n162,Z12,2647,seatsint,4,17.235,35,0.0,30.14,0,18,4,0,16|7|0|0,11.0,4,444,24.0,False,0,41,63,False,60.2
turan_n162,Z12,2647,seatsint,5,6.0,6,0.0,29.86,36,0,3,35,3|0|36,0.0,2,177,21.0,True,0,0,61,False,61.7
