cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,seat_acc,trans_acc,passes,fmiss,traj,pen,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.52,8,0.0,3.77,,,,,,,23.0,True,0,0,0,True,65.3
K100,Z12,,default,1,7.52,8,0.0,3.79,,,,,,,23.0,True,0,0,0,True,60.9
K100,Z12,,default,2,7.52,8,0.0,3.18,,,,,,,23.0,True,0,0,0,True,62.1
K100,Z12,,seats,0,7.35,8,0.0,28.99,5,0,6,12,1|0|5|1|1|0,0.0,23.0,True,0,0,0,True,60.8
K100,Z12,,seats,1,7.35,8,0.0,28.99,5,0,6,12,1|0|5|1|1|0,0.0,23.0,True,0,0,0,True,64.1
K100,Z12,,seats,2,7.35,8,0.0,29.83,5,0,6,12,1|0|5|1|1|0,0.0,23.0,True,0,0,0,True,61.8
K100,Z12,,lex,0,7.35,8,0.0,28.57,8,0,4,0,0|5|3|0,0.0,23.0,True,0,0,0,True,61.7
K100,Z12,,lex,1,7.35,8,0.0,19.48,8,0,4,0,0|5|3|0,0.0,23.0,True,0,0,0,True,60.6
K100,Z12,,lex,2,7.35,8,0.0,17.78,8,0,4,0,0|5|3|0,0.0,23.0,True,0,0,0,True,62.2
K140,Z12,,default,0,9.85,11,0.0,13.24,,,,,,,32.0,True,0,0,0,True,67.5
K140,Z12,,default,1,9.85,11,0.0,12.34,,,,,,,32.0,True,0,0,0,True,72.8
K140,Z12,,default,2,9.85,11,0.0,13.95,,,,,,,32.0,True,0,0,0,True,60.6
K140,Z12,,seats,0,9.957,11,0.0,15.81,0,0,2,1,0|0,0.0,31.0,True,0,0,0,True,67.5
K140,Z12,,seats,1,9.957,11,0.0,14.69,0,0,2,1,0|0,0.0,31.0,True,0,0,0,True,69.4
K140,Z12,,seats,2,9.957,11,0.0,22.97,0,0,2,1,0|0,0.0,31.0,True,0,0,0,True,68.3
K140,Z12,,lex,0,9.957,11,0.0,14.31,0,0,2,0,0|0,0.0,31.0,True,0,0,0,True,64.2
K140,Z12,,lex,1,9.957,11,0.0,14.41,0,0,2,0,0|0,0.0,31.0,True,0,0,0,True,69.7
K140,Z12,,lex,2,9.957,11,0.0,17.92,0,0,2,0,0|0,0.0,31.0,True,0,0,0,True,64.7
ER100_d10,Z12,,default,0,5.42,8,0.06,5.48,,,,,,,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,default,1,4.6,8,0.06,5.16,,,,,,,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,default,2,4.57,8,0.06,7.39,,,,,,,18.0,True,0,0,1,False,60.1
ER100_d10,Z12,,seats,0,4.96,8,0.07,24.26,78,22,12,71,24|14|6|2|0|60|27|16|10|6|1|0,22.0,17.0,False,0,2,3,False,60.1
ER100_d10,Z12,,seats,1,4.96,8,0.06,25.18,78,22,12,71,24|14|6|2|0|60|27|16|10|6|1|0,22.0,17.0,False,0,2,3,False,60.0
ER100_d10,Z12,,seats,2,4.72,9,0.06,28.8,78,22,12,71,24|14|6|2|0|60|27|16|10|6|1|0,22.0,17.0,False,0,2,3,False,60.0
ER100_d10,Z12,,lex,0,4.63,8,0.06,18.22,50,7,9,54,28|3|0|72|16|9|11|1|0,0.0,15.0,False,0,1,4,False,60.0
ER100_d10,Z12,,lex,1,4.67,9,0.06,17.93,50,7,9,54,28|3|0|72|16|9|11|1|0,0.0,15.0,False,0,1,4,False,60.0
ER100_d10,Z12,,lex,2,4.7,9,0.06,16.53,50,7,9,54,28|3|0|72|16|9|11|1|0,0.0,15.0,False,0,1,4,False,60.1
turan_n162,Z12,2647,default,0,6.0,6,0.0,30.01,,,,,,,22.0,True,0,0,64,False,62.9
turan_n162,Z12,2647,default,1,6.0,6,0.0,23.13,,,,,,,22.0,True,0,0,32,False,62.3
turan_n162,Z12,2647,default,2,6.0,6,0.01,29.86,,,,,,,22.0,True,0,0,64,False,63.0
turan_n162,Z12,2647,default,3,6.0,6,0.0,29.87,,,,,,,22.0,True,0,0,64,False,62.7
turan_n162,Z12,2647,default,4,6.0,6,0.0,29.88,,,,,,,22.0,True,0,0,64,False,61.9
turan_n162,Z12,2647,default,5,6.0,6,0.0,21.44,,,,,,,22.0,True,0,0,32,False,63.1
turan_n162,Z12,2647,default,6,6.0,6,0.0,29.9,,,,,,,22.0,True,0,0,64,False,61.6
turan_n162,Z12,2647,default,7,6.0,6,0.0,20.49,,,,,,,22.0,True,0,0,32,False,62.3
turan_n162,Z12,2647,default,8,6.0,6,0.0,25.6,,,,,,,22.0,True,0,0,32,False,64.3
turan_n162,Z12,2647,default,9,6.0,6,0.0,29.84,,,,,,,22.0,True,0,0,46,False,61.6
turan_n162,Z12,2647,seats,0,6.0,6,0.0,41.36,128,13,4,8,26|0|129|0,1.0,26.0,True,0,0,24,False,60.3
turan_n162,Z12,2647,seats,1,6.0,6,0.0,33.49,62,0,4,29,8|0|62|0,0.0,21.0,True,0,0,62,False,62.3
turan_n162,Z12,2647,seats,2,6.0,6,0.0,29.95,128,13,4,8,26|0|129|0,1.0,26.0,True,0,0,24,False,60.2
turan_n162,Z12,2647,seats,3,6.0,6,0.0,30.04,94,13,3,7,26|0|95,1.0,26.0,True,0,0,26,False,60.7
turan_n162,Z12,2647,seats,4,6.0,6,0.0,30.04,128,13,3,8,26|0|129,1.0,26.0,True,0,0,24,False,62.9
turan_n162,Z12,2647,seats,5,6.0,6,0.0,29.71,62,0,3,29,8|0|62,0.0,21.0,True,0,0,62,False,60.8
turan_n162,Z12,2647,seats,6,6.0,6,0.0,29.92,128,13,3,8,26|0|129,1.0,26.0,True,0,0,24,False,62.4
turan_n162,Z12,2647,seats,7,6.0,6,0.0,34.7,62,0,4,29,8|0|62|0,0.0,21.0,True,0,0,62,False,64.6
turan_n162,Z12,2647,seats,8,6.0,6,0.0,30.27,52,0,3,21,8|0|52,0.0,22.0,True,0,0,57,False,60.7
turan_n162,Z12,2647,seats,9,6.0,6,0.0,35.95,128,13,4,8,26|0|129|0,1.0,26.0,True,0,0,24,False,63.1
turan_n162,Z12,2647,lex,0,6.228,7,0.0,29.8,0,17,4,0,25|3|2|0,0.0,27.0,True,0,0,42,False,62.3
turan_n162,Z12,2647,lex,1,6.0,6,0.0,29.69,126,16,4,20,21|2|0|126,0.0,23.0,True,0,0,23,False,62.7
turan_n162,Z12,2647,lex,2,6.228,7,0.0,29.89,5,17,5,3,25|3|2|0|7,0.0,27.0,True,0,0,38,False,61.4
turan_n162,Z12,2647,lex,3,17.889,40,0.0,29.8,4,17,5,2,25|3|2|0|6,0.0,27.0,False,0,24,40,False,62.3
turan_n162,Z12,2647,lex,4,6.228,7,0.0,31.77,0,17,5,0,25|3|2|0|2,0.0,27.0,True,0,0,40,False,70.5
turan_n162,Z12,2647,lex,5,6.0,6,0.0,29.87,126,16,4,20,21|2|0|126,0.0,23.0,True,0,0,23,False,66.7
turan_n162,Z12,2647,lex,6,6.228,7,0.0,32.09,0,17,5,0,25|3|2|0|2,0.0,27.0,True,0,0,40,False,61.2
turan_n162,Z12,2647,lex,7,6.228,7,0.0,31.36,0,16,4,0,21|2|0|0,0.0,23.0,True,0,0,35,False,60.5
turan_n162,Z12,2647,lex,8,6.0,6,0.0,30.36,62,16,4,20,21|2|0|62,0.0,23.0,True,0,0,21,False,78.9
turan_n162,Z12,2647,lex,9,6.235,7,0.0,36.26,0,17,5,0,25|3|2|0|2,0.0,27.0,True,0,0,40,False,60.7
spin_glass_n163,Z12,37309,default,0,10.896,13,0.99,29.37,,,,,,,38.0,True,0,0,0,True,60.1
spin_glass_n163,Z12,37309,default,1,10.896,13,0.92,25.96,,,,,,,38.0,True,0,0,0,True,60.5
spin_glass_n163,Z12,37309,default,2,10.896,13,0.94,26.12,,,,,,,38.0,True,0,0,0,True,63.9
spin_glass_n163,Z12,37309,seats,0,11.098,13,1.06,28.78,14,0,3,7,4|0|74,2.0,36.0,True,0,0,0,True,67.2
spin_glass_n163,Z12,37309,seats,1,11.098,13,1.03,28.79,14,0,3,7,4|0|74,2.0,36.0,True,0,0,0,True,64.8
spin_glass_n163,Z12,37309,seats,2,11.012,13,0.8,29.72,14,0,4,7,4|0|74|11,2.0,36.0,True,0,0,1,False,72.1
spin_glass_n163,Z12,37309,lex,0,11.104,13,0.98,29.24,6,0,3,3,14|0|106,0.0,30.0,True,0,0,1,False,65.7
spin_glass_n163,Z12,37309,lex,1,11.104,13,0.99,28.87,6,0,3,3,14|0|106,0.0,30.0,True,0,0,1,False,63.8
spin_glass_n163,Z12,37309,lex,2,11.104,13,0.9,28.95,6,0,3,3,14|0|106,0.0,30.0,True,0,0,1,False,62.3
regular_n316,Z12,13096,default,0,2.725,6,0.17,29.77,,,,,,,16.0,False,0,13,16,False,60.1
regular_n316,Z12,13096,default,1,2.883,7,1.22,28.7,,,,,,,15.0,False,0,11,12,False,60.4
regular_n316,Z12,13096,default,2,2.867,7,1.45,28.53,,,,,,,16.0,False,0,13,16,False,60.3
regular_n316,Z12,13096,seats,0,2.737,6,0.85,29.1,0,108,5,0,104|30|15|7|0,25.0,18.0,False,0,15,21,False,60.2
regular_n316,Z12,13096,seats,1,2.636,6,1.17,28.76,0,108,6,0,104|30|15|7|0|0,25.0,18.0,False,0,15,21,False,60.1
regular_n316,Z12,13096,seats,2,2.845,7,0.58,29.33,0,108,5,0,104|30|15|7|0,25.0,18.0,False,0,15,21,False,60.2
regular_n316,Z12,13096,lex,0,2.873,7,0.64,29.29,0,80,2,0,134|18,0.0,17.0,False,0,22,27,False,60.0
regular_n316,Z12,13096,lex,1,2.658,6,2.07,27.84,0,78,2,0,134|16,0.0,17.0,False,0,9,12,False,60.0
regular_n316,Z12,13096,lex,2,2.959,8,5.27,24.64,0,79,2,0,134|17,0.0,17.0,False,0,8,13,False,60.0
ws_n486,Z12,17188,default,0,2.654,8,9.34,20.85,,,,,,,27.0,False,0,22,28,False,60.1
ws_n486,Z12,17188,default,1,2.564,8,8.82,20.9,,,,,,,27.0,False,0,22,28,False,60.1
ws_n486,Z12,17188,default,2,2.572,8,9.66,20.3,,,,,,,27.0,False,0,22,28,False,60.3
ws_n486,Z12,17188,default,3,2.963,10,9.11,20.11,,,,,,,27.0,False,0,22,28,False,60.5
ws_n486,Z12,17188,default,4,2.735,9,12.33,17.28,,,,,,,27.0,False,0,22,28,False,60.3
ws_n486,Z12,17188,default,5,2.632,8,14.12,15.79,,,,,,,27.0,False,0,22,28,False,60.4
ws_n486,Z12,17188,default,6,2.403,7,13.83,15.94,,,,,,,27.0,False,0,22,28,False,60.0
ws_n486,Z12,17188,default,7,2.558,8,12.98,16.92,,,,,,,27.0,False,0,22,28,False,60.0
ws_n486,Z12,17188,default,8,2.652,8,12.62,16.76,,,,,,,27.0,False,0,22,28,False,60.3
ws_n486,Z12,17188,default,9,2.521,8,13.18,15.74,,,,,,,27.0,False,0,18,23,False,60.2
ws_n486,Z12,17188,seats,0,2.578,9,13.32,16.6,0,146,2,0,236|38,35.0,30.0,False,0,20,26,False,60.1
ws_n486,Z12,17188,seats,1,2.749,9,14.06,15.74,0,144,2,0,236|36,35.0,30.0,False,1,17,23,False,60.1
ws_n486,Z12,17188,seats,2,2.529,9,10.39,19.45,0,144,2,0,236|36,35.0,30.0,False,0,17,23,False,60.7
ws_n486,Z12,17188,seats,3,2.675,9,11.73,18.02,0,145,2,0,236|37,35.0,30.0,False,0,21,25,False,60.2
ws_n486,Z12,17188,seats,4,2.597,8,12.59,15.88,0,165,2,0,236|57,43.0,29.0,False,0,14,26,False,60.0
ws_n486,Z12,17188,seats,5,2.817,9,11.55,17.01,0,160,2,0,236|52,52.0,30.0,False,0,29,32,False,60.0
