n,d,seed,arm,success,time,acl
60,0.1695,0,default,True,1.195,4.017
60,0.1695,0,legalize,True,0.159,6.4
60,0.1695,0,threads4,True,1.156,4.017
60,0.1695,0,threads16,True,1.195,4.017
60,0.1695,1,default,True,1.296,4.15
60,0.1695,1,legalize,True,0.289,6.2
60,0.1695,1,threads4,True,1.203,4.15
60,0.1695,1,threads16,True,1.25,4.15
100,0.101,0,default,True,5.551,5.66
100,0.101,0,legalize,True,0.444,9.1
100,0.101,0,threads4,True,5.39,5.66
100,0.101,0,threads16,True,5.42,5.66
100,0.101,1,default,True,4.572,5.51
100,0.101,1,legalize,True,0.444,9.02
100,0.101,1,threads4,True,4.465,5.51
100,0.101,1,threads16,True,4.552,5.51
140,0.0719,0,default,True,11.71,8.179
140,0.0719,0,legalize,True,0.492,13.207
140,0.0719,0,threads4,True,11.579,8.179
140,0.0719,0,threads16,True,11.596,8.179
140,0.0719,1,default,True,10.241,7.893
140,0.0719,1,legalize,True,0.647,14.221
140,0.0719,1,threads4,True,10.025,7.893
140,0.0719,1,threads16,True,10.278,7.893
180,0.0559,0,default,True,17.06,9.878
180,0.0559,0,legalize,True,0.798,15.672
180,0.0559,0,threads4,True,16.917,9.878
180,0.0559,0,threads16,True,16.758,9.878
180,0.0559,1,default,True,7.484,10.367
180,0.0559,1,legalize,True,0.754,14.95
180,0.0559,1,threads4,True,7.303,10.367
180,0.0559,1,threads16,True,7.37,10.367
220,0.0457,0,default,True,8.368,12.455
220,0.0457,0,legalize,True,1.349,17.477
220,0.0457,0,threads4,True,8.157,12.455
220,0.0457,0,threads16,True,8.278,12.455
220,0.0457,1,default,True,8.952,12.923
220,0.0457,1,legalize,True,1.363,18.045
220,0.0457,1,threads4,True,8.764,12.923
220,0.0457,1,threads16,True,9.098,12.923
