cell,fabric,gid,arm,seed,final_acl,max_chain,stair_E,assigned,mm_skipped,time
K100,Z12,,spiral,0,7.84,9,1181.0,100,True,28.6
K100,Z12,,spiral,1,7.84,9,1181.0,100,True,32.3
K100,Z12,,spiral,2,7.84,9,1181.0,100,True,29.6
K100,Z12,,random,0,7.76,9,1171.0,100,True,46.4
K100,Z12,,random,1,7.74,9,1173.0,100,True,35.7
K100,Z12,,random,2,7.74,9,1172.0,100,True,32.6
K100,Z12,,grid,0,7.72,8,1152.0,100,True,42.0
K100,Z12,,grid,1,7.72,8,1152.0,100,True,45.7
K100,Z12,,grid,2,7.72,8,1152.0,100,True,39.6
K140,Z12,,spiral,0,10.229,11,2345.0,140,True,65.9
K140,Z12,,spiral,1,10.229,11,2345.0,140,True,63.8
K140,Z12,,spiral,2,10.229,11,2345.0,140,True,61.8
K140,Z12,,random,0,10.329,11,2356.0,140,True,68.8
K140,Z12,,random,1,10.264,11,2347.0,140,True,64.0
K140,Z12,,random,2,10.271,12,2327.0,140,True,60.3
K140,Z12,,grid,0,10.229,11,2319.0,140,True,60.1
K140,Z12,,grid,1,10.229,11,2319.0,140,True,70.6
K140,Z12,,grid,2,10.229,11,2319.0,140,True,61.2
ER100_d10,Z12,,spiral,0,4.66,8,845.0,100,False,5.2
ER100_d10,Z12,,spiral,1,5.06,9,845.0,100,False,3.7
ER100_d10,Z12,,spiral,2,4.75,8,845.0,100,False,5.6
ER100_d10,Z12,,random,0,4.63,8,850.0,100,False,6.4
ER100_d10,Z12,,random,1,4.57,8,859.0,100,False,5.0
ER100_d10,Z12,,random,2,4.75,8,838.0,100,False,4.6
ER100_d10,Z12,,grid,0,4.66,8,828.0,100,False,4.4
ER100_d10,Z12,,grid,1,4.76,8,828.0,100,False,3.7
ER100_d10,Z12,,grid,2,6.01,9,828.0,100,False,2.7
turan_n162,Z12,2647,spiral,0,6.0,6,1736.0,162,True,35.9
turan_n162,Z12,2647,spiral,1,6.0,6,2126.0,162,True,45.2
turan_n162,Z12,2647,spiral,2,6.0,6,1736.0,162,True,39.5
turan_n162,Z12,2647,spiral,3,6.0,6,1736.0,162,True,43.8
turan_n162,Z12,2647,spiral,4,6.0,6,1736.0,162,True,35.5
turan_n162,Z12,2647,spiral,5,6.0,6,2126.0,162,True,45.4
turan_n162,Z12,2647,spiral,6,6.0,6,1736.0,162,True,41.4
turan_n162,Z12,2647,spiral,7,6.0,6,2126.0,162,True,41.2
turan_n162,Z12,2647,spiral,8,6.228,7,2126.0,162,True,46.5
turan_n162,Z12,2647,spiral,9,6.0,6,1736.0,162,True,37.7
turan_n162,Z12,2647,random,0,6.0,6,2288.0,162,True,46.2
turan_n162,Z12,2647,random,1,6.0,6,1726.0,162,True,33.8
turan_n162,Z12,2647,random,2,9.204,13,2349.0,162,False,60.3
turan_n162,Z12,2647,random,3,6.0,6,1720.0,162,True,38.9
turan_n162,Z12,2647,random,4,6.0,6,1731.0,162,True,36.5
turan_n162,Z12,2647,random,5,6.0,6,1669.0,162,True,46.2
turan_n162,Z12,2647,random,6,6.0,6,1735.0,162,True,43.8
turan_n162,Z12,2647,random,7,6.0,6,1728.0,162,True,36.0
turan_n162,Z12,2647,random,8,6.0,6,1727.0,162,True,35.0
turan_n162,Z12,2647,random,9,6.235,7,1710.0,162,False,33.2
turan_n162,Z12,2647,grid,0,6.0,6,1679.0,162,True,31.0
turan_n162,Z12,2647,grid,1,6.228,7,1797.0,162,True,60.6
turan_n162,Z12,2647,grid,2,6.0,6,1679.0,162,True,35.0
turan_n162,Z12,2647,grid,3,6.0,6,1679.0,162,True,36.6
turan_n162,Z12,2647,grid,4,6.0,6,1679.0,162,True,34.4
turan_n162,Z12,2647,grid,5,6.228,7,1797.0,162,True,38.5
turan_n162,Z12,2647,grid,6,6.0,6,1679.0,162,True,38.1
turan_n162,Z12,2647,grid,7,6.228,7,1797.0,162,True,45.4
turan_n162,Z12,2647,grid,8,6.228,7,1797.0,162,True,40.0
turan_n162,Z12,2647,grid,9,6.0,6,1679.0,162,True,41.6
spin_glass_n163,Z12,37309,spiral,0,11.417,13,3136.0,163,True,41.5
spin_glass_n163,Z12,37309,spiral,1,11.417,13,3136.0,163,True,40.6
spin_glass_n163,Z12,37309,spiral,2,11.417,13,3136.0,163,True,37.9
spin_glass_n163,Z12,37309,random,0,11.288,13,3060.0,163,True,40.0
spin_glass_n163,Z12,37309,random,1,11.282,14,3074.0,163,True,37.8
spin_glass_n163,Z12,37309,random,2,11.27,13,3085.0,163,True,36.7
spin_glass_n163,Z12,37309,grid,0,11.227,13,3065.0,163,True,43.8
spin_glass_n163,Z12,37309,grid,1,11.233,13,3065.0,163,True,38.8
spin_glass_n163,Z12,37309,grid,2,11.221,13,3065.0,163,True,40.3
regular_n316,Z12,13096,spiral,0,2.927,8,2061.0,316,False,15.3
regular_n316,Z12,13096,spiral,1,2.769,6,2061.0,316,False,14.6
regular_n316,Z12,13096,spiral,2,2.864,7,2061.0,316,False,14.0
regular_n316,Z12,13096,random,0,2.94,7,2064.0,316,False,12.5
regular_n316,Z12,13096,random,1,2.592,6,2136.0,316,False,15.6
regular_n316,Z12,13096,random,2,3.079,7,2063.0,316,False,18.2
regular_n316,Z12,13096,grid,0,2.75,6,2045.0,316,False,16.4
regular_n316,Z12,13096,grid,1,2.753,7,2045.0,316,False,17.1
regular_n316,Z12,13096,grid,2,2.655,6,2045.0,316,False,17.3
ws_n486,Z12,17188,spiral,0,3.342,11,8997.0,486,False,32.0
ws_n486,Z12,17188,spiral,1,3.381,12,8997.0,486,False,32.1
ws_n486,Z12,17188,spiral,2,2.893,10,8997.0,486,False,32.6
ws_n486,Z12,17188,random,0,3.019,10,4272.0,486,False,32.0
ws_n486,Z12,17188,random,1,2.889,10,14124.0,486,False,32.2
ws_n486,Z12,17188,random,2,2.823,10,6799.0,486,False,33.4
ws_n486,Z12,17188,grid,0,2.912,11,4248.0,486,False,32.5
ws_n486,Z12,17188,grid,1,2.99,9,4248.0,486,False,32.0
ws_n486,Z12,17188,grid,2,2.916,10,4248.0,486,False,32.3
grid_200,Z12,1590,spiral,0,1.09,2,307.0,200,False,6.9
grid_200,Z12,1590,spiral,1,1.145,2,307.0,200,False,6.7
grid_200,Z12,1590,spiral,2,1.13,2,307.0,200,False,7.4
grid_200,Z12,1590,random,0,1.12,2,287.0,200,False,9.1
grid_200,Z12,1590,random,1,1.155,2,275.0,200,False,5.4
grid_200,Z12,1590,random,2,1.1,2,242.0,200,False,4.7
grid_200,Z12,1590,grid,0,1.13,2,291.0,200,False,9.0
grid_200,Z12,1590,grid,1,1.135,2,291.0,200,False,9.5
grid_200,Z12,1590,grid,2,1.105,2,291.0,200,False,8.8
honeycomb_200,Z12,32393,spiral,0,1.085,2,283.0,200,False,5.8
honeycomb_200,Z12,32393,spiral,1,1.09,2,283.0,200,False,6.4
honeycomb_200,Z12,32393,spiral,2,1.095,2,283.0,200,False,6.2
honeycomb_200,Z12,32393,random,0,1.085,2,283.0,200,False,6.7
honeycomb_200,Z12,32393,random,1,1.09,2,283.0,200,False,6.0
honeycomb_200,Z12,32393,random,2,1.095,2,283.0,200,False,6.1
honeycomb_200,Z12,32393,grid,0,1.085,2,283.0,200,False,5.2
honeycomb_200,Z12,32393,grid,1,1.09,2,283.0,200,False,4.7
honeycomb_200,Z12,32393,grid,2,1.095,2,283.0,200,False,4.6
king_graph_196,Z12,32622,spiral,0,1.561,3,411.0,196,False,7.8
king_graph_196,Z12,32622,spiral,1,1.531,3,411.0,196,False,7.5
king_graph_196,Z12,32622,spiral,2,1.495,2,411.0,196,False,7.9
king_graph_196,Z12,32622,random,0,1.459,3,424.0,196,False,10.3
king_graph_196,Z12,32622,random,1,1.633,3,524.0,196,False,7.8
king_graph_196,Z12,32622,random,2,1.571,3,455.0,196,False,9.1
king_graph_196,Z12,32622,grid,0,1.546,3,369.0,196,False,7.3
king_graph_196,Z12,32622,grid,1,1.51,3,369.0,196,False,7.3
king_graph_196,Z12,32622,grid,2,1.464,2,369.0,196,False,7.5
