cell,arm,seed,final_acl,skips,deficit,time
ER100_d10,mm,0,5.0,,,3.1
ER100_d10,mm,1,5.07,,,1.5
ER100_d10,mm,2,4.85,,,1.7
ER100_d10,base,0,4.62,,,5.5
ER100_d10,base,1,4.71,,,5.9
ER100_d10,base,2,4.76,,,3.5
ER100_d10,dshake,0,4.62,,,4.7
ER100_d10,dshake,1,4.71,,,6.8
ER100_d10,dshake,2,4.76,,,3.5
ER100_d10,exact,0,4.51,0,363,8.6
ER100_d10,exact,1,4.58,0,363,5.6
ER100_d10,exact,2,5.19,0,363,3.5
regular_n316,mm,0,3.364,,,2.1
regular_n316,mm,1,3.411,,,3.1
regular_n316,mm,2,3.291,,,7.1
regular_n316,base,0,2.886,,,12.9
regular_n316,base,1,2.665,,,16.0
regular_n316,base,2,2.737,,,12.2
regular_n316,dshake,0,2.804,,,12.3
regular_n316,dshake,1,2.665,,,12.6
regular_n316,dshake,2,2.785,,,11.5
regular_n316,exact,0,2.782,0,137,10.1
regular_n316,exact,1,2.718,0,137,11.7
regular_n316,exact,2,2.744,0,137,14.9
ws_n486,mm,0,3.233,,,5.5
ws_n486,mm,1,3.173,,,4.0
ws_n486,mm,2,2.821,,,4.5
ws_n486,base,0,3.132,,,8.9
ws_n486,base,1,3.259,,,8.7
ws_n486,base,2,3.66,,,12.2
ws_n486,dshake,0,3.132,,,11.3
ws_n486,dshake,1,3.259,,,14.4
ws_n486,dshake,2,3.66,,,13.0
ws_n486,exact,0,2.897,0,763,16.0
ws_n486,exact,1,3.068,0,763,17.7
ws_n486,exact,2,3.068,0,763,14.6
wsc_c8xK32,mm,0,3.68,,,13.5
wsc_c8xK32,mm,1,3.805,,,19.0
wsc_c8xK32,mm,2,3.859,,,12.3
wsc_c8xK32,base,0,3.84,,,16.5
wsc_c8xK32,base,1,3.836,,,13.8
wsc_c8xK32,base,2,3.66,,,13.9
wsc_c8xK32,dshake,0,3.715,,,13.0
wsc_c8xK32,dshake,1,3.777,,,12.2
wsc_c8xK32,dshake,2,3.766,,,12.3
wsc_c8xK32,exact,0,3.777,0,288,11.8
wsc_c8xK32,exact,1,3.852,0,288,12.0
wsc_c8xK32,exact,2,3.605,0,288,16.3
wsc_c3xK64,mm,0,7.026,,,38.9
wsc_c3xK64,mm,1,7.651,,,35.0
wsc_c3xK64,mm,2,7.266,,,18.6
wsc_c3xK64,base,0,7.453,,,31.4
wsc_c3xK64,base,1,7.401,,,32.7
wsc_c3xK64,base,2,7.589,,,30.0
wsc_c3xK64,dshake,0,7.74,,,21.6
wsc_c3xK64,dshake,1,7.229,,,37.3
wsc_c3xK64,dshake,2,7.297,,,28.9
wsc_c3xK64,exact,0,7.12,0,177,47.5
wsc_c3xK64,exact,1,7.094,0,177,33.3
wsc_c3xK64,exact,2,7.438,0,177,32.2
