cell,fabric,gid,arm,seed,final_acl,max_chain,stair_E,assigned,mm_skipped,time
K100,Z12,,default,0,7.79,10,1169.0,100,True,28.5
K100,Z12,,default,1,7.79,10,1169.0,100,True,23.7
K100,Z12,,default,2,7.79,10,1169.0,100,True,27.0
K100,Z12,,order,0,7.84,9,1181.0,100,True,28.5
K100,Z12,,order,1,7.84,9,1181.0,100,True,28.4
K100,Z12,,order,2,7.84,9,1181.0,100,True,40.7
K140,Z12,,default,0,10.521,12,2389.0,140,True,69.7
K140,Z12,,default,1,10.521,12,2389.0,140,True,65.4
K140,Z12,,default,2,10.521,12,2389.0,140,True,60.9
K140,Z12,,order,0,10.229,11,2345.0,140,True,60.4
K140,Z12,,order,1,10.229,11,2345.0,140,True,73.9
K140,Z12,,order,2,10.229,11,2345.0,140,True,66.7
ER100_d10,Z12,,default,0,4.68,8,68.8,16,False,8.8
ER100_d10,Z12,,default,1,4.78,8,68.8,16,False,7.8
ER100_d10,Z12,,default,2,4.97,9,68.8,16,False,5.7
ER100_d10,Z12,,order,0,4.66,8,845.0,100,False,4.7
ER100_d10,Z12,,order,1,5.06,9,845.0,100,False,3.5
ER100_d10,Z12,,order,2,4.75,8,845.0,100,False,4.8
turan_n162,Z12,2647,default,0,6.772,8,2551.3,162,True,55.3
turan_n162,Z12,2647,default,1,6.772,8,2659.2,162,True,42.8
turan_n162,Z12,2647,default,2,6.802,8,2551.3,162,True,63.2
turan_n162,Z12,2647,default,3,7.0,8,2551.3,162,True,47.6
turan_n162,Z12,2647,default,4,7.0,8,2551.3,162,True,50.3
turan_n162,Z12,2647,default,5,6.796,8,2659.2,162,True,60.4
turan_n162,Z12,2647,default,6,6.753,8,2551.3,162,True,53.6
turan_n162,Z12,2647,default,7,6.778,8,2659.2,162,True,42.6
turan_n162,Z12,2647,default,8,6.772,8,2659.2,162,True,62.0
turan_n162,Z12,2647,default,9,6.809,8,2551.3,162,True,64.0
turan_n162,Z12,2647,order,0,6.0,6,1736.0,162,True,41.2
turan_n162,Z12,2647,order,1,6.0,6,2126.0,162,True,44.0
turan_n162,Z12,2647,order,2,6.0,6,1736.0,162,True,44.0
turan_n162,Z12,2647,order,3,6.0,6,1736.0,162,True,51.4
turan_n162,Z12,2647,order,4,6.0,6,1736.0,162,True,47.0
turan_n162,Z12,2647,order,5,6.0,6,2126.0,162,True,55.0
turan_n162,Z12,2647,order,6,6.0,6,1736.0,162,True,52.0
turan_n162,Z12,2647,order,7,6.0,6,2126.0,162,True,57.9
turan_n162,Z12,2647,order,8,6.228,7,2126.0,162,True,50.6
turan_n162,Z12,2647,order,9,6.0,6,1736.0,162,True,48.4
spin_glass_n163,Z12,37309,default,0,12.006,17,3060.5,163,False,41.3
spin_glass_n163,Z12,37309,default,1,12.012,17,3060.5,163,False,35.7
