cell,fabric,gid,arm,seed,final_acl,max_chain,stair_E,assigned,mm_skipped,time
K100,Z12,,default,0,7.79,10,1169.0,100,True,27.9
K100,Z12,,default,1,7.79,10,1169.0,100,True,24.6
K100,Z12,,default,2,7.79,10,1169.0,100,True,31.4
K100,Z12,,order,0,7.84,9,1181.0,100,True,35.8
K100,Z12,,order,1,7.84,9,1181.0,100,True,28.4
K100,Z12,,order,2,7.84,9,1181.0,100,True,38.7
K140,Z12,,default,0,10.521,12,2389.0,140,True,62.0
K140,Z12,,default,1,10.521,12,2389.0,140,True,60.3
K140,Z12,,default,2,10.521,12,2389.0,140,True,64.4
K140,Z12,,order,0,10.229,11,2345.0,140,True,67.4
K140,Z12,,order,1,10.229,11,2345.0,140,True,65.9
K140,Z12,,order,2,10.229,11,2345.0,140,True,64.1
ER100_d10,Z12,,default,0,4.68,8,68.8,16,False,9.0
ER100_d10,Z12,,default,1,4.78,8,68.8,16,False,10.5
ER100_d10,Z12,,default,2,4.97,9,68.8,16,False,7.6
ER100_d10,Z12,,order,0,4.66,8,845.0,100,False,5.1
ER100_d10,Z12,,order,1,5.06,9,845.0,100,False,3.0
ER100_d10,Z12,,order,2,4.75,8,845.0,100,False,4.6
turan_n162,Z12,2647,default,0,6.772,8,2551.3,162,True,51.7
turan_n162,Z12,2647,default,1,6.772,8,2659.2,162,True,50.1
turan_n162,Z12,2647,default,2,6.802,8,2551.3,162,True,57.1
turan_n162,Z12,2647,default,3,7.0,8,2551.3,162,True,49.9
turan_n162,Z12,2647,default,4,7.0,8,2551.3,162,True,48.6
turan_n162,Z12,2647,default,5,6.796,8,2659.2,162,True,61.1
turan_n162,Z12,2647,default,6,6.753,8,2551.3,162,True,51.4
turan_n162,Z12,2647,default,7,6.778,8,2659.2,162,True,40.4
turan_n162,Z12,2647,default,8,6.772,8,2659.2,162,True,61.2
turan_n162,Z12,2647,default,9,6.809,8,2551.3,162,True,60.8
turan_n162,Z12,2647,order,0,6.0,6,1736.0,162,True,39.2
turan_n162,Z12,2647,order,1,6.0,6,2126.0,162,True,53.4
turan_n162,Z12,2647,order,2,6.0,6,1736.0,162,True,38.5
turan_n162,Z12,2647,order,3,6.0,6,1736.0,162,True,40.6
turan_n162,Z12,2647,order,4,6.0,6,1736.0,162,True,39.5
turan_n162,Z12,2647,order,5,6.0,6,2126.0,162,True,47.6
turan_n162,Z12,2647,order,6,6.0,6,1736.0,162,True,40.8
turan_n162,Z12,2647,order,7,6.0,6,2126.0,162,True,52.2
turan_n162,Z12,2647,order,8,6.228,7,2126.0,162,True,43.8
turan_n162,Z12,2647,order,9,6.0,6,1736.0,162,True,41.8
spin_glass_n163,Z12,37309,default,0,12.006,17,3060.5,163,False,29.4
spin_glass_n163,Z12,37309,default,1,12.012,17,3060.5,163,False,27.3
spin_glass_n163,Z12,37309,default,2,12.031,16,3060.5,163,False,36.6
spin_glass_n163,Z12,37309,order,0,11.417,13,3136.0,163,True,34.5
spin_glass_n163,Z12,37309,order,1,11.417,13,3136.0,163,True,34.0
spin_glass_n163,Z12,37309,order,2,11.417,13,3136.0,163,True,33.9
regular_n316,Z12,13096,default,0,2.854,7,1779.2,304,False,16.0
regular_n316,Z12,13096,default,1,2.601,6,1779.2,304,False,17.2
regular_n316,Z12,13096,default,2,2.611,6,1779.2,304,False,18.4
regular_n316,Z12,13096,order,0,2.927,8,2061.0,316,False,10.6
regular_n316,Z12,13096,order,1,2.769,6,2061.0,316,False,12.4
regular_n316,Z12,13096,order,2,2.864,7,2061.0,316,False,11.7
ws_n486,Z12,17188,default,0,2.685,9,2316.1,450,False,32.7
ws_n486,Z12,17188,default,1,2.549,9,2313.8,450,False,33.1
ws_n486,Z12,17188,default,2,2.673,10,2313.8,450,False,33.0
ws_n486,Z12,17188,order,0,2.846,9,8992.0,486,False,32.7
ws_n486,Z12,17188,order,1,3.381,12,8997.0,486,False,32.1
ws_n486,Z12,17188,order,2,2.893,10,8997.0,486,False,32.7
grid_200,Z12,1590,default,0,1.455,3,431.5,146,False,3.8
grid_200,Z12,1590,default,1,1.405,3,431.5,146,False,3.8
grid_200,Z12,1590,default,2,1.37,3,431.5,146,False,4.5
grid_200,Z12,1590,order,0,1.09,2,307.0,200,False,9.1
grid_200,Z12,1590,order,1,1.145,2,307.0,200,False,8.0
grid_200,Z12,1590,order,2,1.13,2,307.0,200,False,8.1
honeycomb_200,Z12,32393,default,0,1.915,4,762.4,198,False,4.2
honeycomb_200,Z12,32393,default,1,1.775,3,762.4,198,False,4.6
honeycomb_200,Z12,32393,default,2,1.73,3,762.4,198,False,4.3
honeycomb_200,Z12,32393,order,0,1.085,2,283.0,200,False,5.8
honeycomb_200,Z12,32393,order,1,1.09,2,283.0,200,False,5.0
honeycomb_200,Z12,32393,order,2,1.095,2,283.0,200,False,4.7
king_graph_196,Z12,32622,default,0,2.357,5,672.2,152,False,6.5
king_graph_196,Z12,32622,default,1,2.194,5,672.2,152,False,7.2
king_graph_196,Z12,32622,default,2,2.531,6,672.2,152,False,4.6
king_graph_196,Z12,32622,order,0,1.561,3,411.0,196,False,9.0
king_graph_196,Z12,32622,order,1,1.531,3,411.0,196,False,9.7
king_graph_196,Z12,32622,order,2,1.495,2,411.0,196,False,9.7
K100,P16,,default,0,12.68,20,1014.9,100,,33.7
K100,P16,,default,1,13.7,20,1014.9,100,,60.5
K100,P16,,default,2,13.61,21,1014.9,100,,30.2
K100,P16,,order,0,11.23,16,764.0,100,,29.2
K100,P16,,order,1,11.51,17,764.0,100,,28.1
K100,P16,,order,2,11.65,17,764.0,100,,56.0
turan_n162,P16,2647,default,0,7.815,8,1631.1,162,,56.0
turan_n162,P16,2647,default,1,8.0,8,1631.1,162,,60.4
turan_n162,P16,2647,default,2,8.0,8,1631.1,162,,60.1
turan_n162,P16,2647,order,0,7.654,8,1130.0,162,,51.1
turan_n162,P16,2647,order,1,7.654,8,1130.0,162,,51.9
turan_n162,P16,2647,order,2,7.654,8,1130.0,162,,51.0
ws_n486,P16,17188,default,0,3.652,15,427.4,99,,15.6
ws_n486,P16,17188,default,1,3.967,19,448.9,97,,20.7
ws_n486,P16,17188,default,2,3.767,18,448.9,97,,30.0
ws_n486,P16,17188,order,0,3.191,12,2683.0,486,,34.7
ws_n486,P16,17188,order,1,3.502,13,2472.0,486,,33.2
ws_n486,P16,17188,order,2,3.309,13,2683.0,486,,33.2
