cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.31,8,0.01,29.2,4,8|0|7|4,0.0,11,386,411,,,,,23.0,True,0,0,0,True,61.2
K100,Z12,,default,1,7.31,8,0.0,27.72,5,8|0|7|4|0,0.0,11,499,500,,,,,23.0,True,0,0,0,True,63.4
K100,Z12,,default,2,7.31,8,0.0,29.4,5,8|0|7|4|0,0.0,11,499,500,,,,,23.0,True,0,0,0,True,63.6
K100,Z12,,orders,0,7.39,9,0.0,29.59,4,59|61|66|57,0,241,0,1726,949,2,13.32,481,20.0,True,0,0,0,True,63.1
K100,Z12,,orders,1,7.4,9,0.0,29.56,4,59|61|66|58,0,242,0,1824,976,2,12.65,481,20.0,True,0,0,0,True,62.9
K100,Z12,,orders,2,7.4,9,0.0,29.49,4,59|61|66|57,0,241,0,1646,911,2,15.84,481,20.0,True,0,0,0,True,63.8
K100,Z12,,orders-audit,0,7.46,8,0.0,14.05,2,10|0,0,9,55,992,381,1,6.84,201,22.0,True,0,0,0,True,64.0
K100,Z12,,orders-audit,1,7.47,8,0.01,11.58,2,10|0,0,9,55,992,381,1,4.24,201,22.0,True,0,0,0,True,64.2
K100,Z12,,orders-audit,2,7.47,8,0.0,13.7,2,10|0,0,9,55,992,381,1,6.22,201,22.0,True,0,0,0,True,64.3
K140,Z12,,default,0,9.886,11,0.01,28.95,3,5|0|0,0.0,5,625,222,,,,,32.0,True,0,0,0,True,64.1
K140,Z12,,default,1,9.886,11,0.0,29.24,3,5|0|0,0.0,5,625,222,,,,,32.0,True,0,0,0,True,69.7
K140,Z12,,default,2,9.886,11,0.01,26.79,3,5|0|0,0.0,5,625,222,,,,,32.0,True,0,0,0,True,70.0
K140,Z12,,orders,0,9.893,11,0.01,29.54,2,180|59,0,238,0,813,561,4,26.46,535,31.0,True,0,0,0,True,62.3
K140,Z12,,orders,1,9.893,11,0.02,29.49,2,180|67,0,246,0,858,606,4,24.9,535,31.0,True,0,0,0,True,65.0
K140,Z12,,orders,2,9.879,11,0.01,29.47,1,179,0,179,0,631,446,0,26.71,415,30.0,True,0,0,0,True,74.0
K140,Z12,,orders-audit,0,9.85,11,0.01,29.46,2,11|0,0,10,207,777,494,3,24.46,425,33.0,True,0,0,0,True,74.8
K140,Z12,,orders-audit,1,9.85,11,0.0,29.24,2,11|0,0,10,258,1029,639,3,19.81,425,33.0,True,0,0,0,True,67.4
K140,Z12,,orders-audit,2,9.85,11,0.01,29.45,2,11|0,0,10,253,1004,614,3,18.05,425,33.0,True,0,0,0,True,65.2
ER100_d10,Z12,,default,0,4.62,8,0.07,29.49,8,58|36|15|6|2|1|0|56,0.0,65,1888,31,,,,,19.0,False,0,1,5,False,60.1
ER100_d10,Z12,,default,1,5.1,9,0.12,29.21,10,58|36|15|6|2|1|0|56|18|0,0.0,70,2126,44,,,,,18.0,False,0,1,5,False,60.2
ER100_d10,Z12,,default,2,4.65,8,0.36,29.12,10,58|36|15|6|2|1|0|56|18|4,0.0,71,2357,52,,,,,17.0,True,0,0,6,False,60.1
ER100_d10,Z12,,orders,0,5.62,8,0.08,29.48,10,289|286|295|329|288|261|261|281|275|214,0,2770,0,2322,4275,35,1.44,128,18.0,True,0,0,4,False,60.0
ER100_d10,Z12,,orders,1,5.62,8,0.29,28.84,7,289|286|295|329|288|261|197,0,1939,0,1562,2962,26,1.11,128,18.0,True,0,0,4,False,60.2
ER100_d10,Z12,,orders,2,5.62,8,0.44,28.98,12,289|286|295|329|288|261|261|281|275|287|274|289,0,3404,0,2922,5304,45,0.69,128,18.0,True,0,0,4,False,60.0
ER100_d10,Z12,,orders-audit,0,5.55,8,0.08,21.83,5,24|8|4|3|0,0,39,1198,1408,2193,40,18.64,1732,20.0,True,0,0,0,True,60.3
ER100_d10,Z12,,orders-audit,1,5.54,8,0.16,18.28,5,24|8|4|3|0,0,39,1198,1408,2193,40,14.35,1732,20.0,True,0,0,0,True,60.0
ER100_d10,Z12,,orders-audit,2,4.84,8,0.07,12.76,5,24|8|4|3|0,0,39,1198,1408,2193,40,10.27,1732,20.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,default,0,6.0,6,0.0,29.82,3,18|0|121,0.0,2,233,737,,,,,27.0,True,0,0,50,False,63.4
turan_n162,Z12,2647,default,1,6.0,6,0.0,29.73,3,18|0|12,0.0,2,79,891,,,,,22.0,True,0,0,27,False,62.7
turan_n162,Z12,2647,default,2,17.179,43,0.01,33.51,3,18|0|0,0.0,2,233,737,,,,,24.0,False,0,48,59,False,61.8
turan_n162,Z12,2647,default,3,17.346,37,0.01,38.06,3,18|0|0,0.0,2,233,737,,,,,24.0,False,0,48,59,False,66.3
turan_n162,Z12,2647,default,4,6.0,6,0.0,36.19,4,18|0|121|0,0.0,2,357,937,,,,,27.0,True,0,0,50,False,63.9
turan_n162,Z12,2647,default,5,6.0,6,0.0,29.84,4,18|0|138|0,0.0,2,83,893,,,,,22.0,True,0,0,32,False,60.7
turan_n162,Z12,2647,default,6,16.593,28,0.0,30.52,3,18|0|0,0.0,2,233,737,,,,,24.0,False,0,48,59,False,63.4
turan_n162,Z12,2647,default,7,6.0,6,0.01,29.35,3,18|0|105,0.0,2,79,891,,,,,22.0,True,0,0,38,False,65.0
turan_n162,Z12,2647,default,8,6.0,6,0.0,29.72,3,18|0|138,0.0,2,79,891,,,,,22.0,True,0,0,32,False,61.1
turan_n162,Z12,2647,default,9,6.0,6,0.0,29.76,3,18|0|121,0.0,2,233,737,,,,,27.0,True,0,0,50,False,64.0
turan_n162,Z12,2647,orders,0,6.0,6,0.0,29.89,4,160|115|139|23,0,437,0,2587,442,0,20.87,311,21.0,True,0,0,50,False,64.4
turan_n162,Z12,2647,orders,1,6.0,6,0.0,29.9,4,194|121|134|58,0,507,0,2583,513,0,19.63,325,21.0,True,0,0,22,False,64.0
turan_n162,Z12,2647,orders,2,6.0,6,0.01,29.75,3,160|115|56,0,331,0,2151,335,0,26.02,311,21.0,True,0,0,50,False,65.1
turan_n162,Z12,2647,orders,3,6.0,6,0.0,29.88,4,160|115|139|17,0,431,0,2451,436,0,21.41,311,21.0,True,0,0,50,False,66.2
turan_n162,Z12,2647,orders,4,6.0,6,0.0,29.92,5,160|115|139|163|25,0,602,0,3260,608,0,13.58,311,21.0,True,0,0,50,False,66.8
turan_n162,Z12,2647,orders,5,6.0,6,0.0,29.87,4,194|121|134|23,0,472,0,2449,478,0,18.66,325,21.0,True,0,0,22,False,66.5
turan_n162,Z12,2647,orders,6,6.0,6,0.0,29.87,4,160|115|139|22,0,436,0,2516,441,0,21.26,311,21.0,True,0,0,50,False,64.8
turan_n162,Z12,2647,orders,7,6.0,6,0.01,29.87,4,194|121|134|63,0,512,0,2756,518,0,19.45,325,21.0,True,0,0,22,False,64.3
turan_n162,Z12,2647,orders,8,6.0,6,0.01,29.62,4,194|121|134|7,0,456,0,2383,462,0,19.92,325,21.0,True,0,0,22,False,63.2
turan_n162,Z12,2647,orders,9,6.0,6,0.0,29.93,4,160|115|139|91,0,505,0,3091,510,0,18.61,311,21.0,True,0,0,50,False,62.1
turan_n162,Z12,2647,orders-audit,0,6.0,6,0.0,11.17,2,33|0,0,33,138,1705,217,0,5.11,106,22.0,True,0,0,36,False,65.2
turan_n162,Z12,2647,orders-audit,1,6.0,6,0.0,28.73,2,19|0,0,19,399,1458,427,0,8.11,173,22.0,True,0,0,43,False,60.6
turan_n162,Z12,2647,orders-audit,2,6.0,6,0.0,17.32,2,33|0,0,33,138,1705,217,0,5.47,106,22.0,True,0,0,36,False,67.1
turan_n162,Z12,2647,orders-audit,3,6.0,6,0.01,29.63,2,33|0,0,33,116,1227,183,0,18.06,106,22.0,True,0,0,36,False,61.6
turan_n162,Z12,2647,orders-audit,4,6.0,6,0.0,23.87,2,33|0,0,33,138,1705,217,0,7.94,106,22.0,True,0,0,36,False,71.9
turan_n162,Z12,2647,orders-audit,5,6.0,6,0.0,29.91,2,19|0,0,19,318,885,346,0,18.6,173,22.0,True,0,0,43,False,65.7
turan_n162,Z12,2647,orders-audit,6,6.0,6,0.01,29.8,2,33|0,0,33,116,1090,183,0,10.23,106,22.0,True,0,0,36,False,67.4
turan_n162,Z12,2647,orders-audit,7,6.0,6,0.01,29.75,2,19|0,0,19,388,1062,416,0,11.41,173,22.0,True,0,0,43,False,66.6
turan_n162,Z12,2647,orders-audit,8,6.0,6,0.01,29.83,2,19|0,0,19,253,748,281,0,9.99,173,22.0,True,0,0,43,False,63.6
turan_n162,Z12,2647,orders-audit,9,6.0,6,0.0,25.42,2,33|0,0,33,138,1705,217,0,7.59,106,22.0,True,0,0,36,False,67.0
spin_glass_n163,Z12,37309,default,0,11.129,12,1.12,28.73,1,24,0.0,24,355,97,,,,,37.0,True,0,0,0,True,69.2
spin_glass_n163,Z12,37309,default,1,11.117,12,2.66,26.23,2,24|4,0.0,28,716,208,,,,,37.0,True,0,0,0,True,61.9
spin_glass_n163,Z12,37309,default,2,11.129,12,1.38,28.48,1,24,0.0,24,355,97,,,,,37.0,True,0,0,0,True,84.4
spin_glass_n163,Z12,37309,orders,0,11.184,13,1.39,28.47,1,329,0,329,0,270,492,0,28.11,482,38.0,True,0,0,0,True,64.7
spin_glass_n163,Z12,37309,orders,1,11.08,12,2.41,27.46,1,373,0,373,0,484,614,0,27.38,614,39.0,True,0,0,0,True,67.8
spin_glass_n163,Z12,37309,orders,2,11.074,12,1.74,28.15,1,376,0,376,0,503,634,0,27.79,628,39.0,True,0,0,0,True,64.8
spin_glass_n163,Z12,37309,orders-audit,0,11.055,12,1.4,28.48,1,44,0,44,179,402,442,0,25.09,409,39.0,True,0,0,0,True,75.2
spin_glass_n163,Z12,37309,orders-audit,1,11.018,12,1.33,28.51,3,47|3|0,0,49,378,1516,1127,6,18.89,702,39.0,True,0,0,0,True,71.5
spin_glass_n163,Z12,37309,orders-audit,2,11.018,12,2.57,26.99,2,47|3,0,49,298,922,794,6,20.48,702,39.0,True,0,0,0,True,66.2
regular_n316,Z12,13096,default,0,2.782,7,5.54,24.38,2,120|25,0.0,75,1446,8,,,,,20.0,False,0,20,19,False,60.1
regular_n316,Z12,13096,default,1,2.68,6,3.34,26.34,3,120|46|12,0.0,87,2197,11,,,,,20.0,False,0,7,13,False,60.6
regular_n316,Z12,13096,default,2,2.763,6,6.4,23.72,1,51,23.0,51,696,4,,,,,20.0,False,0,15,24,False,61.8
regular_n316,Z12,13096,orders,0,2.759,6,6.03,23.85,1,439,6,439,0,4,442,0,1.94,32,35.0,False,0,5,5,False,60.1
regular_n316,Z12,13096,orders,1,2.924,7,5.22,24.64,1,215,6,215,0,4,218,0,1.96,32,35.0,False,0,5,5,False,60.5
regular_n316,Z12,13096,orders,2,2.851,7,3.09,26.46,1,1053,6,1053,0,21,1056,0,0.84,32,35.0,False,0,5,5,False,60.1
regular_n316,Z12,13096,orders-audit,0,2.953,7,1.29,28.89,1,27,8,27,311,45,382,0,25.75,335,30.0,False,0,7,9,False,60.0
regular_n316,Z12,13096,orders-audit,1,2.794,6,1.82,28.08,1,27,8,27,277,33,336,0,27.97,335,30.0,False,0,7,9,False,60.0
regular_n316,Z12,13096,orders-audit,2,2.956,6,7.14,22.78,1,27,8,27,316,48,390,0,20.73,335,30.0,False,0,7,9,False,60.0
ws_n486,Z12,17188,default,0,2.545,8,6.32,23.5,1,79,178.0,79,661,7,,,,,32.0,False,0,21,26,False,60.1
ws_n486,Z12,17188,default,1,2.521,8,18.02,11.87,1,50,245.0,50,456,2,,,,,30.0,False,0,19,27,False,60.1
ws_n486,Z12,17188,default,2,2.582,8,12.65,16.48,1,60,221.0,60,519,3,,,,,31.0,False,0,23,28,False,60.1
ws_n486,Z12,17188,default,3,2.685,9,15.07,14.49,1,62,220.0,62,567,5,,,,,28.0,False,0,17,26,False,60.2
ws_n486,Z12,17188,default,4,2.455,8,21.08,8.22,1,62,220.0,62,573,5,,,,,28.0,False,0,17,26,False,60.1
ws_n486,Z12,17188,default,5,2.564,8,13.14,16.69,1,79,178.0,79,670,10,,,,,32.0,False,0,21,26,False,60.4
ws_n486,Z12,17188,default,6,2.545,8,19.52,9.78,1,83,176.0,83,712,10,,,,,33.0,False,0,23,23,False,60.1
ws_n486,Z12,17188,default,7,2.745,9,13.69,15.87,1,90,169.0,90,826,17,,,,,31.0,False,0,18,29,False,60.3
ws_n486,Z12,17188,default,8,2.519,8,15.25,14.26,1,86,173.0,86,726,11,,,,,31.0,False,0,19,26,False,60.6
ws_n486,Z12,17188,default,9,2.545,8,15.79,13.7,1,78,180.0,78,654,7,,,,,29.0,False,0,21,28,False,60.6
ws_n486,Z12,17188,orders,0,2.494,8,17.34,12.54,1,307,67,307,0,0,308,0,1.01,2,30.0,False,0,24,21,False,60.0
ws_n486,Z12,17188,orders,1,2.837,9,18.51,10.77,1,204,67,204,0,0,205,0,0.31,2,30.0,False,0,24,21,False,60.6
ws_n486,Z12,17188,orders,2,2.648,8,11.33,18.44,1,158,67,158,0,0,159,0,1.11,2,30.0,False,0,24,21,False,60.0
ws_n486,Z12,17188,orders,3,2.595,8,15.55,14.01,1,270,67,270,0,0,271,0,0.25,2,30.0,False,0,24,21,False,60.1
ws_n486,Z12,17188,orders,4,2.529,8,10.59,18.57,1,401,67,401,0,0,402,0,0.12,2,30.0,False,0,24,21,False,60.4
ws_n486,Z12,17188,orders,5,2.521,9,12.61,15.48,1,340,67,340,0,0,341,0,0.11,2,30.0,False,1,24,21,False,60.0
ws_n486,Z12,17188,orders,6,2.547,8,12.6,17.56,1,358,67,358,0,0,359,0,0.23,2,30.0,False,0,24,21,False,60.0
ws_n486,Z12,17188,orders,7,2.681,9,10.01,19.71,1,399,67,399,0,0,400,0,0.06,2,30.0,False,0,24,21,False,60.0
ws_n486,Z12,17188,orders,8,2.572,8,11.39,18.47,1,302,67,302,0,0,303,0,0.07,2,30.0,False,0,24,21,False,60.0
ws_n486,Z12,17188,orders,9,2.516,8,6.87,22.94,1,482,67,482,0,1,483,0,0.26,2,30.0,False,0,24,21,False,60.0
ws_n486,Z12,17188,orders-audit,0,2.724,9,3.09,26.84,1,3,56,3,801,18,805,0,9.36,223,37.0,False,0,18,19,False,60.0
ws_n486,Z12,17188,orders-audit,1,2.574,8,1.12,28.77,1,3,56,3,672,18,676,0,15.1,223,37.0,False,0,18,19,False,60.0
ws_n486,Z12,17188,orders-audit,2,2.381,8,1.18,28.73,1,3,56,3,766,18,770,0,10.37,223,37.0,False,0,18,19,False,60.0
ws_n486,Z12,17188,orders-audit,3,2.817,9,3.56,26.37,1,3,56,3,720,18,724,0,10.8,223,37.0,False,0,18,19,False,60.2
ws_n486,Z12,17188,orders-audit,4,2.65,8,3.47,26.43,1,3,56,3,665,18,669,0,11.72,223,37.0,False,0,18,19,False,60.0
ws_n486,Z12,17188,orders-audit,5,2.716,9,9.05,20.37,1,3,56,3,732,18,736,0,7.1,223,37.0,False,0,18,19,False,60.0
ws_n486,Z12,17188,orders-audit,6,2.455,7,8.06,21.84,1,3,56,3,653,18,657,0,6.57,223,37.0,False,0,18,19,False,60.1
ws_n486,Z12,17188,orders-audit,7,2.595,8,5.96,24.04,1,3,56,3,786,18,790,0,6.6,223,37.0,False,0,18,19,False,60.0
ws_n486,Z12,17188,orders-audit,8,2.603,9,7.51,22.27,1,3,56,3,822,18,826,0,7.1,223,37.0,False,0,18,19,False,60.1
ws_n486,Z12,17188,orders-audit,9,2.691,9,4.81,24.56,1,3,56,3,929,19,933,0,7.49,223,37.0,False,0,18,19,False,60.0
grid_200,Z12,1590,default,0,1.135,2,0.13,29.53,8,54|9|1|0|23|3|1|0,0.0,50,3191,396,,,,,5.0,False,1,7,21,False,60.1
