cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,flip_acc,flip_sweeps,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.57,8,0.0,0.81,0,0,0,0,0,23.0,True,0,0,0,True,28.0
K100,Z12,,default,1,7.58,8,0.0,0.82,0,0,0,0,0,23.0,True,0,0,0,True,30.7
K100,Z12,,default,2,7.59,8,0.0,0.8,0,0,0,0,0,23.0,True,0,0,0,True,27.0
K100,Z12,,oflip,0,7.91,10,0.0,0.84,0,0,0,416,24,22.0,True,0,0,0,True,18.2
K100,Z12,,oflip,1,7.91,10,0.0,0.88,0,0,0,416,24,22.0,True,0,0,0,True,20.2
K100,Z12,,oflip,2,7.91,10,0.0,0.85,0,0,0,416,24,22.0,True,0,0,0,True,20.5
K140,Z12,,default,0,9.957,11,0.0,2.21,0,0,0,0,0,31.0,True,0,0,0,True,62.2
K140,Z12,,default,1,9.957,11,0.0,2.19,0,0,0,0,0,31.0,True,0,0,0,True,64.9
K140,Z12,,default,2,9.957,11,0.0,2.23,0,0,0,0,0,31.0,True,0,0,0,True,64.2
K140,Z12,,oflip,0,9.964,11,0.0,2.6,0,0,0,601,29,32.0,True,0,0,0,True,63.5
K140,Z12,,oflip,1,9.964,11,0.0,2.55,0,0,0,601,29,32.0,True,0,0,0,True,63.8
K140,Z12,,oflip,2,9.964,11,0.0,2.58,0,0,0,601,29,32.0,True,0,0,0,True,59.4
ER100_d10,Z12,,default,0,4.57,8,0.05,0.91,3,41,1,0,0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,default,1,4.85,8,0.05,0.94,3,41,1,0,0,17.0,True,0,0,0,True,54.5
ER100_d10,Z12,,default,2,4.69,8,0.05,0.92,3,41,1,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,oflip,0,4.54,8,0.05,1.3,5,61,3,2910,327,18.0,False,0,4,4,False,60.0
ER100_d10,Z12,,oflip,1,4.84,9,0.05,1.28,5,61,3,2910,327,18.0,False,0,4,4,False,60.0
ER100_d10,Z12,,oflip,2,4.9,9,0.05,1.31,5,61,3,2910,327,18.0,False,0,4,4,False,60.0
turan_n162,Z12,2647,default,0,6.0,6,0.0,6.98,20,87,1,0,0,24.0,True,0,0,44,False,60.5
turan_n162,Z12,2647,default,1,6.0,6,0.0,7.01,19,128,3,0,0,28.0,False,0,30,23,False,60.1
turan_n162,Z12,2647,default,2,6.0,6,0.0,7.0,20,87,1,0,0,24.0,True,0,0,44,False,60.2
turan_n162,Z12,2647,default,3,6.0,6,0.0,7.05,20,87,1,0,0,24.0,True,0,0,44,False,60.4
turan_n162,Z12,2647,default,4,6.0,6,0.0,6.97,20,87,1,0,0,24.0,True,0,0,44,False,60.2
turan_n162,Z12,2647,default,5,6.0,6,0.0,7.0,19,128,3,0,0,28.0,False,0,30,23,False,60.1
turan_n162,Z12,2647,default,6,6.0,6,0.0,6.98,20,87,1,0,0,24.0,True,0,0,44,False,60.1
turan_n162,Z12,2647,default,7,6.0,6,0.0,7.08,19,128,3,0,0,28.0,False,0,30,23,False,60.4
turan_n162,Z12,2647,default,8,6.0,6,0.0,7.04,19,128,3,0,0,28.0,False,0,30,23,False,60.2
turan_n162,Z12,2647,default,9,6.0,6,0.0,7.01,20,87,1,0,0,24.0,True,0,0,44,False,60.3
turan_n162,Z12,2647,oflip,0,6.0,6,0.0,7.95,7,94,0,3611,246,22.0,True,0,0,38,False,60.2
turan_n162,Z12,2647,oflip,1,6.0,6,0.0,10.47,7,166,0,5594,387,21.0,True,0,0,39,False,60.3
turan_n162,Z12,2647,oflip,2,6.0,6,0.0,8.12,7,94,0,3611,246,22.0,True,0,0,38,False,60.4
turan_n162,Z12,2647,oflip,3,6.0,6,0.0,8.07,7,94,0,3611,246,22.0,True,0,0,38,False,60.1
turan_n162,Z12,2647,oflip,4,6.0,6,0.0,8.2,7,94,0,3611,246,22.0,True,0,0,38,False,60.2
turan_n162,Z12,2647,oflip,5,6.0,6,0.0,10.69,7,166,0,5594,387,21.0,True,0,0,39,False,60.1
