cell,arm,seed,final_acl,skips,deficit,time
K100,control,0,8.75,1,0,32.9
K100,control,1,8.75,1,0,31.1
K100,control,2,8.73,1,0,39.4
K100,ovl,0,8.75,1,0,33.1
K100,ovl,1,8.75,1,0,30.5
K100,ovl,2,8.73,1,0,39.4
K100,ovl_nos,0,8.75,1,0,32.8
K100,ovl_nos,1,8.75,1,0,31.0
K100,ovl_nos,2,8.73,1,0,39.6
K140,control,0,11.443,1,0,67.1
K140,control,1,11.407,1,0,65.7
K140,control,2,11.379,1,0,63.2
K140,ovl,0,11.443,1,0,60.2
K140,ovl,1,11.407,1,0,66.0
K140,ovl,2,11.379,1,0,64.6
K140,ovl_nos,0,11.443,1,0,67.7
K140,ovl_nos,1,11.407,1,0,64.9
K140,ovl_nos,2,11.379,1,0,66.4
ER100_d10,control,0,4.97,0,367,2.7
ER100_d10,control,1,4.48,0,367,6.1
ER100_d10,control,2,4.83,0,367,3.3
ER100_d10,ovl,0,4.97,0,367,2.7
ER100_d10,ovl,1,4.48,0,367,6.2
ER100_d10,ovl,2,4.83,0,367,3.3
ER100_d10,ovl_nos,0,4.97,0,367,2.7
ER100_d10,ovl_nos,1,4.48,0,367,6.2
ER100_d10,ovl_nos,2,4.83,0,367,3.3
turan_n162,control,0,8.006,1,0,29.4
turan_n162,control,1,8.012,1,0,29.4
turan_n162,control,2,8.117,1,0,47.9
turan_n162,ovl,0,8.006,1,0,28.4
turan_n162,ovl,1,8.012,1,0,29.3
turan_n162,ovl,2,8.117,1,0,47.2
turan_n162,ovl_nos,0,7.994,1,0,30.8
turan_n162,ovl_nos,1,8.049,1,0,30.4
turan_n162,ovl_nos,2,7.654,1,0,36.4
spin_glass_n163,control,0,12.577,0,4,16.8
spin_glass_n163,control,1,12.84,0,4,25.5
spin_glass_n163,control,2,12.558,0,4,18.5
spin_glass_n163,ovl,0,12.577,0,4,17.1
spin_glass_n163,ovl,1,12.84,0,4,25.4
spin_glass_n163,ovl,2,12.558,0,4,18.5
spin_glass_n163,ovl_nos,0,12.466,0,7,19.7
spin_glass_n163,ovl_nos,1,12.46,0,7,18.5
spin_glass_n163,ovl_nos,2,12.485,0,7,19.7
