cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,time
K100,Z12,,default,0,7.84,9,0.0,0.98,0,0,0,0,0,0,23.0,True,0,27.8
K100,Z12,,default,1,7.84,9,0.0,1.0,0,0,0,0,0,0,23.0,True,0,28.3
K100,Z12,,default,2,7.84,9,0.0,0.98,0,0,0,0,0,0,23.0,True,0,28.8
K100,Z12,,noclamp,0,7.84,9,0.0,0.98,0,0,0,0,0,0,23.0,True,0,27.7
K100,Z12,,noclamp,1,7.84,9,0.0,0.96,0,0,0,0,0,0,23.0,True,0,27.9
K100,Z12,,noclamp,2,7.84,9,0.0,0.97,0,0,0,0,0,0,23.0,True,0,26.3
K140,Z12,,default,0,10.229,11,0.0,2.63,0,0,0,0,0,0,31.0,True,0,64.8
K140,Z12,,default,1,10.229,11,0.0,2.63,0,0,0,0,0,0,31.0,True,0,68.3
K140,Z12,,default,2,10.229,11,0.0,2.62,0,0,0,0,0,0,31.0,True,0,61.5
K140,Z12,,noclamp,0,10.229,11,0.0,2.64,0,0,0,0,0,0,31.0,True,0,64.4
K140,Z12,,noclamp,1,10.229,11,0.0,2.61,0,0,0,0,0,0,31.0,True,0,62.5
K140,Z12,,noclamp,2,10.229,11,0.0,2.61,0,0,0,0,0,0,31.0,True,0,60.7
ER100_d10,Z12,,default,0,4.66,8,0.06,1.06,3,41,1,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,default,1,5.06,9,0.06,1.07,3,41,1,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,default,2,4.75,8,0.06,1.07,3,41,1,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,noclamp,0,4.66,8,0.09,1.11,3,41,1,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,noclamp,1,5.06,9,0.06,1.07,3,41,1,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,noclamp,2,4.75,8,0.06,1.08,3,41,1,0,0,0,17.0,False,0,60.0
turan_n162,Z12,2647,default,0,6.0,6,0.0,8.28,20,87,1,0,0,0,22.0,True,0,60.1
