cell,arm,seed,final_acl,skips,deficit,ext,time
K100,att,0,7.92,1,0,0,31.1
K100,att,1,7.92,1,0,0,29.2
K100,att,2,7.92,1,0,0,25.8
K100,att_noB,0,8.13,1,0,0,31.6
K100,att_noB,1,8.12,1,0,0,36.9
K100,att_noB,2,8.12,1,0,0,32.7
K100,mm,0,10.04,,,,42.4
K100,mm,1,10.71,,,,29.2
K100,mm,2,10.08,,,,36.4
K140,att,0,13.429,0,28,48,61.2
K140,att,1,13.057,0,28,48,61.5
K140,att,2,12.443,0,28,48,60.3
K140,att_noB,0,10.929,0,4,44,57.4
K140,att_noB,1,10.793,0,4,44,63.3
K140,att_noB,2,11.014,0,4,44,40.6
K140,mm,0,16.893,,,,62.3
K140,mm,1,27.364,,,,60.8
K140,mm,2,16.586,,,,61.8
ER100_d10,att,0,4.97,0,367,18,2.8
ER100_d10,att,1,4.48,0,367,18,6.2
ER100_d10,att,2,4.83,0,367,18,3.4
ER100_d10,att_noB,0,4.97,0,367,18,2.8
ER100_d10,att_noB,1,4.48,0,367,18,6.3
ER100_d10,att_noB,2,4.83,0,367,18,3.3
ER100_d10,mm,0,5.0,,,,3.1
ER100_d10,mm,1,5.07,,,,1.5
ER100_d10,mm,2,4.85,,,,1.7
turan_n162,att,0,7.0,0,152,2,63.6
turan_n162,att,1,6.698,0,152,2,62.8
turan_n162,att,2,7.37,0,152,2,54.9
turan_n162,att_noB,0,9.13,0,15,0,15.3
turan_n162,att_noB,1,9.062,0,15,0,14.7
turan_n162,att_noB,2,8.988,0,15,0,61.2
turan_n162,mm,0,10.543,,,,21.8
turan_n162,mm,1,13.963,,,,33.3
turan_n162,mm,2,11.537,,,,37.6
spin_glass_n163,att,0,11.785,0,16,44,15.5
spin_glass_n163,att,1,12.307,0,16,44,26.0
spin_glass_n163,att,2,11.945,0,16,44,19.0
spin_glass_n163,att_noB,0,12.73,0,1,75,14.2
spin_glass_n163,att_noB,1,13.049,0,1,75,16.7
spin_glass_n163,att_noB,2,12.853,0,1,75,15.2
spin_glass_n163,mm,0,17.479,,,,60.8
spin_glass_n163,mm,1,17.497,,,,60.0
spin_glass_n163,mm,2,17.129,,,,60.8
regular_n316,att,0,2.759,0,95,22,5.7
regular_n316,att,1,2.674,0,95,22,5.7
regular_n316,att,2,3.136,0,95,22,5.0
regular_n316,att_noB,0,2.759,0,95,22,5.7
regular_n316,att_noB,1,2.674,0,95,22,5.8
regular_n316,att_noB,2,3.136,0,95,22,5.0
regular_n316,mm,0,3.364,,,,2.1
regular_n316,mm,1,3.411,,,,2.2
regular_n316,mm,2,3.291,,,,2.9
ws_n486,att,0,3.019,0,762,21,5.5
ws_n486,att,1,2.792,0,762,21,6.7
ws_n486,att,2,3.545,0,762,21,4.7
ws_n486,att_noB,0,3.019,0,762,21,5.7
ws_n486,att_noB,1,2.792,0,762,21,6.8
ws_n486,att_noB,2,3.545,0,762,21,4.6
ws_n486,mm,0,3.233,,,,2.8
ws_n486,mm,1,3.173,,,,3.0
ws_n486,mm,2,2.821,,,,4.3
wsc_c8xK32,att,0,3.734,0,85,47,9.8
wsc_c8xK32,att,1,3.496,0,85,47,11.1
wsc_c8xK32,att,2,3.926,0,85,47,6.6
wsc_c8xK32,att_noB,0,3.746,0,50,32,7.8
wsc_c8xK32,att_noB,1,3.926,0,50,32,8.8
wsc_c8xK32,att_noB,2,3.625,0,50,32,13.6
wsc_c8xK32,mm,0,3.68,,,,8.5
wsc_c8xK32,mm,1,3.805,,,,17.3
wsc_c8xK32,mm,2,3.859,,,,8.5
wsc_c3xK64,att,0,7.312,0,183,0,16.1
wsc_c3xK64,att,1,7.042,0,183,0,25.2
wsc_c3xK64,att,2,6.969,0,183,0,20.1
wsc_c3xK64,att_noB,0,7.266,0,6,0,20.0
wsc_c3xK64,att_noB,1,5.818,0,6,0,11.2
wsc_c3xK64,att_noB,2,6.031,0,6,0,8.1
wsc_c3xK64,mm,0,7.026,,,,38.7
wsc_c3xK64,mm,1,7.651,,,,33.8
wsc_c3xK64,mm,2,7.266,,,,18.4
