cell,arm,seed,final_acl,skips,deficit,ext,time
K100,att,0,7.92,1,0,0,30.3
K100,att,1,7.92,1,0,0,31.0
K100,att,2,7.92,1,0,0,27.7
K100,att_noB,0,8.13,1,0,0,32.1
K100,att_noB,1,8.12,1,0,0,37.8
K100,att_noB,2,8.12,1,0,0,33.3
K100,mm,0,10.04,,,,45.3
K100,mm,1,10.71,,,,29.6
K100,mm,2,10.08,,,,36.5
K140,att,0,13.429,0,28,48,60.6
K140,att,1,13.057,0,28,48,63.0
K140,att,2,12.443,0,28,48,62.0
K140,att_noB,0,10.929,0,4,44,52.9
K140,att_noB,1,10.793,0,4,44,64.4
K140,att_noB,2,11.014,0,4,44,44.2
K140,mm,0,16.893,,,,61.5
K140,mm,1,,,,,64.1
K140,mm,2,16.586,,,,61.4
ER100_d10,att,0,4.97,0,367,18,2.8
ER100_d10,att,1,4.48,0,367,18,6.4
ER100_d10,att,2,4.83,0,367,18,3.3
ER100_d10,att_noB,0,4.97,0,367,18,2.7
ER100_d10,att_noB,1,4.48,0,367,18,6.4
ER100_d10,att_noB,2,4.83,0,367,18,3.5
ER100_d10,mm,0,5.0,,,,3.2
ER100_d10,mm,1,5.07,,,,1.5
ER100_d10,mm,2,4.85,,,,1.7
turan_n162,att,0,9.13,0,15,0,16.2
turan_n162,att,1,9.062,0,15,0,15.4
turan_n162,att,2,8.988,0,15,0,60.8
turan_n162,att_noB,0,9.13,0,15,0,15.5
turan_n162,att_noB,1,9.062,0,15,0,15.5
turan_n162,att_noB,2,8.988,0,15,0,61.2
turan_n162,mm,0,10.543,,,,22.3
turan_n162,mm,1,13.963,,,,33.1
turan_n162,mm,2,11.537,,,,37.4
spin_glass_n163,att,0,12.73,0,1,75,14.5
spin_glass_n163,att,1,13.049,0,1,75,16.6
spin_glass_n163,att,2,12.853,0,1,75,15.0
spin_glass_n163,att_noB,0,12.73,0,1,75,14.0
spin_glass_n163,att_noB,1,13.049,0,1,75,16.5
spin_glass_n163,att_noB,2,12.853,0,1,75,15.3
spin_glass_n163,mm,0,17.479,,,,60.0
spin_glass_n163,mm,1,17.497,,,,60.4
spin_glass_n163,mm,2,17.129,,,,60.4
regular_n316,att,0,2.759,0,95,22,5.6
regular_n316,att,1,2.674,0,95,22,6.0
regular_n316,att,2,3.136,0,95,22,5.0
regular_n316,att_noB,0,2.759,0,95,22,5.6
regular_n316,att_noB,1,2.674,0,95,22,5.7
regular_n316,att_noB,2,3.136,0,95,22,5.0
regular_n316,mm,0,3.364,,,,2.1
regular_n316,mm,1,3.411,,,,2.3
regular_n316,mm,2,3.291,,,,2.9
ws_n486,att,0,3.019,0,762,21,5.5
ws_n486,att,1,2.792,0,762,21,6.7
ws_n486,att,2,3.545,0,762,21,4.7
ws_n486,att_noB,0,3.019,0,762,21,5.6
ws_n486,att_noB,1,2.792,0,762,21,6.8
ws_n486,att_noB,2,3.545,0,762,21,4.8
ws_n486,mm,0,3.233,,,,2.8
ws_n486,mm,1,3.173,,,,3.0
ws_n486,mm,2,2.821,,,,4.2
wsc_c8xK32,att,0,3.746,0,50,32,7.7
wsc_c8xK32,att,1,3.926,0,50,32,9.1
wsc_c8xK32,att,2,3.625,0,50,32,13.6
wsc_c8xK32,att_noB,0,3.746,0,50,32,7.8
wsc_c8xK32,att_noB,1,3.926,0,50,32,8.7
wsc_c8xK32,att_noB,2,3.625,0,50,32,13.5
wsc_c8xK32,mm,0,3.68,,,,8.4
wsc_c8xK32,mm,1,3.805,,,,17.7
wsc_c8xK32,mm,2,3.859,,,,8.5
wsc_c3xK64,att,0,7.266,0,6,0,19.9
wsc_c3xK64,att,1,5.818,0,6,0,11.4
wsc_c3xK64,att,2,6.031,0,6,0,7.9
wsc_c3xK64,att_noB,0,7.266,0,6,0,20.0
wsc_c3xK64,att_noB,1,5.818,0,6,0,11.4
wsc_c3xK64,att_noB,2,6.031,0,6,0,7.9
wsc_c3xK64,mm,0,7.026,,,,38.1
wsc_c3xK64,mm,1,7.651,,,,34.2
wsc_c3xK64,mm,2,7.266,,,,18.4
