cell,arm,seed,final_acl,skips,deficit,ext,time
K100,att,0,8.13,1,0,0,48.6
K100,att,1,8.12,1,0,0,53.1
K100,att,2,8.12,1,0,0,60.2
K100,mm,0,10.04,,,,60.3
K100,mm,1,10.71,,,,54.1
K100,mm,2,10.08,,,,60.2
K140,att,0,10.929,0,4,44,65.0
K140,att,1,10.793,0,4,44,70.0
K140,att,2,11.014,0,4,44,65.0
K140,mm,0,18.4,,,,60.2
K140,mm,1,,,,,68.0
K140,mm,2,17.593,,,,60.9
ER100_d10,att,0,4.97,0,367,18,4.8
ER100_d10,att,1,4.48,0,367,18,8.1
ER100_d10,att,2,4.83,0,367,18,6.1
ER100_d10,mm,0,5.0,,,,5.4
ER100_d10,mm,1,5.07,,,,2.9
ER100_d10,mm,2,4.85,,,,2.8
turan_n162,att,0,9.13,0,15,0,23.8
turan_n162,att,1,9.062,0,15,0,25.2
turan_n162,att,2,9.0,0,15,0,62.3
turan_n162,mm,0,10.543,,,,32.6
turan_n162,mm,1,13.963,,,,57.6
turan_n162,mm,2,11.537,,,,60.6
spin_glass_n163,att,0,12.73,0,1,75,21.1
spin_glass_n163,att,1,13.049,0,1,75,31.2
spin_glass_n163,att,2,12.853,0,1,75,23.4
spin_glass_n163,mm,0,19.669,,,,60.1
spin_glass_n163,mm,1,18.957,,,,60.6
spin_glass_n163,mm,2,18.055,,,,60.3
regular_n316,att,0,2.759,0,95,22,9.9
regular_n316,att,1,2.674,0,95,22,8.4
regular_n316,att,2,3.136,0,95,22,8.0
regular_n316,mm,0,3.364,,,,2.7
regular_n316,mm,1,3.411,,,,3.2
regular_n316,mm,2,3.291,,,,9.3
ws_n486,att,0,3.019,0,762,21,19.8
ws_n486,att,1,2.792,0,762,21,22.1
ws_n486,att,2,3.545,0,762,21,20.3
ws_n486,mm,0,3.233,,,,8.6
ws_n486,mm,1,3.173,,,,13.3
ws_n486,mm,2,2.821,,,,8.5
wsc_c8xK32,att,0,3.801,0,73,57,23.0
wsc_c8xK32,att,1,4.039,0,73,57,15.5
wsc_c8xK32,att,2,3.824,0,73,57,19.1
wsc_c8xK32,mm,0,3.68,,,,11.3
wsc_c8xK32,mm,1,3.805,,,,28.8
wsc_c8xK32,mm,2,3.859,,,,12.0
wsc_c3xK64,att,0,7.266,0,6,0,27.0
wsc_c3xK64,att,1,5.818,0,6,0,15.0
wsc_c3xK64,att,2,6.031,0,6,0,12.3
wsc_c3xK64,mm,0,7.026,,,,50.4
wsc_c3xK64,mm,1,7.651,,,,45.1
wsc_c3xK64,mm,2,7.266,,,,24.7
