n,seed,arm,final_acl,total_time,mm_time,fails,trajectory
100,0,mm-full,5.66,5.53,5.53,0,
100,0,loop,5.83,8.41,8.13,0,8.640;9.910;8.720;8.840;8.760;8.370;8.730;8.280;8.660;9.140;8.880
100,0,control,5.64,9.62,9.4,0,
100,1,mm-full,5.51,4.56,4.56,0,
100,1,loop,5.68,10.41,10.1,0,8.530;8.410;9.100;10.080;8.780;9.650;8.830;8.800;9.450;8.800;8.490
100,1,control,5.93,7.84,7.6,0,
100,2,mm-full,5.84,3.78,3.78,0,
100,2,loop,5.82,8.44,8.16,0,8.590;9.520;8.510;8.820;9.140;8.740;9.260;8.960;8.640;8.980;8.860
100,2,control,5.63,11.22,10.93,0,
100,3,mm-full,6.18,3.73,3.73,0,
100,3,loop,6.25,8.89,8.61,0,7.900;8.530;9.360;8.630;9.140;9.310;9.390;9.140;9.060;9.200;9.010
100,3,control,6.01,7.07,6.83,0,
100,4,mm-full,5.52,6.0,6.0,0,
100,4,loop,5.98,8.53,8.26,0,8.960;9.140;8.520;8.200;8.240;9.650;8.090;8.490;8.940;9.170;9.190
100,4,control,6.06,9.65,9.42,0,
140,0,mm-full,8.179,11.63,11.63,0,
140,0,loop,7.471,18.26,17.36,0,12.471;13.464;12.343;12.600;12.479;11.900;12.936;12.686;12.229;12.129;12.093
140,0,control,8.314,15.71,14.91,0,
140,1,mm-full,7.893,10.16,10.16,0,
140,1,loop,7.871,19.19,18.26,0,13.129;13.593;12.721;12.964;11.900;12.864;12.257;13.214;11.807;12.500;12.536
140,1,control,7.721,19.41,18.57,0,
140,2,mm-full,7.429,13.37,13.37,0,
140,2,loop,8.107,15.83,14.89,0,13.364;12.443;12.671;12.814;12.193;13.114;12.757;12.114;12.557;12.721;12.979
140,2,control,7.971,23.48,22.73,0,
140,3,mm-full,8.543,6.01,6.01,0,
140,3,loop,7.943,14.35,13.64,0,11.750;12.579;11.836;12.521;11.943;12.393;11.450;12.021;11.814;11.571;11.414
140,3,control,8.171,16.13,15.03,0,
140,4,mm-full,9.107,4.1,4.1,0,
140,4,loop,8.436,17.58,16.6,0,12.007;12.457;12.636;12.000;12.729;12.714;12.736;12.057;12.914;12.536;13.036
140,4,control,7.864,14.61,13.52,0,
180,0,mm-full,9.878,17.0,17.0,0,
180,0,loop,10.161,20.39,18.67,0,14.467;15.417;14.789;14.867;14.478;14.383;14.933;15.083;14.244;14.333;14.656
180,0,control,9.533,25.73,23.72,0,
180,1,mm-full,10.367,7.6,7.6,0,
180,1,loop,9.328,25.01,23.15,0,13.817;15.717;15.161;14.650;14.489;14.567;14.628;14.622;14.572;14.817;13.689
180,1,control,9.756,22.14,20.14,0,
180,2,mm-full,9.739,12.74,12.74,0,
180,2,loop,10.528,20.23,18.58,0,14.306;15.906;14.817;14.906;14.472;15.050;13.894;14.572;14.000;14.483;14.339
180,2,control,11.156,17.54,15.78,0,
180,3,mm-full,10.333,10.14,10.14,0,
180,3,loop,9.689,25.3,23.51,0,15.228;15.572;14.522;15.606;14.978;14.261;15.644;14.383;14.200;14.128;14.578
180,3,control,10.3,22.52,20.75,0,
180,4,mm-full,10.183,14.04,14.04,0,
180,4,loop,10.056,20.39,18.6,0,15.456;15.850;15.033;14.311;14.911;15.106;14.956;15.567;16.011;14.122;15.017
180,4,control,10.661,19.87,18.0,0,
