n,seed,arm,final_acl,total_time,mm_time,fails,trajectory
100,0,loop-v2,6.03,7.28,6.99,0,8.640;8.090;8.760;8.580;8.240;8.770;8.340;8.180;8.300;8.800;8.010
100,1,loop-v2,5.68,11.48,11.2,0,8.530;9.390;8.510;8.160;8.060;8.460;8.150;8.750;7.800;8.360;8.340
100,2,loop-v2,5.63,7.44,7.17,0,8.590;8.500;7.850;8.580;8.940;8.440;8.810;7.950;8.080;9.070;8.070
100,3,loop-v2,5.62,8.99,8.74,0,7.900;9.320;7.960;8.590;8.450;8.570;9.040;7.550;8.630;8.500;8.300
100,4,loop-v2,5.89,15.38,15.11,0,8.960;9.080;8.960;8.450;7.850;8.570;8.530;8.050;8.760;8.570;8.800
140,0,loop-v2,7.943,17.58,16.72,0,12.471;12.386;12.214;12.236;12.407;12.000;12.636;11.329;12.243;12.371;12.836
140,1,loop-v2,7.807,15.86,15.21,0,13.129;12.414;12.279;12.557;10.829;11.729;11.279;12.193;11.686;10.436;11.600
140,2,loop-v2,8.343,12.31,11.48,0,13.364;11.700;11.721;12.371;12.479;12.700;11.571;11.800;12.271;11.300;12.521
140,3,loop-v2,7.9,15.93,15.18,0,11.750;12.129;11.636;12.257;12.636;11.621;11.979;12.279;11.071;10.664;11.514
140,4,loop-v2,8.079,19.6,18.78,0,12.007;13.243;12.779;12.650;11.843;11.729;12.414;12.650;12.436;12.336;12.593
180,0,loop-v2,8.883,28.27,26.37,0,14.467;15.600;13.961;14.367;15.639;14.122;13.272;15.011;14.561;13.794;14.911
180,1,loop-v2,9.772,22.28,20.74,0,13.817;14.833;14.906;14.528;14.600;14.922;14.811;13.950;13.394;13.250;13.650
180,2,loop-v2,9.75,21.22,19.57,0,14.306;14.906;14.111;14.744;13.917;14.344;14.433;14.017;13.389;13.478;13.700
180,3,loop-v2,10.267,20.22,18.28,0,15.228;16.256;16.039;14.389;15.089;15.917;14.350;14.567;14.767;15.028;14.922
180,4,loop-v2,9.317,25.74,24.05,0,15.456;14.494;14.867;14.967;15.411;14.478;14.344;14.528;15.167;14.606;14.678
