cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,orders,0,7.39,9,0.0,29.49,4,59|61|66|57,0,241,0,1667,932,2,10.47,481,0,,,20.0,True,0,0,0,True,63.3
K100,Z12,,orders,1,7.4,9,0.0,29.61,4,59|61|66|49,0,233,0,1596,872,2,15.63,481,0,,,20.0,True,0,0,0,True,62.1
K100,Z12,,orders,2,7.4,9,0.0,29.63,3,59|61|61,0,180,0,1158,634,1,23.19,481,0,,,20.0,True,0,0,0,True,62.6
K100,Z12,,plane,0,7.26,8,0.0,29.69,5,153|36|3|1|3,,195,0,2248,960,3,15.43,428,0,0,1152.0,23.0,True,0,0,0,True,63.7
K100,Z12,,plane,1,7.26,8,0.01,28.9,6,153|36|3|1|3|1,,196,0,2924,1159,3,8.77,428,0,0,1152.0,23.0,True,0,0,0,True,62.9
K100,Z12,,plane,2,7.26,8,0.0,29.73,4,153|36|3|1,,192,0,1661,728,3,16.59,428,0,0,1152.0,23.0,True,0,0,0,True,62.3
K100,Z12,,plane-audit,0,7.27,8,0.01,20.11,3,78|1|0,,78,63,1443,509,1,13.17,326,0,0,1153.0,24.0,True,0,0,0,True,61.5
K100,Z12,,plane-audit,1,7.27,8,0.0,10.59,3,78|1|0,,78,63,1443,509,1,7.3,326,0,0,1153.0,24.0,True,0,0,0,True,63.0
K100,Z12,,plane-audit,2,7.27,8,0.0,22.41,3,78|1|0,,78,63,1443,509,1,16.78,326,0,0,1153.0,24.0,True,0,0,0,True,64.8
K100,Z12,,plane-h,0,7.34,8,0.0,29.75,3,229|91|63,,381,0,1428,1042,3,19.05,862,209,0,1161.0,21.0,True,0,0,0,True,60.5
K100,Z12,,plane-h,1,7.31,8,0.0,29.04,4,229|91|76|62,,455,0,2187,1358,4,29.01,1358,233,0,1159.0,22.0,True,0,0,0,True,65.0
K100,Z12,,plane-h,2,7.29,8,0.0,29.57,4,229|91|76|36,,429,0,2017,1284,4,28.94,1252,233,0,1160.0,22.0,True,0,0,0,True,61.7
K140,Z12,,orders,0,9.879,11,0.02,29.54,1,172,0,172,0,587,407,0,25.49,391,0,,,30.0,True,0,0,0,True,74.0
K140,Z12,,orders,1,9.821,11,0.02,29.01,2,180|5,0,184,0,676,479,4,26.63,469,0,,,30.0,True,0,0,0,True,65.5
K140,Z12,,orders,2,9.879,11,0.0,29.08,1,179,0,179,0,630,445,0,24.19,415,0,,,30.0,True,0,0,0,True,72.2
K140,Z12,,plane,0,9.764,10,0.01,29.66,2,274|33,,306,0,892,646,9,22.07,506,0,0,2314.0,34.0,True,0,0,0,True,62.8
K140,Z12,,plane,1,9.764,10,0.01,29.56,2,274|0,,273,0,563,506,9,29.15,506,0,0,2314.0,34.0,True,0,0,0,True,62.4
K140,Z12,,plane,2,9.764,10,0.0,29.55,2,274|33,,306,0,1054,738,9,15.52,506,0,0,2314.0,34.0,True,0,0,0,True,62.5
K140,Z12,,plane-audit,0,9.879,11,0.0,29.77,2,153|6,,158,238,1061,763,18,25.42,738,0,0,2329.0,32.0,True,0,0,0,True,68.9
K140,Z12,,plane-audit,1,9.879,11,0.0,29.62,2,153|6,,158,237,1006,757,18,27.76,738,0,0,2329.0,32.0,True,0,0,0,True,65.6
K140,Z12,,plane-audit,2,9.9,11,0.0,29.67,2,153|3,,155,201,547,546,18,29.4,542,0,0,2332.0,32.0,True,0,0,0,True,73.1
K140,Z12,,plane-h,0,9.964,11,0.0,29.62,1,317,,317,0,779,659,0,25.93,623,181,0,2342.0,30.0,True,0,0,0,True,67.5
K140,Z12,,plane-h,1,9.921,11,0.01,28.9,2,318|29,,346,0,812,718,4,27.34,680,210,0,2338.0,30.0,True,0,0,0,True,64.7
K140,Z12,,plane-h,2,9.921,11,0.0,28.59,2,318|4,,321,0,805,688,4,28.21,680,185,0,2338.0,30.0,True,0,0,0,True,67.5
ER100_d10,Z12,,orders,0,5.62,8,0.06,29.86,12,289|286|295|329|288|261|261|281|275|287|274|279,0,3394,0,2897,5271,45,0.7,128,0,,,18.0,True,0,0,4,False,60.1
ER100_d10,Z12,,orders,1,5.62,8,0.06,29.86,13,289|286|295|329|288|261|261|281|275|287|274|290,0,3503,0,2990,5462,53,0.68,128,0,,,18.0,True,0,0,4,False,60.1
ER100_d10,Z12,,orders,2,5.62,8,0.06,29.86,13,289|286|295|329|288|261|261|281|275|287|274|290,0,3561,0,3019,5533,53,0.74,128,0,,,18.0,True,0,0,4,False,60.1
ER100_d10,Z12,,plane,0,4.81,9,0.06,29.86,11,316|294|296|323|307|301|292|320|321|336|121,,3217,0,2256,4636,51,0.02,5,0,0,858.0,20.0,True,0,0,0,True,60.1
ER100_d10,Z12,,plane,1,5.49,10,0.07,29.83,16,316|294|296|323|307|301|292|320|321|336|256|306,,4730,0,3394,6821,79,0.03,5,0,0,858.0,20.0,True,0,0,0,True,60.3
ER100_d10,Z12,,plane,2,4.98,9,0.06,29.87,13,316|294|296|323|307|301|292|320|321|336|256|306,,3884,0,2774,5570,57,0.02,5,0,0,858.0,20.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane-audit,0,4.77,9,0.06,2.16,2,11|0,,11,557,490,570,84,0.3,74,0,0,822.0,19.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane-audit,1,4.95,9,0.07,2.2,2,11|0,,11,557,490,570,84,0.31,74,0,0,822.0,19.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane-audit,2,4.7,9,0.06,2.14,2,11|0,,11,557,490,570,84,0.29,74,0,0,822.0,19.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane-h,0,5.68,8,0.06,29.84,11,562|521|574|502|527|542|492|554|530|521|280,,5595,0,2470,7083,63,11.8,2804,2466,0,849.0,19.0,True,0,0,0,True,60.1
ER100_d10,Z12,,plane-h,1,5.7,8,0.06,29.86,11,562|521|574|502|527|542|492|554|530|521|386,,5701,0,2520,7229,63,12.21,2804,2466,0,849.0,19.0,True,0,0,0,True,60.1
ER100_d10,Z12,,plane-h,2,5.7,8,0.08,29.83,8,562|521|574|502|527|542|492|336,,4049,0,1770,5148,44,13.27,2804,1793,0,849.0,19.0,True,0,0,0,True,60.0
turan_n162,Z12,2647,orders,0,6.0,6,0.0,29.92,4,160|115|139|134,0,548,0,3091,553,0,14.03,311,0,,,21.0,True,0,0,50,False,64.5
turan_n162,Z12,2647,orders,1,6.0,6,0.0,29.91,3,194|121|122,0,437,0,2268,442,0,20.53,325,0,,,21.0,True,0,0,22,False,64.0
turan_n162,Z12,2647,orders,2,6.0,6,0.0,29.92,5,160|115|139|163|80,0,657,0,3650,663,0,13.35,311,0,,,21.0,True,0,0,50,False,62.8
turan_n162,Z12,2647,orders,3,6.0,6,0.0,29.91,5,160|115|139|163|89,0,666,0,3804,672,0,13.49,311,0,,,21.0,True,0,0,50,False,60.6
turan_n162,Z12,2647,orders,4,6.0,6,0.0,29.94,5,160|115|139|163|122,0,699,0,3862,705,0,13.85,311,0,,,21.0,True,0,0,50,False,62.5
turan_n162,Z12,2647,orders,5,6.0,6,0.0,29.92,5,194|121|134|159|105,0,713,0,3838,720,0,22.26,528,0,,,22.0,True,0,0,53,False,61.9
turan_n162,Z12,2647,orders,6,6.0,6,0.0,29.95,4,160|115|139|107,0,521,0,3091,526,0,15.82,311,0,,,21.0,True,0,0,50,False,63.5
turan_n162,Z12,2647,orders,7,6.0,6,0.0,29.91,4,194|121|134|79,0,528,0,2894,534,0,28.76,528,0,,,22.0,True,0,0,53,False,65.2
turan_n162,Z12,2647,orders,8,6.0,6,0.0,29.92,5,194|121|134|159|60,0,668,0,3391,675,0,24.04,528,0,,,22.0,True,0,0,53,False,60.7
turan_n162,Z12,2647,orders,9,6.0,6,0.01,29.86,5,160|115|139|163|65,0,642,0,3427,648,0,14.66,311,0,,,21.0,True,0,0,50,False,62.7
turan_n162,Z12,2647,plane,0,6.0,6,0.0,29.95,2,132|475,,607,0,1187,660,0,7.76,122,0,0,1696.0,31.0,True,0,0,0,True,62.5
turan_n162,Z12,2647,plane,1,6.228,7,0.0,29.88,6,131|92|105|92|55|94,,569,0,4723,573,0,13.76,199,0,0,1694.0,30.0,True,0,0,1,False,61.7
turan_n162,Z12,2647,plane,2,6.0,6,0.0,29.93,3,132|512|8,,651,0,1243,718,9,6.77,122,0,0,1696.0,31.0,True,0,0,0,True,67.0
turan_n162,Z12,2647,plane,3,6.0,6,0.01,29.9,2,132|418,,550,0,1153,596,0,8.88,122,0,0,1696.0,31.0,True,0,0,0,True,64.1
turan_n162,Z12,2647,plane,4,6.228,7,0.0,29.96,4,132|512|143|15,,801,0,2071,869,9,22.61,758,0,0,1693.0,26.0,True,0,0,0,True,62.2
turan_n162,Z12,2647,plane,5,6.228,7,0.01,29.81,6,131|92|105|92|55|76,,551,0,4423,555,0,8.31,199,0,0,1694.0,30.0,True,0,0,1,False,62.2
turan_n162,Z12,2647,plane,6,6.228,7,0.0,29.97,3,132|512|79,,722,0,1635,789,9,26.54,758,0,0,1693.0,26.0,True,0,0,0,True,62.5
turan_n162,Z12,2647,plane,7,6.228,7,0.0,29.89,6,131|92|105|92|55|107,,582,0,5046,586,0,8.64,199,0,0,1694.0,30.0,True,0,0,1,False,60.8
turan_n162,Z12,2647,plane,8,6.228,7,0.0,29.89,4,131|92|105|4,,332,0,2507,336,0,16.56,199,0,0,1694.0,30.0,True,0,0,1,False,63.1
turan_n162,Z12,2647,plane,9,6.0,6,0.01,29.87,3,132|512|133,,776,0,1939,844,9,25.49,758,0,0,1693.0,26.0,True,0,0,0,True,63.5
turan_n162,Z12,2647,plane-audit,0,6.228,7,0.0,7.27,2,27|0,,27,260,1589,288,0,1.09,53,0,0,1683.0,28.0,True,0,0,0,True,64.7
turan_n162,Z12,2647,plane-audit,1,7.0,8,0.0,15.86,2,32|0,,32,336,1508,369,0,4.07,106,0,0,1716.0,25.0,True,0,0,0,True,66.7
turan_n162,Z12,2647,plane-audit,2,6.228,7,0.0,10.77,2,27|0,,27,260,1589,288,0,2.23,53,0,0,1683.0,28.0,True,0,0,0,True,61.0
