cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,orders,0,7.39,9,0.0,29.31,4,59|61|66|23,0,207,0,1475,810,2,19.55,481,0,,,20.0,True,0,0,0,True,60.6
K100,Z12,,orders,1,7.4,9,0.0,29.71,3,59|61|61,0,180,0,1190,661,1,14.97,481,0,,,20.0,True,0,0,0,True,62.7
K100,Z12,,orders,2,7.4,9,0.0,29.59,3,59|61|42,0,161,0,1049,563,1,20.59,481,0,,,20.0,True,0,0,0,True,60.4
K100,Z12,,plane,0,15.23,30,0.0,29.82,3,153|36|3,,191,0,1355,639,3,11.92,428,0,0,1152.0,23.0,False,0,51,0,False,62.4
K100,Z12,,plane,1,25.57,47,0.0,29.6,5,153|36|3|1|3,,195,0,2178,903,3,11.8,428,0,0,1152.0,23.0,False,0,51,0,False,63.3
K100,Z12,,plane,2,15.47,27,0.02,29.67,4,153|36|3|1,,192,0,1620,704,3,11.39,428,0,0,1152.0,23.0,False,0,51,0,False,61.1
K100,Z12,,plane-audit,0,11.22,21,0.0,14.63,3,78|1|0,,78,63,1443,509,1,9.53,326,0,0,1153.0,24.0,False,0,52,0,False,64.5
K100,Z12,,plane-audit,1,8.85,15,0.0,14.75,3,78|1|0,,78,63,1443,509,1,9.67,326,0,0,1153.0,24.0,False,0,52,0,False,53.8
K100,Z12,,plane-audit,2,10.46,21,0.01,12.02,3,78|1|0,,78,63,1443,509,1,7.48,326,0,0,1153.0,24.0,False,0,52,0,False,61.3
K100,Z12,,plane-h,0,17.59,32,0.0,29.25,4,229|91|76|23,,416,0,1901,1232,4,20.08,862,232,0,1161.0,21.0,False,0,71,0,False,63.4
K100,Z12,,plane-h,1,16.93,43,0.0,29.64,5,229|91|76|65|35,,493,0,2690,1617,4,24.6,1367,259,0,1156.0,22.0,False,0,68,0,False,63.3
K100,Z12,,plane-h,2,19.7,36,0.0,29.41,3,229|91|3,,321,0,1142,865,3,29.08,862,175,0,1161.0,21.0,False,0,71,0,False,64.6
K140,Z12,,orders,0,9.95,11,0.0,29.59,1,168,0,168,0,536,368,0,9.4,148,0,,,30.0,True,0,0,0,True,74.0
K140,Z12,,orders,1,9.95,11,0.01,29.38,1,167,0,167,0,514,360,0,8.34,148,0,,,30.0,True,0,0,0,True,79.8
K140,Z12,,orders,2,9.879,11,0.0,29.48,1,179,0,179,0,636,451,0,27.14,415,0,,,30.0,True,0,0,0,True,69.1
K140,Z12,,plane,0,,,,,,,,,,,,,,,,,,,,,,,,78.9
K140,Z12,,plane,1,,,,,,,,,,,,,,,,,,,,,,,,70.4
K140,Z12,,plane,2,,,,,,,,,,,,,,,,,,,,,,,,71.5
K140,Z12,,plane-audit,0,,,,,,,,,,,,,,,,,,,,,,,,73.2
K140,Z12,,plane-audit,1,,,,,,,,,,,,,,,,,,,,,,,,77.8
K140,Z12,,plane-audit,2,,,,,,,,,,,,,,,,,,,,,,,,75.8
K140,Z12,,plane-h,0,,,,,,,,,,,,,,,,,,,,,,,,74.6
K140,Z12,,plane-h,1,,,,,,,,,,,,,,,,,,,,,,,,77.8
K140,Z12,,plane-h,2,,,,,,,,,,,,,,,,,,,,,,,,75.4
ER100_d10,Z12,,orders,0,5.62,8,0.14,29.77,10,289|286|295|329|288|261|261|281|275|177,0,2733,0,2279,4196,35,1.54,128,0,,,18.0,True,0,0,4,False,60.1
ER100_d10,Z12,,orders,1,5.62,8,0.06,29.86,11,289|286|295|329|288|261|261|281|275|287|215,0,3057,0,2588,4748,38,0.68,128,0,,,18.0,True,0,0,4,False,60.0
ER100_d10,Z12,,orders,2,5.62,8,0.12,29.7,6,289|286|295|329|288|171,0,1653,0,1243,2447,23,2.86,128,0,,,18.0,True,0,0,4,False,60.1
ER100_d10,Z12,,plane,0,4.35,8,0.05,29.87,12,316|294|296|323|307|301|292|320|321|336|256|107,,3458,0,2508,5010,56,0.02,5,0,0,858.0,20.0,False,0,8,0,False,60.0
ER100_d10,Z12,,plane,1,4.68,9,0.06,29.84,13,316|294|296|323|307|301|292|320|321|336|256|306,,3683,0,2683,5316,57,0.03,5,0,0,858.0,20.0,False,0,8,0,False,60.0
ER100_d10,Z12,,plane,2,4.51,8,0.24,29.53,8,316|294|296|323|307|301|292|60,,2182,0,1589,3185,33,0.16,5,0,0,858.0,20.0,False,0,8,0,False,60.1
ER100_d10,Z12,,plane-audit,0,4.74,9,0.19,8.29,2,11|0,,11,557,490,570,84,1.74,74,0,0,822.0,19.0,False,0,6,0,False,60.0
ER100_d10,Z12,,plane-audit,1,4.53,8,0.09,7.6,2,11|0,,11,557,490,570,84,0.82,74,0,0,822.0,19.0,False,0,6,0,False,60.2
ER100_d10,Z12,,plane-audit,2,4.8,9,0.08,2.11,2,11|0,,11,557,490,570,84,0.3,74,0,0,822.0,19.0,False,0,6,0,False,60.1
ER100_d10,Z12,,plane-h,0,5.02,9,0.06,29.87,6,562|521|574|502|527|45,,2726,0,1199,3473,34,15.38,2804,1172,0,849.0,19.0,False,0,6,0,False,60.0
ER100_d10,Z12,,plane-h,1,4.76,9,0.21,29.61,8,562|521|574|502|527|542|492|101,,3814,0,1721,4881,44,16.45,2804,1673,0,849.0,19.0,False,0,6,0,False,60.1
ER100_d10,Z12,,plane-h,2,5.04,9,0.11,29.7,5,562|521|574|502|126,,2281,0,955,2898,31,27.26,2804,1035,0,849.0,19.0,False,0,6,0,False,60.1
turan_n162,Z12,2647,orders,0,6.0,6,0.0,29.91,3,160|115|134,0,409,0,2357,413,0,20.7,311,0,,,21.0,True,0,0,50,False,61.5
