cell,arm,seed,final_acl,rounds,time,diag
K100,default,0,12.62,1,34.8,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.2319, 'extent_mean': 7.142, 'extent_max': 7.968}"
K100,mm,0,13.35,,62.5,
K100,mm2,0,11.7,,28.0,
K100,default,1,13.22,1,28.1,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.2321, 'extent_mean': 7.9, 'extent_max': 8.789}"
K100,mm,1,14.24,,60.2,
K100,mm2,1,14.84,,55.5,
K100,default,2,13.42,1,60.9,"{'assigned': 100, 'assigned_rows': 100, 'assigned_cols': 100, 'insert_reverts': 0, 'mono_time': 0.2337, 'extent_mean': 7.236, 'extent_max': 8.698}"
K100,mm,2,13.99,,61.7,
K100,mm2,2,15.82,,60.2,
K140,default,0,19.657,1,61.3,"{'assigned': 140, 'assigned_rows': 140, 'assigned_cols': 140, 'insert_reverts': 0, 'mono_time': 0.8185, 'extent_mean': 9.855, 'extent_max': 11.005}"
K140,mm,0,20.45,,62.1,
K140,mm2,0,26.229,,61.1,
K140,default,1,18.407,1,60.4,"{'assigned': 140, 'assigned_rows': 140, 'assigned_cols': 140, 'insert_reverts': 0, 'mono_time': 0.8072, 'extent_mean': 9.692, 'extent_max': 9.692}"
K140,mm,1,23.121,,62.9,
K140,mm2,1,16.85,,61.7,
K140,default,2,19.95,1,61.9,"{'assigned': 140, 'assigned_rows': 140, 'assigned_cols': 140, 'insert_reverts': 0, 'mono_time': 0.8538, 'extent_mean': 9.906, 'extent_max': 10.519}"
K140,mm,2,22.157,,62.8,
K140,mm2,2,22.171,,64.2,
ER100_d10,default,0,5.95,1,5.5,"{'assigned': 41, 'assigned_rows': 22, 'assigned_cols': 31, 'insert_reverts': 0, 'mono_time': 0.0285, 'extent_mean': 4.616, 'extent_max': 8.066}"
ER100_d10,mm,0,5.66,,7.5,
ER100_d10,mm2,0,5.62,,5.4,
ER100_d10,default,1,6.38,1,4.2,"{'assigned': 41, 'assigned_rows': 22, 'assigned_cols': 31, 'insert_reverts': 0, 'mono_time': 0.0283, 'extent_mean': 4.858, 'extent_max': 7.942}"
ER100_d10,mm,1,5.51,,6.1,
