cell,arm,seed,acl,max_chain,legal_acl,stopped_by,asks,bookmark_asks,pen,certified,mm_skipped,error,wall
K100,mm,0,10.61,15,,,,,,,,,61.0
K100,mm,1,10.71,16,,,,,,,,,61.1
K100,mm,2,10.08,14,,,,,,,,,62.8
K140,mm,0,21.386,41,,,,,,,,,61.3
K140,mm,1,,,,,,,,,,,75.4
K140,mm,2,19.186,40,,,,,,,,,60.8
ER100_d10,mm,0,5.0,9,,,,,,,,,6.2
ER100_d10,mm,1,5.07,10,,,,,,,,,3.0
ER100_d10,mm,2,4.85,9,,,,,,,,,3.4
ER100_d10,mm,3,5.29,9,,,,,,,,,3.8
ER100_d10,mm,4,4.52,8,,,,,,,,,6.1
ER100_d10,mm,5,4.63,8,,,,,,,,,8.5
ER100_d10,mm,6,4.65,8,,,,,,,,,10.5
ER100_d10,mm,7,5.06,9,,,,,,,,,5.9
ER100_d10,mm,8,4.71,9,,,,,,,,,5.8
ER100_d10,mm,9,4.4,9,,,,,,,,,7.8
turan_n162,mm,0,10.543,16,,,,,,,,,62.0
turan_n162,mm,1,13.963,25,,,,,,,,,62.1
turan_n162,mm,2,11.877,21,,,,,,,,,63.4
turan_n162,mm,3,10.253,16,,,,,,,,,63.2
turan_n162,mm,4,11.031,17,,,,,,,,,61.2
turan_n162,mm,5,11.741,23,,,,,,,,,63.8
turan_n162,mm,6,11.907,18,,,,,,,,,62.4
turan_n162,mm,7,10.759,17,,,,,,,,,62.6
turan_n162,mm,8,10.654,19,,,,,,,,,61.9
turan_n162,mm,9,10.309,17,,,,,,,,,60.3
spin_glass_n163,mm,0,20.558,34,,,,,,,,,60.5
spin_glass_n163,mm,1,21.791,41,,,,,,,,,61.1
spin_glass_n163,mm,2,19.344,31,,,,,,,,,60.9
regular_n316,mm,0,3.364,9,,,,,,,,,4.5
regular_n316,mm,1,3.411,10,,,,,,,,,4.5
regular_n316,mm,2,3.291,9,,,,,,,,,6.1
regular_n316,mm,3,3.304,8,,,,,,,,,5.2
regular_n316,mm,4,3.56,10,,,,,,,,,5.9
regular_n316,mm,5,3.275,8,,,,,,,,,4.5
regular_n316,mm,6,3.88,10,,,,,,,,,3.8
regular_n316,mm,7,4.139,11,,,,,,,,,3.5
regular_n316,mm,8,3.573,10,,,,,,,,,7.4
regular_n316,mm,9,4.108,11,,,,,,,,,2.4
ws_n486,mm,0,3.233,11,,,,,,,,,6.6
ws_n486,mm,1,3.173,13,,,,,,,,,6.2
ws_n486,mm,2,2.821,11,,,,,,,,,9.0
ws_n486,mm,3,3.105,11,,,,,,,,,6.8
ws_n486,mm,4,3.021,10,,,,,,,,,8.4
ws_n486,mm,5,3.07,13,,,,,,,,,7.6
ws_n486,mm,6,3.385,12,,,,,,,,,7.0
ws_n486,mm,7,3.383,13,,,,,,,,,5.7
ws_n486,mm,8,3.134,12,,,,,,,,,10.5
ws_n486,mm,9,3.117,11,,,,,,,,,4.4
grid_200,mm,0,1.04,2,,,,,,,,,0.5
grid_200,mm,1,1.155,2,,,,,,,,,0.7
grid_200,mm,2,1.05,2,,,,,,,,,0.4
honeycomb_200,mm,0,1.14,2,,,,,,,,,0.6
honeycomb_200,mm,1,1.11,2,,,,,,,,,1.0
honeycomb_200,mm,2,1.23,3,,,,,,,,,0.5
king_graph_196,mm,0,1.888,4,,,,,,,,,1.2
king_graph_196,mm,1,1.872,4,,,,,,,,,2.3
king_graph_196,mm,2,1.52,3,,,,,,,,,1.9
