cell,arm,seed,acl,max_chain,legal_acl,stopped_by,asks,bookmark_asks,pen,certified,mm_skipped,error,wall
K100,new,0,7.26,8,7.26,fixpoint,1555,565,0,True,True,,20.4
K100,new,1,7.26,8,7.26,fixpoint,1895,852,0,True,True,,16.0
K100,new,2,7.26,8,7.26,fixpoint,1337,504,0,True,True,,12.0
K100,new+mm,0,7.26,8,7.26,fixpoint,1555,565,0,True,True,,62.8
K100,new+mm,1,7.26,8,7.26,fixpoint,1895,852,0,True,True,,61.7
K100,new+mm,2,7.26,8,7.26,fixpoint,1337,504,0,True,True,,61.3
K100,mm,0,10.61,15,,,,,,,,,61.0
K100,mm,1,10.71,16,,,,,,,,,61.1
K100,mm,2,10.08,14,,,,,,,,,62.8
K140,new,0,9.757,10,9.757,fixpoint,2206,859,0,True,True,,31.1
K140,new,1,9.771,11,9.771,fixpoint,2071,555,0,True,True,,33.2
K140,new,2,9.771,11,9.771,fixpoint,2102,650,0,True,True,,33.2
K140,new+mm,0,9.757,10,9.757,deadline,1961,859,0,True,True,,68.3
K140,new+mm,1,9.771,11,9.771,deadline,1654,555,0,True,True,,65.7
K140,new+mm,2,9.771,11,9.771,deadline,658,650,0,True,True,,69.7
K140,mm,0,21.386,41,,,,,,,,,61.3
K140,mm,1,,,,,,,,,,,75.4
K140,mm,2,19.186,40,,,,,,,,,60.8
ER100_d10,new,0,4.69,7,4.69,fixpoint,2854,1091,0,True,True,,14.4
ER100_d10,new,1,4.63,8,4.63,fixpoint,3147,2203,0,True,True,,15.2
ER100_d10,new,2,4.53,7,4.53,fixpoint,2885,1167,0,True,True,,15.7
ER100_d10,new,3,4.63,8,4.63,fixpoint,3135,2060,0,True,True,,15.0
ER100_d10,new,4,4.64,9,4.64,fixpoint,3900,1644,0,True,True,,21.5
ER100_d10,new,5,4.77,9,4.77,fixpoint,4201,3116,0,True,True,,27.3
ER100_d10,new,6,4.47,8,4.47,asks,8000,6616,0,True,True,,43.4
ER100_d10,new,7,4.52,8,4.52,fixpoint,4248,1818,0,True,True,,27.1
ER100_d10,new,8,4.69,8,4.69,fixpoint,4092,1435,0,True,True,,19.5
ER100_d10,new,9,4.62,8,4.62,fixpoint,2162,1250,0,True,True,,11.7
ER100_d10,new+mm,0,4.45,7,4.69,fixpoint,2854,1091,0,True,True,,60.2
ER100_d10,new+mm,1,4.63,8,4.63,fixpoint,3147,2203,0,True,True,,60.1
ER100_d10,new+mm,2,4.23,7,4.53,fixpoint,2885,1167,0,True,True,,60.1
ER100_d10,new+mm,3,4.63,8,4.63,deadline,2536,2060,0,True,True,,60.1
ER100_d10,new+mm,4,4.21,7,4.64,deadline,3621,1644,0,True,True,,60.1
ER100_d10,new+mm,5,4.78,8,4.77,fixpoint,4201,3116,0,True,True,,60.1
ER100_d10,new+mm,6,4.52,8,4.52,deadline,4541,4195,0,True,True,,60.0
ER100_d10,new+mm,7,4.1,7,4.52,deadline,2985,1818,0,True,True,,60.1
ER100_d10,new+mm,8,4.69,8,4.69,fixpoint,4092,1435,0,True,True,,60.1
ER100_d10,new+mm,9,4.28,7,4.62,fixpoint,2162,1250,0,True,True,,60.1
ER100_d10,mm,0,5.0,9,,,,,,,,,6.2
ER100_d10,mm,1,5.07,10,,,,,,,,,3.0
ER100_d10,mm,2,4.85,9,,,,,,,,,3.4
ER100_d10,mm,3,5.29,9,,,,,,,,,3.8
ER100_d10,mm,4,4.52,8,,,,,,,,,6.1
ER100_d10,mm,5,4.63,8,,,,,,,,,8.5
ER100_d10,mm,6,4.65,8,,,,,,,,,10.5
ER100_d10,mm,7,5.06,9,,,,,,,,,5.9
ER100_d10,mm,8,4.71,9,,,,,,,,,5.8
ER100_d10,mm,9,4.4,9,,,,,,,,,7.8
turan_n162,new,0,6.0,6,6.0,asks,15000,4073,0,True,True,,287.2
turan_n162,new,1,6.0,6,6.0,asks,15000,1563,0,True,True,,214.8
turan_n162,new,2,6.0,6,6.0,asks,15000,2261,0,True,True,,211.8
turan_n162,new,3,6.0,6,6.0,asks,15000,14848,0,True,True,,216.8
turan_n162,new,4,6.0,6,6.0,asks,15000,4760,0,True,True,,260.9
