cell,arm,seed,acl,max_chain,legal_acl,stopped_by,asks,bookmark_asks,pen,certified,mm_skipped,error,wall
K100,old,0,7.26,8,7.26,deadline,4265,213,,True,True,,69.8
K100,old,1,7.26,8,7.26,deadline,4059,213,,True,True,,68.7
K100,old,2,7.26,8,7.26,deadline,4138,213,,True,True,,60.6
K140,old,0,9.757,10,9.757,deadline,2332,273,,True,True,,72.6
K140,old,1,9.757,10,9.757,deadline,2459,273,,True,True,,70.7
K140,old,2,9.757,10,9.757,deadline,2299,273,,True,True,,71.5
ER100_d10,old,0,4.56,8,4.95,deadline,7538,2639,,True,True,,60.3
ER100_d10,old,1,4.43,8,4.95,deadline,7419,2639,,True,True,,60.4
ER100_d10,old,2,4.27,7,4.95,deadline,7241,2639,,True,True,,60.4
ER100_d10,old,3,4.95,8,4.95,deadline,7323,2639,,True,True,,60.3
ER100_d10,old,4,4.6,8,4.95,deadline,7373,2639,,True,True,,60.5
ER100_d10,old,5,4.55,8,4.95,deadline,7303,2639,,True,True,,60.5
ER100_d10,old,6,4.3,7,4.95,deadline,7186,2639,,True,True,,60.4
ER100_d10,old,7,4.95,8,4.95,deadline,7749,2639,,True,True,,60.4
ER100_d10,old,8,4.95,8,4.95,deadline,7626,2639,,True,True,,60.3
ER100_d10,old,9,4.96,8,4.95,deadline,7484,2639,,True,True,,60.4
turan_n162,old,0,9.253,12,9.253,deadline,3070,726,,True,True,,68.4
turan_n162,old,1,9.593,13,9.611,deadline,2886,429,,True,True,,77.4
turan_n162,old,2,9.253,12,9.253,deadline,2869,726,,True,True,,70.0
turan_n162,old,3,9.253,12,9.253,deadline,3034,726,,True,True,,66.2
turan_n162,old,4,9.222,12,9.253,deadline,3080,726,,True,True,,66.8
turan_n162,old,5,9.611,13,9.611,deadline,2965,429,,True,True,,74.3
turan_n162,old,6,9.253,12,9.253,deadline,3231,726,,True,True,,60.5
turan_n162,old,7,9.611,13,9.611,deadline,2797,429,,True,True,,76.5
turan_n162,old,8,9.623,13,9.623,deadline,424,410,,True,True,,64.5
turan_n162,old,9,9.895,13,9.901,deadline,187,187,,True,True,,69.1
spin_glass_n163,old,0,10.92,12,10.92,deadline,909,860,,True,True,,67.2
spin_glass_n163,old,1,11.19,13,11.19,deadline,150,150,,True,True,,63.2
spin_glass_n163,old,2,11.012,13,11.012,deadline,307,300,,True,True,,68.9
regular_n316,old,0,2.684,6,4.763,deadline,205,137,,True,True,,60.0
regular_n316,old,1,2.842,6,5.117,deadline,33,19,,True,True,,60.1
regular_n316,old,2,2.861,7,5.019,deadline,73,73,,True,True,,60.0
regular_n316,old,3,2.601,6,4.75,deadline,128,128,,True,True,,60.1
regular_n316,old,4,2.753,7,4.949,deadline,68,47,,True,True,,60.4
regular_n316,old,5,2.835,7,4.949,deadline,61,47,,True,True,,60.1
regular_n316,old,6,2.671,6,4.908,deadline,78,78,,True,True,,60.0
regular_n316,old,7,2.75,6,4.652,deadline,331,325,,True,True,,60.1
regular_n316,old,8,2.873,7,4.652,deadline,442,325,,True,True,,60.1
regular_n316,old,9,2.962,7,4.658,deadline,765,743,,True,True,,60.1
ws_n486,old,0,2.516,8,3.84,deadline,418,370,,False,False,,60.0
ws_n486,old,1,2.854,9,3.751,deadline,435,435,,False,False,,60.1
ws_n486,old,2,2.424,7,3.788,deadline,415,370,,False,False,,60.0
ws_n486,old,3,2.494,7,3.658,deadline,419,370,,False,False,,60.0
ws_n486,old,4,2.496,8,3.786,deadline,481,481,,False,False,,60.1
ws_n486,old,5,2.609,9,3.704,deadline,463,458,,False,False,,60.0
ws_n486,old,6,2.58,9,3.726,deadline,416,370,,False,False,,60.0
ws_n486,old,7,2.514,7,3.827,deadline,470,468,,False,False,,60.0
ws_n486,old,8,2.553,8,3.887,deadline,585,481,,False,False,,60.1
ws_n486,old,9,2.529,8,3.695,deadline,645,481,,False,False,,60.1
grid_200,old,0,1.165,2,2.045,deadline,2678,2125,,True,True,,60.0
grid_200,old,1,1.285,3,2.045,deadline,3023,2125,,True,True,,60.1
grid_200,old,2,1.345,4,2.03,deadline,3388,3240,,True,True,,60.0
honeycomb_200,old,0,1.335,3,2.165,deadline,3933,1545,,True,True,,60.0
honeycomb_200,old,1,1.43,3,2.165,deadline,3996,1545,,True,True,,60.0
honeycomb_200,old,2,1.23,2,2.165,deadline,4241,1545,,True,True,,60.0
king_graph_196,old,0,1.791,4,2.388,deadline,3834,1638,,True,True,,60.1
king_graph_196,old,1,1.74,4,2.388,deadline,3943,1638,,True,True,,60.1
king_graph_196,old,2,1.964,4,2.388,deadline,4035,1638,,True,True,,60.0
