paired board — mean ACL (successes) / mean max chain; d = arm − mm on the seeds both have
K100             | mm=10.467(3/3) mx=15.0 | old=7.26(3/3) mx=8.0 d=-3.207 | new=7.26(3/3) mx=8.0 d=-3.207 | new+mm=7.26(3/3) mx=8.0 d=-3.207
K140             | mm=20.286(2/3) mx=40.5 | old=9.757(3/3) mx=10.0 d=-10.529 | new=9.766(3/3) mx=10.667 d=-10.522 | new+mm=9.766(3/3) mx=10.667 d=-10.522
ER100_d10        | mm=4.818(10/10) mx=8.8 | old=4.652(10/10) mx=7.8 d=-0.166 | new=4.599(10/10) mx=8.1 d=-0.219 | new+mm=4.452(10/10) mx=7.5 d=-0.366
turan_n162       | mm=11.304(10/10) mx=18.9 | old=9.457(10/10) mx=12.5 d=-1.847 | new=6.0(10/10) mx=6.0 d=-5.304 | new+mm=6.0(10/10) mx=6.0 d=-5.304
spin_glass_n163  | mm=20.564(3/3) mx=35.333 | old=11.041(3/3) mx=12.667 d=-9.524 | new=10.849(3/3) mx=12.333 d=-9.716 | new+mm=10.842(3/3) mx=12.0 d=-9.722
regular_n316     | mm=3.59(10/10) mx=9.6 | old=2.783(10/10) mx=6.5 d=-0.807 | new=4.747(10/10) mx=13.6 d=+1.157 | new+mm=3.612(10/10) mx=9.3 d=+0.021
ws_n486          | mm=3.144(10/10) mx=11.7 | old=2.557(10/10) mx=8.0 d=-0.587 | new=4.401(10/10) mx=27.4 d=+1.257 | new+mm=3.336(10/10) mx=12.1 d=+0.191
grid_200         | mm=1.082(3/3) mx=2.0 | old=1.265(3/3) mx=3.0 d=+0.183 | new=1.59(3/3) mx=5.667 d=+0.508 | new+mm=1.29(3/3) mx=2.667 d=+0.208
honeycomb_200    | mm=1.16(3/3) mx=2.333 | old=1.332(3/3) mx=2.667 d=+0.172 | new=1.89(3/3) mx=6.0 d=+0.730 | new+mm=1.235(3/3) mx=2.667 d=+0.075
king_graph_196   | mm=1.76(3/3) mx=3.667 | old=1.832(3/3) mx=4.0 d=+0.072 | new=2.561(3/3) mx=7.667 d=+0.801 | new+mm=2.111(3/3) mx=4.667 d=+0.351
done-all2
