cell,fabric,gid,group,draw,seed,sched,sched_seed,init_mode,max_asks,final_acl,max_chain,traj,init_wall,arrange_wall,seat_passes,asks,bookmark_asks,stopped_by,interleave_accepts,interleave_declines,interleave_noops,readouts,bookmark_readouts,legal_acl,legal_max_chain,judge,judge_pen,plane_stair,plane_bars,strip_miss,projection_misses,proj_pen,convert_miss,mm_skipped,certified,adopt_worse,error,time
K100,Z12,,ladder,1,0,ladder,0,spectral,10000,7.26,8,138,0.0,63.46,1,10000,213,asks,138,0,9862,139,98,7.26,8,stair,,1153.0,,,0,0,0,True,True,0,,64.1
K100,Z12,,rung,1,0,rung,1,spectral,10000,7.26,8,135,0.0,63.02,1,10000,301,asks,135,0,9865,136,130,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,63.6
K100,Z12,,rung,2,0,rung,2,spectral,10000,7.26,8,145,0.0,60.8,1,10000,240,asks,145,0,9855,146,130,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,61.4
K100,Z12,,rung,3,0,rung,3,spectral,10000,7.26,8,164,0.0,61.87,1,10000,399,asks,164,0,9836,165,158,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,62.5
K100,Z12,,rung,4,0,rung,4,spectral,10000,7.26,8,151,0.0,61.7,1,10000,511,asks,151,0,9849,152,150,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,62.2
K100,Z12,,rung,5,0,rung,5,spectral,10000,7.27,8,164,0.02,63.47,1,10000,528,asks,164,0,9836,165,165,7.27,8,stair,,1154.0,,,0,0,0,True,True,0,,64.1
K100,Z12,,bag,1,0,bag,1,spectral,10000,7.26,8,178,0.0,61.05,1,10000,609,asks,178,0,9822,179,175,7.26,8,stair,,1153.0,,,0,0,0,True,True,0,,61.6
K100,Z12,,bag,2,0,bag,2,spectral,10000,7.26,8,201,0.0,61.67,1,10000,618,asks,201,0,9799,202,201,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,62.2
K100,Z12,,bag,3,0,bag,3,spectral,10000,7.28,8,189,0.0,59.15,1,10000,314,asks,189,0,9811,190,180,7.28,8,stair,,1154.0,,,0,0,0,True,True,0,,59.7
K100,Z12,,bag,4,0,bag,4,spectral,10000,7.26,8,172,0.0,62.1,1,10000,330,asks,172,0,9828,173,156,7.26,8,stair,,1153.0,,,0,0,0,True,True,0,,62.6
K100,Z12,,bag,5,0,bag,5,spectral,10000,7.26,8,168,0.0,65.22,1,10000,271,asks,168,0,9832,169,153,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,65.8
K100,Z12,,rinit,1,1,ladder,0,random,10000,7.26,8,119,0.0,60.86,1,10000,207,asks,119,0,9881,120,85,7.26,8,stair,,1153.0,,,0,0,0,True,True,0,,61.5
K100,Z12,,rinit,2,2,ladder,0,random,10000,7.26,8,137,0.0,62.77,1,10000,214,asks,137,0,9863,138,94,7.26,8,stair,,1153.0,,,0,0,0,True,True,0,,63.4
K100,Z12,,rinit,3,3,ladder,0,random,10000,7.26,8,138,0.0,60.87,1,10000,252,asks,138,0,9862,139,111,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,61.4
K100,Z12,,rinit,4,4,ladder,0,random,10000,7.26,8,136,0.0,60.58,1,10000,199,asks,136,0,9864,137,99,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,61.1
K100,Z12,,rinit,5,5,ladder,0,random,10000,7.26,8,146,0.0,62.13,1,10000,201,asks,146,0,9854,147,104,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,62.8
K100,Z12,,rinit+bag,1,1,bag,1,random,10000,7.26,8,188,0.0,62.52,1,10000,488,asks,188,0,9812,189,185,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,63.0
K100,Z12,,rinit+bag,2,2,bag,2,random,10000,7.26,8,137,0.0,61.66,1,10000,569,asks,137,0,9863,138,137,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,62.2
K100,Z12,,rinit+bag,3,3,bag,3,random,10000,7.26,8,139,0.0,62.15,1,10000,320,asks,139,0,9861,140,133,7.26,8,stair,,1153.0,,,0,0,0,True,True,0,,63.0
K100,Z12,,rinit+bag,4,4,bag,4,random,10000,7.26,8,170,0.0,62.49,1,10000,331,asks,170,0,9830,171,162,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,63.2
K100,Z12,,rinit+bag,5,5,bag,5,random,10000,7.26,8,160,0.0,61.3,1,10000,322,asks,160,0,9840,161,147,7.26,8,stair,,1152.0,,,0,0,0,True,True,0,,61.9
K140,Z12,,ladder,1,0,ladder,0,spectral,12000,9.757,10,188,0.01,113.02,1,12000,335,asks,188,0,11812,189,159,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,113.7
K140,Z12,,rung,1,0,rung,1,spectral,12000,9.757,10,214,0.01,118.47,1,12000,549,asks,214,0,11786,215,213,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,119.1
K140,Z12,,rung,2,0,rung,2,spectral,12000,9.757,10,219,0.01,120.39,1,12000,462,asks,219,0,11781,220,214,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,121.2
K140,Z12,,rung,3,0,rung,3,spectral,12000,9.757,10,235,0.01,111.6,1,12000,702,asks,235,0,11765,236,231,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,112.0
K140,Z12,,rung,4,0,rung,4,spectral,12000,9.771,11,204,0.01,119.32,1,12000,414,asks,204,0,11796,205,191,9.771,11,stair,,2314.0,,,0,0,0,True,True,0,,119.7
K140,Z12,,rung,5,0,rung,5,spectral,12000,9.757,10,200,0.01,120.44,1,12000,503,asks,200,0,11800,201,195,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,120.9
K140,Z12,,bag,1,0,bag,1,spectral,12000,9.757,10,291,0.01,123.78,1,12000,7984,asks,291,0,11709,292,281,9.757,10,stair,,2313.0,,,0,0,0,True,True,0,,124.2
K140,Z12,,bag,2,0,bag,2,spectral,12000,9.757,10,274,0.01,122.69,1,12000,638,asks,274,0,11726,275,274,9.757,10,stair,,2313.0,,,0,0,0,True,True,0,,123.2
K140,Z12,,bag,3,0,bag,3,spectral,12000,9.757,10,241,0.01,116.3,1,12000,619,asks,241,0,11759,242,234,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,116.8
K140,Z12,,bag,4,0,bag,4,spectral,12000,9.757,10,239,0.01,118.58,1,12000,498,asks,239,0,11761,240,237,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,119.0
K140,Z12,,bag,5,0,bag,5,spectral,12000,9.757,10,295,0.01,121.15,1,12000,852,asks,295,0,11705,296,295,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,121.6
K140,Z12,,rinit,1,1,ladder,0,random,12000,9.757,10,209,0.0,118.25,1,12000,353,asks,209,0,11791,210,181,9.757,10,stair,,2313.0,,,0,0,0,True,True,0,,118.7
K140,Z12,,rinit,2,2,ladder,0,random,12000,9.757,10,171,0.0,121.55,1,12000,379,asks,171,0,11829,172,145,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,122.1
K140,Z12,,rinit,3,3,ladder,0,random,12000,9.757,10,186,0.0,119.31,1,12000,357,asks,186,0,11814,187,164,9.757,10,stair,,2313.0,,,0,0,0,True,True,0,,119.7
K140,Z12,,rinit,4,4,ladder,0,random,12000,9.757,10,198,0.0,116.23,1,12000,346,asks,198,0,11802,199,169,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,116.7
K140,Z12,,rinit,5,5,ladder,0,random,12000,9.771,11,198,0.0,118.56,1,12000,370,asks,198,0,11802,199,177,9.771,11,stair,,2314.0,,,0,0,0,True,True,0,,119.0
K140,Z12,,rinit+bag,1,1,bag,1,random,12000,9.757,10,209,0.0,118.5,1,12000,692,asks,209,0,11791,210,207,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,118.9
K140,Z12,,rinit+bag,2,2,bag,2,random,12000,9.757,10,248,0.0,115.34,1,12000,927,asks,248,0,11752,249,249,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,115.7
K140,Z12,,rinit+bag,3,3,bag,3,random,12000,9.757,10,267,0.0,120.09,1,12000,783,asks,267,0,11733,268,263,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,120.5
K140,Z12,,rinit+bag,4,4,bag,4,random,12000,9.757,10,287,0.0,120.71,1,12000,759,asks,287,0,11713,288,285,9.757,10,stair,,2312.0,,,0,0,0,True,True,0,,121.2
K140,Z12,,rinit+bag,5,5,bag,5,random,12000,9.757,10,243,0.0,119.32,1,12000,1148,asks,243,0,11757,244,235,9.757,10,stair,,2313.0,,,0,0,0,True,True,0,,119.8
ER100_d10,Z12,,ladder,1,0,ladder,0,spectral,8000,4.95,8,375|103|39|71|4|0,0.29,29.68,6,8000,2639,asks,592,0,7408,593,474,4.95,8,stair,,651.0,,,0,0,0,True,True,166,,30.2
ER100_d10,Z12,,rung,1,0,rung,1,spectral,8000,4.6,8,408|128|50|59|100|4,0.13,30.6,6,8000,6419,asks,749,0,7251,750,662,4.6,8,stair,,640.0,,,0,0,0,True,True,210,,30.9
ER100_d10,Z12,,rung,2,0,rung,2,spectral,8000,4.83,8,360|43|120|38|0,0.12,26.81,5,7160,5276,fixpoint,561,0,7189,562,560,4.83,8,stair,,626.0,,,0,0,0,True,True,155,,27.1
ER100_d10,Z12,,rung,3,0,rung,3,spectral,8000,4.67,8,396|224|182|47|0,0.12,28.46,5,7326,5568,fixpoint,849,0,6901,850,846,4.67,8,stair,,628.0,,,0,1,0,True,True,246,,28.8
ER100_d10,Z12,,rung,4,0,rung,4,spectral,8000,4.89,8,480|28|0,0.1,14.89,3,3981,1893,fixpoint,508,0,4142,509,504,4.89,8,stair,,647.0,,,0,0,0,True,True,131,,15.2
ER100_d10,Z12,,rung,5,0,rung,5,spectral,8000,5.03,8,392|59|234|107|13|0,0.1,29.49,6,8000,5223,asks,805,0,7250,806,780,5.03,8,stair,,663.0,,,0,0,0,True,True,244,,29.8
ER100_d10,Z12,,bag,1,0,bag,1,spectral,8000,5.04,9,557|265|215|26|17|3,0.15,32.12,6,8000,2285,asks,1083,0,6920,1084,705,5.04,9,stair,,650.0,,,0,0,0,True,True,327,,32.5
ER100_d10,Z12,,bag,2,0,bag,2,spectral,8000,4.61,7,609|241|97|19|0,0.16,26.52,5,6883,3070,fixpoint,966,0,6784,967,849,4.61,7,stair,,599.0,,,0,0,0,True,True,291,,26.9
ER100_d10,Z12,,bag,3,0,bag,3,spectral,8000,4.72,7,573|107|43|58|1|0,0.12,29.26,6,8000,5457,asks,782,0,7492,783,764,4.72,7,stair,,627.0,,,0,0,0,True,True,224,,29.6
ER100_d10,Z12,,bag,4,0,bag,4,spectral,8000,4.56,8,518|27|0,0.13,14.7,3,3713,1400,fixpoint,545,0,4105,546,496,4.56,8,stair,,622.0,,,0,0,0,True,True,161,,15.0
ER100_d10,Z12,,bag,5,0,bag,5,spectral,8000,4.91,8,485|236|20|0,0.11,19.0,4,5087,1608,fixpoint,741,0,5459,742,501,4.91,8,stair,,656.0,,,0,0,0,True,True,208,,19.3
ER100_d10,Z12,,rinit,1,1,ladder,0,random,8000,4.62,8,356|202|82|44|21|4,0.0,28.53,6,8000,4910,asks,709,0,7291,710,646,4.62,8,stair,,626.0,,,0,0,0,True,True,200,,28.7
ER100_d10,Z12,,rinit,2,2,ladder,0,random,8000,4.65,8,428|87|41|17|0,0.0,25.98,5,7232,5184,fixpoint,573,0,7177,574,568,4.65,8,stair,,626.0,,,0,0,0,True,True,153,,26.2
ER100_d10,Z12,,rinit,3,3,ladder,0,random,8000,5.12,8,420|181|27|82|9|1,0.0,29.53,6,8000,3495,asks,720,0,7280,721,609,5.12,8,stair,,649.0,,,0,0,0,True,True,189,,29.7
ER100_d10,Z12,,rinit,4,4,ladder,0,random,8000,4.94,9,431|35|21|43|17|0,0.0,27.67,6,8000,3476,asks,547,0,7453,548,478,4.94,9,stair,,660.0,,,0,0,0,True,True,156,,28.0
ER100_d10,Z12,,rinit,5,5,ladder,0,random,8000,4.65,8,407|111|47|48|5|0,0.0,30.15,6,8000,5250,asks,618,0,7382,619,606,4.65,8,stair,,607.0,,,0,0,0,True,True,191,,30.3
ER100_d10,Z12,,rinit+bag,1,1,bag,1,random,8000,4.97,9,651|29|79|102|10|0,0.0,30.36,6,8000,3890,asks,871,0,7587,872,697,4.97,9,stair,,664.0,,,0,0,0,True,True,220,,30.6
ER100_d10,Z12,,rinit+bag,2,2,bag,2,random,8000,4.74,9,585|329|304|227|131|14,0.0,34.13,6,8000,6033,asks,1590,0,6410,1591,1427,4.74,9,stair,,621.0,,,0,0,0,True,True,473,,34.5
ER100_d10,Z12,,rinit+bag,3,3,bag,3,random,8000,4.69,7,614|108|0,0.0,17.41,3,4512,1300,fixpoint,722,0,3928,723,564,4.69,7,stair,,634.0,,,0,0,0,True,True,225,,17.6
ER100_d10,Z12,,rinit+bag,4,4,bag,4,random,8000,4.92,9,603|44|4|11|0,0.0,22.19,5,6331,1399,fixpoint,662,0,7088,663,592,4.92,9,stair,,643.0,,,0,0,0,True,True,197,,22.4
ER100_d10,Z12,,rinit+bag,5,5,bag,5,random,8000,4.91,8,544|167|10|0,0.0,23.05,4,5252,2780,fixpoint,721,0,5479,722,700,4.91,8,stair,,661.0,,,0,0,0,True,True,180,,23.3
turan_n162,Z12,2647,ladder,1,0,ladder,0,spectral,15000,6.265,7,203|132,0.0,128.09,2,15000,14554,asks,335,0,14665,336,315,6.265,7,stair,,1801.0,,,0,0,0,True,True,49,,128.5
turan_n162,Z12,2647,rung,1,0,rung,1,spectral,15000,7.895,9,250|131,0.0,137.86,2,15000,14565,asks,381,0,14619,382,381,7.895,9,stair,,2243.0,,,0,0,0,True,True,45,,138.3
turan_n162,Z12,2647,rung,2,0,rung,2,spectral,15000,9.352,13,232|39,0.0,134.24,2,15000,14218,asks,271,0,14729,272,268,9.352,13,stair,,2589.0,,,0,0,0,True,True,17,,134.7
turan_n162,Z12,2647,rung,3,0,rung,3,spectral,15000,6.864,8,234|50,0.0,120.63,2,15000,14104,asks,284,0,14716,285,251,6.864,8,stair,,1931.0,,,0,0,0,True,True,56,,121.0
turan_n162,Z12,2647,rung,4,0,rung,4,spectral,15000,6.0,6,229|82,0.0,134.0,2,15000,14304,asks,311,0,14689,312,306,6.0,6,stair,,1688.0,,,0,0,0,True,True,57,,134.4
turan_n162,Z12,2647,rung,5,0,rung,5,spectral,15000,7.364,9,245|98,0.0,135.84,2,15000,14421,asks,343,0,14657,344,334,7.364,9,stair,,2105.0,,,0,0,0,True,True,33,,136.3
turan_n162,Z12,2647,bag,1,0,bag,1,spectral,15000,6.63,9,463|4,0.0,137.47,2,15000,12475,asks,467,0,14553,468,450,6.63,9,stair,,1863.0,,,0,0,0,True,True,79,,137.9
turan_n162,Z12,2647,bag,2,0,bag,2,spectral,15000,6.0,6,1104|14,0.0,137.99,2,15000,6983,asks,1118,0,13887,1119,864,6.0,6,stair,,1650.0,,,0,0,0,True,True,334,,138.4
turan_n162,Z12,2647,bag,3,0,bag,3,spectral,15000,6.0,6,887|72,0.0,140.33,2,15000,10997,asks,959,0,14043,960,852,6.0,6,stair,,1655.0,,,0,0,0,True,True,288,,140.7
turan_n162,Z12,2647,bag,4,0,bag,4,spectral,15000,6.0,6,758|93,0.0,138.92,2,15000,9118,asks,851,0,14152,852,584,6.0,6,stair,,1657.0,,,0,0,0,True,True,210,,139.3
turan_n162,Z12,2647,bag,5,0,bag,5,spectral,15000,8.691,14,523|9,0.0,136.81,2,15000,14946,asks,532,0,14477,533,532,8.691,14,stair,,2424.0,,,0,0,0,True,True,63,,137.2
turan_n162,Z12,2647,rinit,1,1,ladder,0,random,15000,6.0,6,201|92,0.0,130.91,2,15000,14305,asks,293,0,14707,294,280,6.0,6,stair,,1680.0,,,0,0,0,True,True,45,,131.4
turan_n162,Z12,2647,rinit,2,2,ladder,0,random,15000,6.0,6,203|69,0.0,133.27,2,15000,14283,asks,272,0,14728,273,263,6.0,6,stair,,1687.0,,,0,0,0,True,True,43,,133.7
turan_n162,Z12,2647,rinit,3,3,ladder,0,random,15000,7.099,9,191|96,0.0,129.72,2,15000,14742,asks,287,0,14713,288,284,7.099,9,stair,,2018.0,,,0,0,0,True,True,43,,130.1
turan_n162,Z12,2647,rinit,4,4,ladder,0,random,15000,8.358,11,233|96,0.0,135.66,2,15000,14423,asks,329,0,14671,330,323,8.358,11,stair,,2338.0,,,0,0,0,True,True,44,,136.1
turan_n162,Z12,2647,rinit,5,5,ladder,0,random,15000,7.364,9,230|93,0.0,136.97,2,15000,14518,asks,323,0,14677,324,309,7.364,9,stair,,2109.0,,,0,0,1,True,False,37,,137.4
turan_n162,Z12,2647,rinit+bag,1,1,bag,1,random,15000,9.253,13,379|0,0.0,138.87,2,15000,13311,asks,379,0,14674,380,379,9.253,13,stair,,2596.0,,,0,0,0,True,True,25,,139.3
turan_n162,Z12,2647,rinit+bag,2,2,bag,2,random,15000,8.735,13,564|0,0.0,152.28,2,15000,8976,asks,564,0,14696,565,563,8.735,13,stair,,2456.0,,,0,0,0,True,True,45,,152.7
turan_n162,Z12,2647,rinit+bag,3,3,bag,3,random,15000,6.0,6,805|46,0.0,142.77,2,15000,14910,asks,851,0,14150,852,852,6.0,6,stair,,1682.0,,,0,0,0,True,True,102,,143.2
turan_n162,Z12,2647,rinit+bag,4,4,bag,4,random,15000,6.0,6,499|92,0.0,142.16,2,15000,14807,asks,591,0,14412,592,564,6.0,6,stair,,1669.0,,,0,0,0,True,True,131,,142.6
turan_n162,Z12,2647,rinit+bag,5,5,bag,5,random,15000,6.0,6,726|69,0.0,144.94,2,15000,13111,asks,795,0,14210,796,637,6.0,6,stair,,1663.0,,,0,0,0,True,True,195,,145.3
spin_glass_n163,Z12,37309,ladder,1,0,ladder,0,spectral,12000,10.847,12,362|26,1.83,94.36,2,12000,10385,asks,388,0,11612,389,382,10.847,12,stair,,3049.0,,,0,0,0,True,True,13,,96.6
spin_glass_n163,Z12,37309,rung,1,0,rung,1,spectral,12000,10.865,12,455|11,1.78,94.33,2,12000,10620,asks,466,0,11598,467,464,10.865,12,stair,,3060.0,,,0,0,0,True,True,10,,96.4
spin_glass_n163,Z12,37309,rung,2,0,rung,2,spectral,12000,10.853,12,456|41,1.72,97.41,2,12000,11681,asks,497,0,11503,498,492,10.853,12,stair,,3049.0,,,0,0,0,True,True,16,,99.5
spin_glass_n163,Z12,37309,rung,3,0,rung,3,spectral,12000,10.89,12,477|44,1.79,107.09,2,12000,10962,asks,521,0,11479,522,520,10.89,12,stair,,3050.0,,,0,0,0,True,True,19,,109.3
spin_glass_n163,Z12,37309,rung,4,0,rung,4,spectral,12000,10.865,13,467|29,1.99,107.84,2,12000,10619,asks,496,0,11504,497,489,10.865,13,stair,,3049.0,,,0,0,0,True,True,5,,110.2
spin_glass_n163,Z12,37309,rung,5,0,rung,5,spectral,12000,10.859,12,473|0,1.9,102.12,2,12000,6860,asks,473,0,12273,474,474,10.859,12,stair,,3050.0,,,0,0,0,True,True,6,,104.6
spin_glass_n163,Z12,37309,bag,1,0,bag,1,spectral,12000,10.871,12,490|0,1.83,99.7,2,12000,4798,asks,490,0,11682,491,469,10.871,12,stair,,3053.0,,,0,0,0,True,True,11,,101.9
spin_glass_n163,Z12,37309,bag,2,0,bag,2,spectral,12000,10.877,12,461|5,1.67,111.48,2,12000,9768,asks,466,0,11537,467,464,10.877,12,stair,,3055.0,,,0,0,0,True,True,11,,113.9
