cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,seat_acc,trans_acc,passes,fmiss,traj,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.52,8,0.0,2.72,6,73,0,79,77,,,,,,23.0,True,0,0,0,True,32.1
K100,Z12,,default,1,7.52,8,0.0,2.64,6,73,0,79,77,,,,,,23.0,True,0,0,0,True,28.7
K100,Z12,,default,2,7.52,8,0.0,2.62,6,73,0,79,77,,,,,,23.0,True,0,0,0,True,24.8
K100,Z12,,seats,0,7.35,8,0.0,21.92,0,0,0,0,0,5,0,6,12,1|0|5|1|1|0,23.0,True,0,0,0,True,48.0
K100,Z12,,seats,1,7.35,8,0.0,22.21,0,0,0,0,0,5,0,6,12,1|0|5|1|1|0,23.0,True,0,0,0,True,45.1
K100,Z12,,seats,2,7.35,8,0.0,21.8,0,0,0,0,0,5,0,6,12,1|0|5|1|1|0,23.0,True,0,0,0,True,46.6
K140,Z12,,default,0,9.85,11,0.0,8.97,11,140,0,151,75,,,,,,32.0,True,0,0,0,True,60.3
K140,Z12,,default,1,9.85,11,0.0,8.77,11,140,0,151,75,,,,,,32.0,True,0,0,0,True,64.9
K140,Z12,,default,2,9.85,11,0.0,8.7,11,140,0,151,75,,,,,,32.0,True,0,0,0,True,63.8
K140,Z12,,seats,0,9.957,11,0.0,11.73,0,0,0,0,0,0,0,2,1,0|0,31.0,True,0,0,0,True,64.0
K140,Z12,,seats,1,9.957,11,0.0,12.14,0,0,0,0,0,0,0,2,1,0|0,31.0,True,0,0,0,True,66.8
K140,Z12,,seats,2,9.957,11,0.0,11.76,0,0,0,0,0,0,0,2,1,0|0,31.0,True,0,0,0,True,66.8
ER100_d10,Z12,,default,0,5.42,8,0.05,3.85,17,347,1,364,12,,,,,,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,default,1,4.6,8,0.05,3.91,17,347,1,364,12,,,,,,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,default,2,4.57,8,0.05,3.95,17,347,1,364,12,,,,,,18.0,True,0,0,1,False,60.1
ER100_d10,Z12,,seats,0,4.77,8,0.05,10.95,0,0,0,0,0,57,15,6,27,11|1|0|83|13|0,16.0,True,0,0,3,False,60.0
ER100_d10,Z12,,seats,1,4.79,8,0.05,10.63,0,0,0,0,0,57,15,6,27,11|1|0|83|13|0,16.0,True,0,0,3,False,60.0
