cell,arm,seed,final_acl,geo_E,time
K100,courses,0,10.77,1686.0,41.9
K100,courses,1,10.56,1686.0,20.0
K100,courses,2,10.39,1686.0,45.0
K100,shake1,0,10.58,1383.0,23.1
K100,shake1,1,9.92,1383.0,18.9
K100,shake1,2,9.55,1383.0,24.6
K100,shake,0,10.58,1383.0,23.7
K100,shake,1,9.92,1383.0,19.3
K100,shake,2,9.55,1383.0,25.0
K100,pool,0,10.18,1592.0,17.9
K100,pool,1,10.29,1592.0,18.4
K100,pool,2,10.63,1592.0,33.5
K100,shake_pool,0,9.64,1280.0,16.2
K100,shake_pool,1,9.43,1280.0,56.0
K100,shake_pool,2,9.94,1280.0,43.9
K140,courses,0,13.314,3423.0,34.5
K140,courses,1,14.186,3423.0,61.5
K140,courses,2,14.25,3423.0,60.9
K140,shake1,0,13.764,2788.0,31.8
K140,shake1,1,14.743,2788.0,61.8
K140,shake1,2,14.014,2788.0,62.3
K140,shake,0,15.257,2660.0,60.9
K140,shake,1,14.814,2660.0,62.1
K140,shake,2,14.293,2660.0,60.5
K140,pool,0,14.071,3729.0,60.6
K140,pool,1,13.486,3729.0,61.2
K140,pool,2,13.3,3729.0,40.3
K140,shake_pool,0,12.871,2473.0,60.3
K140,shake_pool,1,12.121,2473.0,28.4
K140,shake_pool,2,11.493,2473.0,36.3
ER100_d10,courses,0,5.64,286.5,3.0
ER100_d10,courses,1,4.63,286.5,5.3
ER100_d10,courses,2,5.01,286.5,3.2
ER100_d10,shake1,0,4.62,66.3,4.4
ER100_d10,shake1,1,4.71,66.3,5.2
ER100_d10,shake1,2,4.76,66.3,3.3
ER100_d10,shake,0,4.66,40.9,3.5
ER100_d10,shake,1,4.96,40.9,3.6
ER100_d10,shake,2,4.82,40.9,3.5
ER100_d10,pool,0,4.56,262.0,5.9
ER100_d10,pool,1,4.64,262.0,3.5
ER100_d10,pool,2,4.78,262.0,4.2
ER100_d10,shake_pool,0,4.66,40.9,3.5
ER100_d10,shake_pool,1,4.96,40.9,3.7
ER100_d10,shake_pool,2,4.82,40.9,3.5
turan_n162,courses,0,10.778,3088.0,26.9
turan_n162,courses,1,9.253,3088.0,24.8
turan_n162,courses,2,10.031,3088.0,19.7
turan_n162,shake1,0,8.481,2674.0,61.0
turan_n162,shake1,1,7.907,2674.0,59.6
turan_n162,shake1,2,6.704,2674.0,60.9
turan_n162,shake,0,8.481,2674.0,60.6
turan_n162,shake,1,7.907,2674.0,60.7
turan_n162,shake,2,6.704,2674.0,61.7
turan_n162,pool,0,9.006,3703.0,50.0
turan_n162,pool,1,8.735,3703.0,58.0
turan_n162,pool,2,9.827,3703.0,26.0
turan_n162,shake_pool,0,8.741,3119.0,52.1
turan_n162,shake_pool,1,11.265,3119.0,25.7
turan_n162,shake_pool,2,8.352,3119.0,48.7
spin_glass_n163,courses,0,13.92,3491.0,59.8
spin_glass_n163,courses,1,14.037,3491.0,33.0
spin_glass_n163,courses,2,14.08,3491.0,42.0
spin_glass_n163,shake1,0,13.558,3495.0,54.5
spin_glass_n163,shake1,1,15.196,3495.0,43.5
spin_glass_n163,shake1,2,13.89,3495.0,60.5
spin_glass_n163,shake,0,13.558,3495.0,55.9
spin_glass_n163,shake,1,15.196,3495.0,44.2
spin_glass_n163,shake,2,13.89,3495.0,60.1
spin_glass_n163,pool,0,13.779,3100.0,52.4
spin_glass_n163,pool,1,14.791,3100.0,38.4
spin_glass_n163,pool,2,14.84,3100.0,44.2
spin_glass_n163,shake_pool,0,13.479,3107.0,49.0
spin_glass_n163,shake_pool,1,14.037,3107.0,52.1
spin_glass_n163,shake_pool,2,14.282,3107.0,58.8
