cell,arm,seed,final_acl,skips,deficit,ext,time
K100,dshake,0,10.58,,,,23.4
K100,dshake,1,9.92,,,,19.3
K100,dshake,2,9.55,,,,25.2
K100,exact_ds,0,8.75,1,0,100,31.4
K100,exact_ds,1,8.73,1,0,100,36.5
K100,exact_ds,2,8.71,1,0,100,38.7
K100,snap,0,8.75,1,0,0,33.4
K100,snap,1,8.75,1,0,0,32.2
K100,snap,2,8.73,1,0,0,38.8
K140,dshake,0,13.764,,,,33.0
K140,dshake,1,14.743,,,,62.8
K140,dshake,2,14.014,,,,63.2
K140,exact_ds,0,11.4,1,0,123,60.9
K140,exact_ds,1,11.436,1,0,123,64.1
K140,exact_ds,2,11.379,1,0,123,64.9
K140,snap,0,11.443,1,0,0,66.2
K140,snap,1,11.407,1,0,0,65.7
K140,snap,2,11.379,1,0,0,63.3
ER100_d10,dshake,0,4.62,,,,4.4
ER100_d10,dshake,1,4.71,,,,5.3
ER100_d10,dshake,2,4.76,,,,3.4
ER100_d10,exact_ds,0,4.51,0,363,16,5.4
ER100_d10,exact_ds,1,4.58,0,363,16,4.6
ER100_d10,exact_ds,2,5.19,0,363,16,3.3
ER100_d10,snap,0,4.97,0,367,18,2.7
ER100_d10,snap,1,4.48,0,367,18,6.2
ER100_d10,snap,2,4.83,0,367,18,3.4
turan_n162,dshake,0,7.5,,,,61.1
turan_n162,dshake,1,6.5,,,,37.1
turan_n162,dshake,2,7.562,,,,26.5
turan_n162,exact_ds,0,8.006,1,0,77,28.9
turan_n162,exact_ds,1,8.012,1,0,77,29.8
turan_n162,exact_ds,2,8.117,1,0,77,47.7
turan_n162,snap,0,8.006,1,0,0,29.3
turan_n162,snap,1,8.012,1,0,0,29.2
turan_n162,snap,2,8.117,1,0,0,46.6
spin_glass_n163,dshake,0,13.65,,,,36.0
spin_glass_n163,dshake,1,14.411,,,,54.9
spin_glass_n163,dshake,2,14.239,,,,27.2
spin_glass_n163,exact_ds,0,12.613,0,4,193,19.0
spin_glass_n163,exact_ds,1,13.092,0,4,193,13.8
spin_glass_n163,exact_ds,2,12.595,0,4,193,17.3
spin_glass_n163,snap,0,12.577,0,4,42,16.9
spin_glass_n163,snap,1,12.84,0,4,42,25.5
spin_glass_n163,snap,2,12.558,0,4,42,18.1
