cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,int_acc,int_dec,int_noop,readouts,bm_wall,bm_ro,hier_acc,pair_acc,legal_acl,legal_mx,judge,judge_pen,proj_skipped,fold_strips,fold_Hs,adopt_worse,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,plane,0,7.26,8,0.01,29.69,1,138,138,0,10215,139,1.36,98,0,4,7.26,8,stair,,False,0,0,0,0,1153.0,21.0,True,0,0,0,True,60.4
K100,Z12,,plane,1,7.26,8,0.0,29.82,2,138|0,138,0,10296,139,1.42,98,0,4,7.26,8,stair,,False,0,0,0,0,1153.0,21.0,True,0,0,0,True,60.5
K100,Z12,,plane,2,7.26,8,0.0,29.86,1,138,138,0,9999,139,1.69,98,0,4,7.26,8,stair,,False,0,0,0,0,1153.0,21.0,True,0,0,0,True,63.2
K100,Z12,,single,0,7.26,8,0.0,29.48,1,138,138,0,10197,139,1.4,98,0,4,7.26,8,stair,,False,0,0,0,0,1153.0,21.0,True,0,0,0,True,64.1
K100,Z12,,single,1,7.26,8,0.0,29.86,1,138,138,0,10025,139,1.58,98,0,4,7.26,8,stair,,False,0,0,0,0,1153.0,21.0,True,0,0,0,True,59.8
K100,Z12,,single,2,7.26,8,0.0,29.81,2,138|0,138,0,10350,139,1.35,98,0,4,7.26,8,stair,,False,0,0,0,0,1153.0,21.0,True,0,0,0,True,60.8
K100,Z12,,wrap,0,7.26,8,0.0,29.73,1,138,138,0,9639,139,2.15,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,0,0,0,True,61.9
K100,Z12,,wrap,1,7.26,8,0.0,29.78,1,138,138,0,9759,139,2.1,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,0,0,0,True,60.2
K100,Z12,,wrap,2,7.26,8,0.0,29.73,1,138,138,0,9607,139,2.3,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,0,0,0,True,63.3
K100,Z12,,wrap+single,0,7.26,8,0.0,29.76,1,138,138,0,9715,139,1.98,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,0,0,0,True,63.4
K100,Z12,,wrap+single,1,7.26,8,0.0,29.49,1,138,138,0,9735,139,1.8,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,0,0,0,True,61.7
K100,Z12,,wrap+single,2,7.26,8,0.0,29.49,1,138,138,0,9685,139,1.91,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,0,0,0,True,61.0
K100,Z12,,plane-nt,0,7.26,8,0.0,29.69,1,138,138,0,10025,139,1.38,98,0,4,7.26,8,stair,,False,0,0,0,0,1153.0,21.0,True,,0,0,True,30.1
K100,Z12,,plane-nt,1,7.26,8,0.0,29.74,1,138,138,0,10228,139,1.45,98,0,4,7.26,8,stair,,False,0,0,0,0,1153.0,21.0,True,,0,0,True,30.1
K100,Z12,,plane-nt,2,7.26,8,0.0,29.78,1,138,138,0,10008,139,1.54,98,0,4,7.26,8,stair,,False,0,0,0,0,1153.0,21.0,True,,0,0,True,30.1
K100,Z12,,wrap-nt,0,7.26,8,0.0,29.57,1,138,138,0,9583,139,2.04,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,,0,0,True,30.1
K100,Z12,,wrap-nt,1,7.26,8,0.0,29.62,1,138,138,0,9641,139,2.11,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,,0,0,True,30.1
K100,Z12,,wrap-nt,2,7.26,8,0.0,29.65,1,138,138,0,9657,139,2.06,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,,0,0,True,30.1
K100,Z12,,wrap+single-nt,0,7.26,8,0.0,29.66,1,138,138,0,9803,139,1.98,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,,0,0,True,30.1
K100,Z12,,wrap+single-nt,1,7.26,8,0.0,29.68,1,138,138,0,9801,139,1.96,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,,0,0,True,30.1
K100,Z12,,wrap+single-nt,2,7.26,8,0.0,29.73,1,138,138,0,9706,139,2.14,98,0,4,7.26,8,brick,0,True,1,25,3,0,783.0,21.0,True,,0,0,True,30.1
K140,Z12,,plane,0,9.757,10,0.0,29.79,1,188,188,0,6074,189,3.14,159,0,3,9.757,10,stair,,False,0,0,0,0,2312.0,31.0,True,0,0,0,True,63.2
K140,Z12,,plane,1,9.757,10,0.0,29.81,1,188,188,0,6219,189,3.15,159,0,3,9.757,10,stair,,False,0,0,0,0,2312.0,31.0,True,0,0,0,True,62.5
K140,Z12,,plane,2,9.757,10,0.0,29.81,1,188,188,0,6287,189,3.16,159,0,3,9.757,10,stair,,False,0,0,0,0,2312.0,31.0,True,0,0,0,True,63.2
K140,Z12,,single,0,9.757,10,0.0,29.95,1,190,190,0,6017,191,2.72,159,0,3,9.757,10,stair,,False,0,0,0,0,2312.0,31.0,True,0,0,0,True,68.2
K140,Z12,,single,1,9.757,10,0.0,29.95,1,190,190,0,6034,191,3.15,159,0,3,9.757,10,stair,,False,0,0,0,0,2312.0,31.0,True,0,0,0,True,60.9
