cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,int_acc,int_dec,int_noop,readouts,bm_wall,bm_ro,hier_acc,pair_acc,legal_acl,legal_mx,judge,judge_pen,proj_skipped,fold_strips,fold_Hs,adopt_worse,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ER100_d10,Z12,,plane,0,4.56,8,0.36,19.05,6,375|103|39|71|4|0,592,0,8708,593,9.96,474,0,202,4.95,8,stair,,False,0,0,166,0,651.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,single,0,4.85,8,0.06,29.65,8,275|75|73|23|23|23|23|23,538,0,11419,539,12.24,363,0,177,4.85,8,stair,,False,0,0,131,0,642.0,16.0,True,0,0,0,True,60.0
ER100_d10,Z12,,wrap,0,4.38,8,0.06,24.63,6,375|103|39|71|4|0,592,0,8708,593,6.47,339,0,202,4.95,8,brick,0,True,1,25,182,0,540.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,wrap+single,0,4.56,8,0.06,29.6,9,275|75|73|23|23|23|23|23|23,561,0,12722,562,7.45,311,0,191,4.9,8,brick,0,True,1,25,161,0,539.0,16.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane-nt,0,4.95,8,0.12,20.55,6,375|103|39|71|4|0,592,0,8708,593,11.34,474,0,202,4.95,8,stair,,False,0,0,166,0,651.0,17.0,True,,0,0,True,21.2
ER100_d10,Z12,,wrap-nt,0,4.95,8,0.14,29.5,5,375|103|39|71|4,592,0,7137,593,9.57,339,0,202,4.95,8,brick,0,True,1,25,182,0,540.0,17.0,True,,0,0,True,30.0
ER100_d10,Z12,,wrap+single-nt,0,4.9,8,0.14,29.39,9,275|75|73|23|23|23|23|23|9,547,0,12215,548,10.19,311,0,177,4.9,8,brick,0,True,1,25,155,0,539.0,16.0,True,,0,0,True,30.0
turan_n162,Z12,2647,plane,0,9.253,12,0.0,29.52,1,203,203,0,5002,204,6.43,204,0,0,9.253,12,stair,,False,0,0,14,0,2598.0,28.0,True,0,0,0,True,60.5
turan_n162,Z12,2647,single,0,8.815,12,0.0,28.82,1,205,205,0,4460,206,9.93,206,0,1,8.815,12,stair,,False,0,0,8,0,2469.0,29.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,wrap,0,9.253,12,0.0,29.49,1,203,203,0,4708,204,12.08,204,0,0,9.253,12,brick,0,True,1,25,24,0,1594.0,28.0,True,0,0,0,True,61.7
turan_n162,Z12,2647,wrap+single,0,8.815,12,0.0,29.54,1,205,205,0,3153,206,15.37,206,0,1,8.815,12,brick,0,True,1,25,26,0,1536.0,29.0,True,0,0,0,True,61.3
turan_n162,Z12,2647,plane-nt,0,9.253,12,0.0,29.51,1,203,203,0,5834,204,6.08,204,0,0,9.253,12,stair,,False,0,0,14,0,2598.0,28.0,True,,0,0,True,30.2
turan_n162,Z12,2647,wrap-nt,0,9.253,12,0.02,29.59,1,203,203,0,4322,204,12.38,204,0,0,9.253,12,brick,0,True,1,25,24,0,1594.0,28.0,True,,0,0,True,30.3
turan_n162,Z12,2647,wrap+single-nt,0,8.815,12,0.0,29.35,1,205,205,0,5010,206,11.92,206,0,1,8.815,12,brick,0,True,1,25,26,0,1536.0,29.0,True,,0,0,True,30.2
ws_n486,Z12,17188,plane,0,2.57,9,5.97,22.53,1,1105,1105,0,782,1106,21.75,1091,0,0,3.774,21,stair,,False,0,0,419,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,single,0,2.609,8,5.73,23.74,1,1145,1145,0,1290,1146,14.14,827,0,0,3.743,21,stair,,False,0,0,189,283,2521.0,27.0,False,0,55,62,False,60.0
ws_n486,Z12,17188,wrap,0,2.784,9,7.17,21.62,1,305,305,0,40,306,10.68,144,0,0,3.802,20,brick,213,True,1,25,136,213,2371.0,23.0,False,0,24,26,False,60.0
ws_n486,Z12,17188,wrap+single,0,2.671,9,7.81,21.5,1,309,309,0,46,310,11.69,165,0,0,3.757,16,brick,245,True,1,25,143,245,2280.0,22.0,False,0,14,29,False,60.0
ws_n486,Z12,17188,plane-nt,0,3.774,21,6.57,22.39,1,1107,1107,0,786,1108,21.38,1091,0,0,3.774,21,stair,,False,0,0,419,248,2371.0,27.0,False,,42,50,False,31.0
ws_n486,Z12,17188,wrap-nt,0,3.802,20,6.96,22.53,1,238,238,0,21,239,11.81,144,0,0,3.802,20,brick,213,True,1,25,106,213,2371.0,23.0,False,,24,26,False,31.2
ws_n486,Z12,17188,wrap+single-nt,0,3.757,16,7.96,21.64,1,221,221,0,21,222,15.31,165,0,0,3.757,16,brick,245,True,1,25,105,245,2280.0,22.0,False,,14,29,False,31.4
