cell,arm,seed,final_acl,rounds,time,diag
K100,point,0,14.2,4,60.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 229.4022}"
K100,span,0,15.0,5,60.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 11.1542, 'extent_mean': 18.0, 'extent_max': 18.0, 'assigned': 100}"
K100,span-tb,0,14.98,10,61.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 2.3637, 'extent_mean': 15.931, 'extent_max': 15.931, 'assigned': 100}"
K100,cross,0,14.46,5,61.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 25.1578, 'extent_mean': 10.394, 'extent_max': 13.05, 'assigned': 100}"
K100,mm-full,0,12.75,,60.5,
K100,point,1,14.71,5,60.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 182.4359}"
K100,span,1,14.08,5,60.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 23.3238, 'extent_mean': 18.0, 'extent_max': 18.0, 'assigned': 100}"
K100,span-tb,1,15.58,10,60.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 2.3637, 'extent_mean': 15.742, 'extent_max': 15.742, 'assigned': 100}"
K100,cross,1,15.76,5,60.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.5252, 'extent_mean': 12.736, 'extent_max': 16.296, 'assigned': 100}"
K100,mm-full,1,13.96,,60.8,
K100,point,2,13.98,4,61.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 163.0728}"
K100,span,2,14.34,5,60.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.5144, 'extent_mean': 18.0, 'extent_max': 18.0, 'assigned': 100}"
K100,span-tb,2,14.77,10,60.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 2.6133, 'extent_mean': 16.264, 'extent_max': 16.264, 'assigned': 100}"
K100,cross,2,14.18,5,60.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 11.9502, 'extent_mean': 12.095, 'extent_max': 16.814, 'assigned': 100}"
K100,mm-full,2,13.61,,60.7,
K140,point,0,,2,69.5,
K140,span,0,,2,70.8,
K140,span-tb,0,22.507,3,53.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 12.0578, 'extent_mean': 27.315, 'extent_max': 27.315, 'assigned': 140}"
K140,cross,0,,2,70.4,
K140,mm-full,0,20.243,,60.1,
K140,point,1,,2,70.8,
K140,span,1,,2,72.8,
K140,span-tb,1,22.264,3,61.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 14.2495, 'extent_mean': 27.414, 'extent_max': 27.414, 'assigned': 140}"
K140,cross,1,,2,71.0,
K140,mm-full,1,21.264,,60.4,
K140,point,2,,2,70.0,
K140,span,2,,2,70.8,
K140,span-tb,2,20.736,3,61.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 12.9542, 'extent_mean': 27.333, 'extent_max': 27.333, 'assigned': 140}"
K140,cross,2,,2,70.4,
K140,mm-full,2,20.579,,60.8,
biK48_96,point,0,7.542,4,60.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 252.341}"
biK48_96,span,0,8.347,3,62.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 16.7076, 'extent_mean': 18.158, 'extent_max': 24.919, 'assigned': 144}"
biK48_96,span-tb,0,7.361,5,63.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 26.3014, 'extent_mean': 14.595, 'extent_max': 18.904, 'assigned': 144}"
biK48_96,cross,0,9.333,3,60.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 12.1875, 'extent_mean': 9.966, 'extent_max': 17.913, 'assigned': 144}"
biK48_96,mm-full,0,6.806,,23.5,
biK48_96,point,1,9.396,4,62.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 152.1038}"
biK48_96,span,1,10.667,4,63.5,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 27.3901, 'extent_mean': 21.201, 'extent_max': 24.0, 'assigned': 144}"
biK48_96,span-tb,1,8.333,5,63.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 25.6401, 'extent_mean': 23.414, 'extent_max': 26.714, 'assigned': 144}"
biK48_96,cross,1,10.09,3,60.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 12.7838, 'extent_mean': 10.552, 'extent_max': 16.674, 'assigned': 144}"
biK48_96,mm-full,1,6.806,,14.1,
biK48_96,point,2,7.667,4,62.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 229.0212}"
biK48_96,span,2,9.0,5,60.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 51.2012, 'extent_mean': 21.347, 'extent_max': 24.0, 'assigned': 144}"
biK48_96,span-tb,2,8.333,5,61.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 17.6145, 'extent_mean': 24.214, 'extent_max': 26.974, 'assigned': 144}"
biK48_96,cross,2,8.174,4,61.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 7.4664, 'extent_mean': 10.972, 'extent_max': 19.699, 'assigned': 144}"
biK48_96,mm-full,2,6.431,,14.2,
ER100_d10,point,0,5.45,10,12.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 43.1585}"
ER100_d10,span,0,5.73,10,8.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 10.7193, 'extent_mean': 7.99, 'extent_max': 10.657, 'assigned': 16}"
ER100_d10,span-tb,0,6.47,10,10.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 15.3759, 'extent_mean': 7.294, 'extent_max': 9.899, 'assigned': 16}"
ER100_d10,cross,0,5.71,10,8.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 5.9283, 'extent_mean': 4.727, 'extent_max': 8.683, 'assigned': 92}"
ER100_d10,mm-full,0,5.66,,5.5,
ER100_d10,point,1,5.51,10,10.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 43.3361}"
ER100_d10,span,1,5.57,10,9.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.0229, 'extent_mean': 8.112, 'extent_max': 11.363, 'assigned': 16}"
ER100_d10,span-tb,1,5.92,10,11.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.1954, 'extent_mean': 7.588, 'extent_max': 10.495, 'assigned': 16}"
ER100_d10,cross,1,5.63,10,8.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 6.0808, 'extent_mean': 4.655, 'extent_max': 9.759, 'assigned': 91}"
ER100_d10,mm-full,1,5.51,,4.6,
ER100_d10,point,2,6.0,10,7.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 48.6542}"
ER100_d10,span,2,5.67,10,8.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.1104, 'extent_mean': 8.086, 'extent_max': 11.543, 'assigned': 16}"
ER100_d10,span-tb,2,5.88,10,11.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 12.2185, 'extent_mean': 7.591, 'extent_max': 11.656, 'assigned': 16}"
ER100_d10,cross,2,5.5,10,10.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 7.1534, 'extent_mean': 4.766, 'extent_max': 9.721, 'assigned': 90}"
ER100_d10,mm-full,2,5.84,,3.8,
regular_n316,point,0,3.652,10,10.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.5011}"
regular_n316,span,0,3.715,10,9.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 18.5971, 'extent_mean': 6.238, 'extent_max': 15.767, 'assigned': 0}"
regular_n316,span-tb,0,3.418,10,18.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 15.1081, 'extent_mean': 7.715, 'extent_max': 18.809, 'assigned': 0}"
regular_n316,cross,0,3.598,10,8.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.4423, 'extent_mean': 4.044, 'extent_max': 10.246, 'assigned': 247}"
regular_n316,mm-full,0,3.953,,3.0,
