cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,time
K100,Z12,,default,0,7.84,9,0.0,0.86,0,0,0,0,0,0,23.0,True,0,24.2
K100,Z12,,default,1,7.84,9,0.0,0.85,0,0,0,0,0,0,23.0,True,0,25.6
K100,Z12,,default,2,7.84,9,0.0,0.87,0,0,0,0,0,0,23.0,True,0,24.3
K100,Z12,,orient,0,7.84,9,0.0,0.87,0,0,0,0,0,0,23.0,True,0,23.6
K100,Z12,,orient,1,7.84,9,0.0,0.88,0,0,0,0,0,0,23.0,True,0,23.7
K100,Z12,,orient,2,7.84,9,0.0,0.86,0,0,0,0,0,0,23.0,True,0,26.4
K100,Z12,,fold,0,7.8,9,0.0,1.79,0,0,0,4,2,2,23.0,True,0,25.8
K100,Z12,,fold,1,7.8,9,0.0,1.82,0,0,0,4,2,2,23.0,True,0,29.3
K100,Z12,,fold,2,7.8,9,0.0,1.81,0,0,0,4,2,2,23.0,True,0,24.2
K100,Z12,,strain,0,7.8,9,0.0,1.74,0,0,0,4,2,2,23.0,True,0,26.3
K100,Z12,,strain,1,7.8,9,0.0,1.71,0,0,0,4,2,2,23.0,True,0,28.3
K100,Z12,,strain,2,7.8,9,0.0,1.71,0,0,0,4,2,2,23.0,True,0,25.6
K140,Z12,,default,0,10.229,11,0.0,2.33,0,0,0,0,0,0,31.0,True,0,62.1
K140,Z12,,default,1,10.229,11,0.0,2.36,0,0,0,0,0,0,31.0,True,0,65.4
K140,Z12,,default,2,10.229,11,0.0,2.33,0,0,0,0,0,0,31.0,True,0,67.2
K140,Z12,,orient,0,10.229,11,0.0,2.35,0,0,0,0,0,0,31.0,True,0,68.0
K140,Z12,,orient,1,10.229,11,0.0,2.36,0,0,0,0,0,0,31.0,True,0,66.4
K140,Z12,,orient,2,10.229,11,0.0,2.38,0,0,0,0,0,0,31.0,True,0,62.2
K140,Z12,,fold,0,10.229,11,0.0,6.02,0,0,0,3,0,3,31.0,True,0,64.4
K140,Z12,,fold,1,10.229,11,0.0,5.98,0,0,0,3,0,3,31.0,True,0,60.9
K140,Z12,,fold,2,10.229,11,0.0,6.01,0,0,0,3,0,3,31.0,True,0,64.3
K140,Z12,,strain,0,10.229,11,0.0,5.79,0,0,0,3,0,3,31.0,True,0,67.4
K140,Z12,,strain,1,10.229,11,0.0,5.83,0,0,0,3,0,3,31.0,True,0,63.6
K140,Z12,,strain,2,10.229,11,0.0,5.77,0,0,0,3,0,3,31.0,True,0,64.1
ER100_d10,Z12,,default,0,4.66,8,0.05,0.88,3,40,0,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,default,1,5.06,9,0.05,0.87,3,40,0,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,default,2,4.75,8,0.05,0.87,3,40,0,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,orient,0,4.66,8,0.05,0.89,3,41,1,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,orient,1,5.06,9,0.05,0.89,3,41,1,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,orient,2,4.75,8,0.05,0.9,3,41,1,0,0,0,17.0,False,0,60.0
ER100_d10,Z12,,fold,0,4.66,8,0.05,0.93,3,41,1,3,0,3,17.0,False,0,60.0
