cell,fabric,gid,arm,seed,final_acl,max_chain,mm_skipped,ball_acc,ball_wall,time
K100,Z12,,mm,0,7.84,9,True,,,28.5
K100,Z12,,mm,1,7.84,9,True,,,27.9
K100,Z12,,mm,2,7.84,9,True,,,31.6
K100,Z12,,ball+mm,0,7.78,9,True,3,59.4,60.6
K100,Z12,,ball+mm,1,7.78,9,True,3,59.0,60.3
K100,Z12,,ball+mm,2,7.78,9,True,3,59.5,60.7
K100,Z12,,ball,0,7.78,9,True,3,59.3,60.6
K100,Z12,,ball,1,7.78,9,True,3,59.0,60.2
K100,Z12,,ball,2,7.78,9,True,3,59.0,60.3
K140,Z12,,mm,0,10.229,11,True,,,64.4
K140,Z12,,mm,1,10.229,11,True,,,61.4
K140,Z12,,mm,2,10.229,11,True,,,63.5
K140,Z12,,ball+mm,0,10.229,11,True,0,56.8,60.2
K140,Z12,,ball+mm,1,10.229,11,True,0,57.4,60.8
K140,Z12,,ball+mm,2,10.229,11,True,0,57.0,60.3
K140,Z12,,ball,0,10.229,11,True,0,57.0,60.2
K140,Z12,,ball,1,10.229,11,True,0,57.4,60.6
K140,Z12,,ball,2,10.229,11,True,0,56.9,60.1
ER100_d10,Z12,,mm,0,4.66,8,False,,,4.5
ER100_d10,Z12,,mm,1,5.06,9,False,,,2.9
ER100_d10,Z12,,mm,2,4.75,8,False,,,4.6
ER100_d10,Z12,,ball+mm,0,4.47,8,False,28,26.1,31.5
ER100_d10,Z12,,ball+mm,1,4.38,8,False,30,26.6,31.8
ER100_d10,Z12,,ball+mm,2,4.63,8,False,28,24.6,27.5
ER100_d10,Z12,,ball,0,5.26,10,False,47,58.8,60.0
ER100_d10,Z12,,ball,1,5.48,11,False,38,58.8,60.1
ER100_d10,Z12,,ball,2,5.27,10,False,46,58.8,60.0
turan_n162,Z12,2647,mm,0,6.0,6,True,,,35.8
turan_n162,Z12,2647,mm,1,6.0,6,True,,,39.7
turan_n162,Z12,2647,mm,2,6.0,6,True,,,35.2
turan_n162,Z12,2647,mm,3,6.0,6,True,,,36.8
turan_n162,Z12,2647,mm,4,6.0,6,True,,,35.9
turan_n162,Z12,2647,mm,5,6.0,6,True,,,40.2
turan_n162,Z12,2647,mm,6,6.0,6,True,,,36.5
turan_n162,Z12,2647,mm,7,6.0,6,True,,,44.3
turan_n162,Z12,2647,mm,8,6.228,7,True,,,38.5
turan_n162,Z12,2647,mm,9,6.0,6,True,,,36.5
turan_n162,Z12,2647,ball+mm,0,6.0,6,True,0,51.3,60.5
turan_n162,Z12,2647,ball+mm,1,7.531,10,True,8,46.1,60.3
turan_n162,Z12,2647,ball+mm,2,6.0,6,True,0,51.4,60.5
turan_n162,Z12,2647,ball+mm,3,6.0,6,True,0,51.4,60.4
turan_n162,Z12,2647,ball+mm,4,6.0,6,True,0,51.1,60.1
turan_n162,Z12,2647,ball+mm,5,7.531,10,True,8,51.3,60.1
turan_n162,Z12,2647,ball+mm,6,6.0,6,True,0,51.3,60.4
turan_n162,Z12,2647,ball+mm,7,7.531,10,True,8,51.6,60.6
turan_n162,Z12,2647,ball+mm,8,7.531,10,True,8,51.4,60.2
turan_n162,Z12,2647,ball+mm,9,6.0,6,True,0,52.7,61.8
turan_n162,Z12,2647,ball,0,6.0,6,True,0,51.6,60.8
turan_n162,Z12,2647,ball,1,7.531,10,True,8,53.7,62.6
