cell,fabric,gid,arm,seed,final_acl,max_chain,mm_skipped,ball_acc,ball_wall,time
K100,Z12,,mm,0,7.84,9,True,,,31.0
K100,Z12,,mm,1,7.84,9,True,,,25.8
K100,Z12,,mm,2,7.84,9,True,,,30.8
K100,Z12,,mm+ball,0,7.79,9,True,2,33.6,60.2
K100,Z12,,mm+ball,1,7.79,9,True,2,31.3,60.4
K100,Z12,,mm+ball,2,7.79,9,True,2,31.2,60.2
K140,Z12,,mm,0,10.229,11,True,,,65.6
K140,Z12,,mm,1,10.229,11,True,,,68.6
K140,Z12,,mm,2,10.229,11,True,,,67.6
K140,Z12,,mm+ball,0,10.229,11,True,0,0.3,64.8
K140,Z12,,mm+ball,1,10.229,11,True,0,0.4,65.6
K140,Z12,,mm+ball,2,10.229,11,True,0,0.5,67.2
ER100_d10,Z12,,mm,0,4.66,8,False,,,4.5
ER100_d10,Z12,,mm,1,5.06,9,False,,,2.7
ER100_d10,Z12,,mm,2,4.75,8,False,,,4.2
ER100_d10,Z12,,mm+ball,0,4.4,8,False,15,55.7,60.0
ER100_d10,Z12,,mm+ball,1,4.91,9,False,9,54.4,57.2
ER100_d10,Z12,,mm+ball,2,4.66,8,False,6,55.7,60.0
turan_n162,Z12,2647,mm,0,6.0,6,True,,,37.1
turan_n162,Z12,2647,mm,1,6.0,6,True,,,52.7
turan_n162,Z12,2647,mm,2,6.0,6,True,,,45.2
turan_n162,Z12,2647,mm,3,6.0,6,True,,,44.5
turan_n162,Z12,2647,mm,4,6.0,6,True,,,36.6
turan_n162,Z12,2647,mm,5,6.0,6,True,,,43.1
turan_n162,Z12,2647,mm,6,6.0,6,True,,,47.7
turan_n162,Z12,2647,mm,7,6.0,6,True,,,44.6
turan_n162,Z12,2647,mm,8,6.228,7,True,,,38.5
turan_n162,Z12,2647,mm,9,6.0,6,True,,,40.1
turan_n162,Z12,2647,mm+ball,0,6.0,6,True,0,13.9,60.1
turan_n162,Z12,2647,mm+ball,1,6.0,6,True,0,2.2,60.4
turan_n162,Z12,2647,mm+ball,2,6.0,6,True,0,16.5,60.5
turan_n162,Z12,2647,mm+ball,3,6.0,6,True,0,14.1,60.5
turan_n162,Z12,2647,mm+ball,4,6.0,6,True,0,13.9,60.7
turan_n162,Z12,2647,mm+ball,5,6.0,6,True,0,5.4,60.8
turan_n162,Z12,2647,mm+ball,6,6.0,6,True,0,11.8,60.6
turan_n162,Z12,2647,mm+ball,7,6.0,6,True,0,0.3,60.5
turan_n162,Z12,2647,mm+ball,8,6.228,7,True,0,12.6,60.6
turan_n162,Z12,2647,mm+ball,9,6.0,6,True,0,13.1,60.4
spin_glass_n163,Z12,37309,mm,0,11.417,13,True,,,42.8
spin_glass_n163,Z12,37309,mm,1,11.417,13,True,,,42.1
spin_glass_n163,Z12,37309,mm,2,11.417,13,True,,,37.6
spin_glass_n163,Z12,37309,mm+ball,0,11.374,13,True,5,19.8,60.3
spin_glass_n163,Z12,37309,mm+ball,1,11.374,13,True,5,17.4,60.1
spin_glass_n163,Z12,37309,mm+ball,2,11.368,13,True,6,20.3,60.1
regular_n316,Z12,13096,mm,0,2.927,8,False,,,16.7
regular_n316,Z12,13096,mm,1,2.769,6,False,,,20.6
regular_n316,Z12,13096,mm,2,2.864,7,False,,,18.2
regular_n316,Z12,13096,mm+ball,0,2.848,8,False,22,43.0,60.0
regular_n316,Z12,13096,mm+ball,1,2.734,6,False,11,40.8,60.0
regular_n316,Z12,13096,mm+ball,2,2.785,7,False,21,45.2,60.0
ws_n486,Z12,17188,mm,0,3.342,11,False,,,32.7
ws_n486,Z12,17188,mm,1,3.381,12,False,,,32.2
ws_n486,Z12,17188,mm,2,2.893,10,False,,,34.2
ws_n486,Z12,17188,mm+ball,0,2.776,9,False,28,27.1,60.0
ws_n486,Z12,17188,mm+ball,1,2.969,10,False,41,27.3,60.0
ws_n486,Z12,17188,mm+ball,2,2.809,9,False,28,26.6,60.0
grid_200,Z12,1590,mm,0,1.09,2,False,,,6.8
grid_200,Z12,1590,mm,1,1.145,2,False,,,7.4
grid_200,Z12,1590,mm,2,1.13,2,False,,,8.3
grid_200,Z12,1590,mm+ball,0,1.09,2,False,0,12.5,19.7
grid_200,Z12,1590,mm+ball,1,1.145,2,False,0,13.0,21.2
grid_200,Z12,1590,mm+ball,2,1.125,2,False,1,23.7,32.5
honeycomb_200,Z12,32393,mm,0,1.085,2,False,,,6.0
honeycomb_200,Z12,32393,mm,1,1.09,2,False,,,4.8
honeycomb_200,Z12,32393,mm,2,1.095,2,False,,,5.7
honeycomb_200,Z12,32393,mm+ball,0,1.085,2,False,0,9.0,13.7
honeycomb_200,Z12,32393,mm+ball,1,1.09,2,False,0,7.9,14.3
honeycomb_200,Z12,32393,mm+ball,2,1.095,2,False,0,10.8,16.8
king_graph_196,Z12,32622,mm,0,1.561,3,False,,,8.3
king_graph_196,Z12,32622,mm,1,1.531,3,False,,,8.2
king_graph_196,Z12,32622,mm,2,1.495,2,False,,,8.3
king_graph_196,Z12,32622,mm+ball,0,1.561,3,False,0,25.3,34.1
king_graph_196,Z12,32622,mm+ball,1,1.51,3,False,3,46.1,55.0
king_graph_196,Z12,32622,mm+ball,2,1.48,2,False,3,51.8,60.1
K100,P16,,mm,0,11.23,16,,,,29.8
K100,P16,,mm,1,11.51,17,,,,29.8
K100,P16,,mm,2,11.65,17,,,,60.3
K100,P16,,mm+ball,0,11.22,16,,1,30.3,60.5
K100,P16,,mm+ball,1,11.42,14,,3,31.7,60.2
K100,P16,,mm+ball,2,11.65,17,,0,0.1,60.1
turan_n162,P16,2647,mm,0,7.654,8,,,,57.3
turan_n162,P16,2647,mm,1,7.654,8,,,,57.2
turan_n162,P16,2647,mm,2,7.654,8,,,,57.4
turan_n162,P16,2647,mm+ball,0,7.654,8,,0,4.6,60.1
turan_n162,P16,2647,mm+ball,1,7.654,8,,0,3.6,60.2
turan_n162,P16,2647,mm+ball,2,7.654,8,,0,4.1,60.5
ws_n486,P16,17188,mm,0,3.595,13,,,,32.7
ws_n486,P16,17188,mm,1,3.642,12,,,,34.4
ws_n486,P16,17188,mm,2,3.477,13,,,,35.3
ws_n486,P16,17188,mm+ball,0,3.105,12,,36,25.0,60.0
ws_n486,P16,17188,mm+ball,1,3.551,12,,38,25.7,60.0
ws_n486,P16,17188,mm+ball,2,3.409,14,,34,25.1,60.0
