cell,fabric,gid,arm,seed,final_acl,max_chain,mm_skipped,ball_acc,ball_wall,questions,time
K100,Z12,,mm+ball,0,7.84,9,True,0,0.0,0,30.9
K100,Z12,,mm+ball,1,7.84,9,True,0,0.0,0,31.6
K100,Z12,,mm+ball,2,7.84,9,True,0,0.1,0,36.3
K100,Z12,,shorten+ball,0,7.78,9,True,0,0.0,0,60.3
K100,Z12,,shorten+ball,1,7.78,9,True,0,0.0,0,60.2
K100,Z12,,shorten+ball,2,7.78,9,True,0,0.0,0,60.7
K140,Z12,,mm+ball,0,10.229,11,True,0,0.1,0,63.6
K140,Z12,,mm+ball,1,10.229,11,True,0,0.1,0,64.8
K140,Z12,,mm+ball,2,10.229,11,True,0,0.2,0,65.7
K140,Z12,,shorten+ball,0,10.229,11,True,0,0.1,0,60.2
K140,Z12,,shorten+ball,1,10.229,11,True,0,0.1,0,61.0
K140,Z12,,shorten+ball,2,10.229,11,True,0,0.1,0,60.8
ER100_d10,Z12,,mm+ball,0,4.66,8,False,0,55.5,61,60.0
ER100_d10,Z12,,mm+ball,1,5.06,9,False,0,57.1,49,60.1
ER100_d10,Z12,,mm+ball,2,4.75,8,False,0,55.3,62,60.0
ER100_d10,Z12,,shorten+ball,0,5.48,10,False,0,0.0,42,60.1
ER100_d10,Z12,,shorten+ball,1,5.49,10,False,0,0.0,45,60.0
ER100_d10,Z12,,shorten+ball,2,5.48,10,False,0,0.0,42,60.1
turan_n162,Z12,2647,mm+ball,0,6.0,6,True,0,15.6,22,60.5
turan_n162,Z12,2647,mm+ball,1,6.0,6,True,0,12.5,22,60.1
turan_n162,Z12,2647,mm+ball,2,6.0,6,True,0,19.9,22,60.2
turan_n162,Z12,2647,mm+ball,3,6.0,6,True,0,13.5,22,60.1
turan_n162,Z12,2647,mm+ball,4,6.0,6,True,0,18.6,22,60.1
turan_n162,Z12,2647,mm+ball,5,6.0,6,True,0,5.2,22,60.3
turan_n162,Z12,2647,mm+ball,6,6.0,6,True,0,18.5,22,60.3
turan_n162,Z12,2647,mm+ball,7,6.0,6,True,0,14.6,22,60.2
turan_n162,Z12,2647,mm+ball,8,6.228,7,True,0,18.5,23,60.5
turan_n162,Z12,2647,mm+ball,9,6.0,6,True,0,23.5,22,61.9
turan_n162,Z12,2647,shorten+ball,0,6.0,6,True,0,0.5,22,61.4
turan_n162,Z12,2647,shorten+ball,1,7.568,12,True,0,0.1,20,64.1
turan_n162,Z12,2647,shorten+ball,2,6.0,6,True,0,0.1,22,62.3
turan_n162,Z12,2647,shorten+ball,3,6.0,6,True,0,0.2,22,63.1
turan_n162,Z12,2647,shorten+ball,4,6.0,6,True,0,0.2,22,62.0
turan_n162,Z12,2647,shorten+ball,5,7.568,12,True,0,0.1,20,61.6
turan_n162,Z12,2647,shorten+ball,6,6.0,6,True,0,0.8,22,62.9
turan_n162,Z12,2647,shorten+ball,7,7.568,12,True,0,0.2,20,61.2
turan_n162,Z12,2647,shorten+ball,8,7.568,12,True,0,0.5,20,66.8
turan_n162,Z12,2647,shorten+ball,9,6.0,6,True,0,0.1,22,62.6
spin_glass_n163,Z12,37309,mm+ball,0,11.417,13,True,0,19.5,7,58.1
spin_glass_n163,Z12,37309,mm+ball,1,11.417,13,True,0,16.0,7,50.9
spin_glass_n163,Z12,37309,mm+ball,2,11.417,13,True,0,21.1,7,58.9
spin_glass_n163,Z12,37309,shorten+ball,0,11.356,13,True,0,0.1,7,61.9
spin_glass_n163,Z12,37309,shorten+ball,1,11.356,13,True,0,1.1,7,63.5
spin_glass_n163,Z12,37309,shorten+ball,2,11.356,13,True,0,0.6,7,61.5
regular_n316,Z12,13096,mm+ball,0,2.924,7,False,1,45.2,305,60.0
regular_n316,Z12,13096,mm+ball,1,2.769,6,False,0,47.2,305,60.4
regular_n316,Z12,13096,mm+ball,2,2.861,7,False,1,49.4,309,60.4
regular_n316,Z12,13096,shorten+ball,0,4.139,12,False,0,5.0,311,60.0
regular_n316,Z12,13096,shorten+ball,1,4.089,15,False,0,0.1,313,60.1
regular_n316,Z12,13096,shorten+ball,2,4.025,13,False,0,0.1,314,60.1
ws_n486,Z12,17188,mm+ball,0,2.862,9,False,0,15.4,458,60.0
ws_n486,Z12,17188,mm+ball,1,3.218,11,False,0,27.5,475,60.0
ws_n486,Z12,17188,mm+ball,2,3.259,11,False,0,27.4,471,60.0
ws_n486,Z12,17188,mm+ball,3,2.887,10,False,0,26.3,465,60.0
ws_n486,Z12,17188,mm+ball,4,3.119,11,False,0,27.3,467,60.0
ws_n486,Z12,17188,mm+ball,5,2.829,9,False,0,26.5,458,60.0
ws_n486,Z12,17188,mm+ball,6,3.025,10,False,0,26.9,466,60.0
ws_n486,Z12,17188,mm+ball,7,3.016,10,False,0,26.8,470,60.2
ws_n486,Z12,17188,mm+ball,8,3.099,10,False,0,26.3,477,60.0
ws_n486,Z12,17188,mm+ball,9,3.354,12,False,0,27.5,471,60.0
ws_n486,Z12,17188,shorten+ball,0,4.035,26,False,0,0.1,474,60.1
ws_n486,Z12,17188,shorten+ball,1,4.296,21,False,0,0.3,472,60.3
ws_n486,Z12,17188,shorten+ball,2,4.173,20,False,0,0.2,475,60.3
ws_n486,Z12,17188,shorten+ball,3,4.049,21,False,0,0.2,475,60.2
ws_n486,Z12,17188,shorten+ball,4,4.117,21,False,0,0.2,479,60.2
ws_n486,Z12,17188,shorten+ball,5,4.305,20,False,0,0.1,474,60.1
ws_n486,Z12,17188,shorten+ball,6,4.068,23,False,0,0.2,473,60.2
ws_n486,Z12,17188,shorten+ball,7,4.165,19,False,0,0.2,477,60.2
ws_n486,Z12,17188,shorten+ball,8,4.475,26,False,0,0.1,474,60.2
ws_n486,Z12,17188,shorten+ball,9,4.093,19,False,0,0.2,466,60.2
grid_200,Z12,1590,mm+ball,0,1.09,2,False,0,28.4,128,46.9
grid_200,Z12,1590,mm+ball,1,1.145,2,False,0,36.3,134,51.2
grid_200,Z12,1590,mm+ball,2,1.13,2,False,0,34.7,147,42.3
grid_200,Z12,1590,shorten+ball,0,1.515,5,False,8,36.9,155,60.1
grid_200,Z12,1590,shorten+ball,1,1.54,5,False,8,38.9,152,60.0
grid_200,Z12,1590,shorten+ball,2,1.535,5,False,11,30.6,171,60.0
honeycomb_200,Z12,32393,mm+ball,0,1.085,2,False,0,27.4,129,32.7
honeycomb_200,Z12,32393,mm+ball,1,1.09,2,False,0,30.9,139,36.9
honeycomb_200,Z12,32393,mm+ball,2,1.095,2,False,0,32.2,139,38.9
honeycomb_200,Z12,32393,shorten+ball,0,1.37,4,False,14,49.1,149,60.0
honeycomb_200,Z12,32393,shorten+ball,1,1.39,4,False,9,48.2,166,60.0
honeycomb_200,Z12,32393,shorten+ball,2,1.385,4,False,14,44.5,173,60.0
king_graph_196,Z12,32622,mm+ball,0,1.561,3,False,0,48.3,125,60.0
king_graph_196,Z12,32622,mm+ball,1,1.531,3,False,0,50.1,141,60.0
king_graph_196,Z12,32622,mm+ball,2,1.49,2,False,1,50.7,125,60.0
king_graph_196,Z12,32622,shorten+ball,0,2.056,4,False,5,9.9,153,60.0
king_graph_196,Z12,32622,shorten+ball,1,1.964,5,False,2,3.7,136,60.0
king_graph_196,Z12,32622,shorten+ball,2,1.878,4,False,5,17.5,142,60.0
K100,P16,,mm+ball,0,11.23,16,,0,0.0,0,31.9
K100,P16,,mm+ball,1,11.51,17,,0,0.1,0,35.6
K100,P16,,mm+ball,2,11.65,17,,0,0.0,0,62.0
K100,P16,,shorten+ball,0,11.2,16,,0,0.0,0,60.8
K100,P16,,shorten+ball,1,11.44,14,,0,0.0,0,60.4
K100,P16,,shorten+ball,2,11.59,19,,0,0.1,0,60.8
turan_n162,P16,2647,mm+ball,0,7.654,8,,0,0.0,16,61.6
turan_n162,P16,2647,mm+ball,1,7.654,8,,0,0.1,16,61.3
turan_n162,P16,2647,mm+ball,2,7.654,8,,0,0.1,16,60.4
turan_n162,P16,2647,shorten+ball,0,7.654,8,,0,0.1,16,60.1
turan_n162,P16,2647,shorten+ball,1,7.654,16,,0,0.1,15,60.2
turan_n162,P16,2647,shorten+ball,2,7.654,8,,0,0.0,16,60.4
ws_n486,P16,17188,mm+ball,0,3.584,13,,1,27.2,423,60.0
ws_n486,P16,17188,mm+ball,1,3.798,14,,0,26.2,424,60.0
ws_n486,P16,17188,mm+ball,2,3.309,13,,0,26.6,417,60.0
ws_n486,P16,17188,shorten+ball,0,5.023,23,,0,0.1,452,60.1
ws_n486,P16,17188,shorten+ball,1,4.932,23,,0,0.1,450,60.1
ws_n486,P16,17188,shorten+ball,2,4.5,25,,0,0.1,433,60.1
