gid,n,e,tmpl_acl,prune_s,err
1000,2,1,1.0,0.17,
1001,3,3,1.0,0.0,
1002,4,6,1.0,0.0,
1003,5,10,1.2,0.0,
1004,6,15,1.333,0.0,
1005,7,21,1.429,0.0,
1006,8,28,1.5,0.0,
1007,9,36,2.111,0.0,
1008,10,45,2.0,0.21,
1009,12,66,2.167,0.0,
1010,14,91,2.214,0.0,
1011,16,120,2.25,0.0,
1012,18,153,2.722,0.0,
1013,20,190,2.8,0.0,
1014,22,231,2.818,0.0,
1015,24,276,2.833,0.0,
1016,26,325,3.308,0.16,
1017,28,378,3.357,0.0,
1018,30,435,3.367,0.0,
1019,33,528,3.909,0.0,
1020,36,630,3.889,0.01,
1021,39,741,3.897,0.01,
1022,42,861,4.381,0.01,
1023,45,990,4.422,0.01,
1024,48,1128,4.417,0.12,
1025,51,1275,4.922,0.01,
1026,54,1431,4.926,0.01,
1027,57,1596,5.439,0.02,
1028,60,1770,5.433,0.03,
1029,63,1953,5.444,0.03,
1030,67,2211,5.94,0.03,
1031,71,2485,5.944,0.03,
1032,75,2775,6.453,0.31,
1033,80,3160,6.45,0.04,
1034,84,3486,6.952,0.03,
1035,89,3916,7.461,0.04,
1036,95,4465,7.463,0.06,
1037,100,4950,7.96,0.06,
1038,106,5565,8.453,0.15,
1039,113,6328,8.973,0.12,
1040,120,7140,8.967,0.19,
1041,127,8001,9.472,0.14,
1042,134,8911,9.97,0.11,
1043,142,10011,10.472,0.19,
1044,151,11325,10.974,0.16,
1045,160,12720,11.475,0.32,
1046,170,14365,12.471,0.38,
1047,180,16110,12.978,0.29,
1200,4,4,1.0,0.32,
1201,6,9,1.0,0.0,
1202,6,8,1.0,0.0,
1203,8,12,1.0,0.0,
1204,8,12,1.0,0.0,
1205,6,9,1.0,0.0,
1206,9,18,1.222,0.0,
1207,9,18,1.222,0.0,
1208,12,27,1.167,0.13,
1209,12,27,1.167,0.0,
1210,8,16,1.0,0.0,
1211,12,32,1.167,0.0,
1212,12,32,1.167,0.0,
1213,16,48,1.125,0.0,
1214,16,48,1.125,0.0,
1215,10,25,1.3,0.0,
1216,38,361,2.0,0.17,
1217,15,50,1.2,0.0,
1218,20,75,1.25,0.0,
1219,20,75,1.25,0.0,
1220,12,36,1.25,0.0,
1221,18,72,1.333,0.0,
1222,18,72,1.333,0.0,
1223,60,900,2.75,0.03,
1224,24,108,1.25,0.2,
1225,14,49,1.286,0.0,
1226,21,98,1.333,0.0,
1227,21,98,1.333,0.0,
1228,28,147,1.393,0.0,
1229,28,147,1.393,0.0,
1230,16,64,1.0,0.0,
1231,102,2601,4.0,0.11,
1232,24,128,1.167,0.0,
1233,118,3481,4.492,0.19,
1234,32,192,1.25,0.0,
1235,18,81,1.444,0.0,
1236,27,162,1.667,0.0,
1237,27,162,1.667,0.0,
1238,166,6889,6.0,0.62,
1239,36,243,1.722,0.0,
1240,20,100,1.5,0.0,
1241,30,200,1.667,0.0,
1242,30,200,1.667,0.0,
1243,40,300,1.75,0.0,
1244,40,300,1.75,0.0,
1245,22,121,1.455,0.0,
1246,33,242,1.818,0.0,
1247,33,242,1.818,0.0,
1248,44,363,1.864,0.01,
1249,44,363,1.864,0.01,
1250,24,144,1.5,0.0,
1252,36,288,1.833,0.0,
1253,48,432,1.875,0.01,
1254,48,432,1.875,0.01,
1255,26,169,1.731,0.0,
1256,12,32,1.167,0.0,
1257,39,338,1.821,0.0,
1258,52,507,1.981,0.01,
1259,52,507,1.981,0.01,
1260,28,196,1.75,0.0,
1261,42,392,2.0,0.01,
1262,42,392,2.0,0.01,
1263,56,588,2.0,0.01,
1264,56,588,2.0,0.01,
1265,30,225,1.733,0.0,
1266,45,450,2.0,0.01,
1267,45,450,2.0,0.01,
1268,48,512,1.833,0.01,
1269,60,675,2.117,0.02,
1270,32,256,1.5,0.0,
1271,48,512,1.833,0.01,
1272,48,512,1.833,0.01,
1273,64,768,2.0,0.02,
1274,64,768,2.0,0.02,
1275,34,289,2.0,0.0,
1276,84,1568,3.167,0.06,
1277,51,578,2.333,0.01,
1278,68,867,2.5,0.02,
1279,68,867,2.5,0.02,
1280,38,361,2.0,0.0,
1281,117,3042,4.0,0.17,
1282,57,722,2.509,0.02,
1283,76,1083,2.632,0.04,
1284,76,1083,2.632,0.04,
1285,40,400,2.0,0.0,
1286,60,800,2.5,0.02,
1287,60,800,2.5,0.02,
1288,80,1200,2.625,0.04,
1289,80,1200,2.625,0.04,
1290,42,441,2.262,0.01,
1291,63,882,2.508,0.02,
1292,63,882,2.508,0.02,
1293,84,1323,2.75,0.05,
1294,84,1323,2.75,0.05,
1295,46,529,2.261,0.01,
1296,69,1058,2.667,0.03,
1297,69,1058,2.667,0.03,
1299,92,1587,2.88,0.07,
1300,48,576,2.0,0.01,
1301,72,1152,2.5,0.03,
1302,72,1152,2.5,0.03,
1303,96,1728,2.75,0.08,
1304,96,1728,2.75,0.08,
1305,52,676,2.5,0.01,
1306,24,108,1.25,0.0,
1307,78,1352,3.0,0.05,
1308,32,192,1.25,0.0,
1309,104,2028,3.25,0.1,
1310,56,784,2.5,0.02,
1311,84,1568,3.167,0.06,
1312,84,1568,3.167,0.06,
1313,112,2352,3.375,0.14,
1314,112,2352,3.375,0.14,
1315,60,900,2.75,0.03,
1316,64,768,2.0,0.02,
1317,90,1800,3.333,0.09,
1318,120,2700,3.5,0.16,
1319,120,2700,3.5,0.16,
1320,64,1024,2.5,0.03,
1321,92,1587,2.88,0.08,
1322,96,2048,3.167,0.09,
1323,104,2028,3.25,0.1,
