cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,plane,0,7.26,8,0.0,29.63,7,153|36|3|1|3|1|3,,199,0,3425,1324,3,7.88,428,0,0,0,1,0,1152.0,23.0,True,0,0,0,True,61.5
K100,Z12,,plane,1,7.26,8,0.02,29.52,6,153|36|3|1|3|1,,196,0,2946,1175,3,9.85,428,0,0,0,1,0,1152.0,23.0,True,0,0,0,True,66.8
K100,Z12,,plane,2,7.26,8,0.0,29.51,6,153|36|3|1|3|1,,196,0,2939,1171,3,9.6,428,0,0,0,1,0,1152.0,23.0,True,0,0,0,True,62.4
K100,Z12,,carry,0,7.26,8,0.0,29.47,1,138,,138,0,7866,139,0,2.73,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,67.2
K100,Z12,,carry,1,7.26,8,0.0,29.62,1,138,,138,0,5761,139,0,2.25,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,65.5
K100,Z12,,carry,2,7.26,8,0.0,29.62,1,138,,138,0,6428,139,0,2.32,98,0,4,0,1,0,1153.0,21.0,True,0,0,0,True,61.9
K100,Z12,,carry-tile,0,7.27,8,0.0,29.64,1,207,,207,0,4835,208,0,9.98,162,0,5,64,1,0,1153.0,21.0,True,0,0,0,True,60.4
K100,Z12,,carry-tile,1,7.27,8,0.03,29.55,1,207,,207,0,4184,208,0,14.41,162,0,5,64,1,0,1153.0,21.0,True,0,0,0,True,69.0
K100,Z12,,carry-tile,2,7.27,8,0.0,29.73,1,207,,207,0,3073,208,0,13.34,162,0,5,64,1,0,1153.0,21.0,True,0,0,0,True,64.2
K100,Z12,,carry-tile-settle,0,7.27,8,0.0,29.66,1,207,,207,0,3709,208,0,13.81,162,0,5,64,2,0,1153.0,21.0,True,0,0,0,True,65.6
K100,Z12,,carry-tile-settle,1,7.27,8,0.0,29.63,1,207,,207,0,3825,208,0,12.94,162,0,5,64,2,0,1153.0,21.0,True,0,0,0,True,71.4
K100,Z12,,carry-tile-settle,2,7.27,8,0.0,29.64,1,207,,207,0,3068,208,0,14.14,162,0,5,64,2,0,1153.0,21.0,True,0,0,0,True,69.0
K140,Z12,,plane,0,9.764,10,0.0,29.79,3,274|34|1,,308,0,1361,883,9,14.36,506,0,0,0,1,0,2314.0,34.0,True,0,0,0,True,72.9
K140,Z12,,plane,1,9.764,10,0.0,29.67,2,274|33,,306,0,1038,722,9,20.54,506,0,0,0,1,0,2314.0,34.0,True,0,0,0,True,67.8
K140,Z12,,plane,2,9.764,10,0.04,29.45,2,274|34,,307,0,1164,775,9,17.75,506,0,0,0,1,0,2314.0,34.0,True,0,0,0,True,77.9
K140,Z12,,carry,0,9.757,10,0.0,29.65,1,188,,188,0,3392,189,0,5.57,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,66.2
K140,Z12,,carry,1,9.757,10,0.0,29.66,1,188,,188,0,3560,189,0,6.22,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,62.9
K140,Z12,,carry,2,9.757,10,0.01,29.38,1,188,,188,0,3491,189,0,6.25,159,0,3,0,1,0,2312.0,31.0,True,0,0,0,True,69.7
