cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,rev_ov,rev_e,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.52,8,0.0,2.5,6,73,0,79,77,0,73,23.0,True,0,0,0,True,29.1
K100,Z12,,default,1,7.52,8,0.0,2.5,6,73,0,79,77,0,73,23.0,True,0,0,0,True,27.1
K100,Z12,,default,2,7.52,8,0.0,2.48,6,73,0,79,77,0,73,23.0,True,0,0,0,True,24.3
K100,Z12,,ins,0,7.52,8,0.0,2.28,6,73,0,79,77,0,73,23.0,True,0,0,0,True,29.1
K100,Z12,,ins,1,7.52,8,0.0,2.27,6,73,0,79,77,0,73,23.0,True,0,0,0,True,26.6
K100,Z12,,ins,2,7.52,8,0.0,2.27,6,73,0,79,77,0,73,23.0,True,0,0,0,True,24.4
K100,Z12,,insreq,0,7.52,8,0.0,2.68,6,73,0,79,77,0,73,23.0,True,0,0,0,True,29.2
K100,Z12,,insreq,1,7.52,8,0.0,2.67,6,73,0,79,77,0,73,23.0,True,0,0,0,True,27.1
K100,Z12,,insreq,2,7.52,8,0.0,2.65,6,73,0,79,77,0,73,23.0,True,0,0,0,True,24.5
K100,Z12,,inscap,0,7.52,8,0.0,2.67,6,73,0,79,77,0,73,23.0,True,0,0,0,True,30.0
K100,Z12,,inscap,1,7.52,8,0.0,2.67,6,73,0,79,77,0,73,23.0,True,0,0,0,True,27.0
K100,Z12,,inscap,2,7.52,8,0.0,2.65,6,73,0,79,77,0,73,23.0,True,0,0,0,True,25.5
K100,Z12,,reqL4,0,7.52,8,0.0,2.65,6,73,0,79,77,0,73,23.0,True,0,0,0,True,30.1
K100,Z12,,reqL4,1,7.52,8,0.0,2.68,6,73,0,79,77,0,73,23.0,True,0,0,0,True,27.3
K100,Z12,,reqL4,2,7.52,8,0.0,2.67,6,73,0,79,77,0,73,23.0,True,0,0,0,True,25.6
K140,Z12,,default,0,9.85,11,0.0,8.37,11,140,0,151,75,0,140,32.0,True,0,0,0,True,62.1
K140,Z12,,default,1,9.85,11,0.0,8.56,11,140,0,151,75,0,140,32.0,True,0,0,0,True,64.2
K140,Z12,,default,2,9.85,11,0.0,8.55,11,140,0,151,75,0,140,32.0,True,0,0,0,True,62.4
K140,Z12,,ins,0,9.85,11,0.0,8.29,11,140,0,151,75,0,140,32.0,True,0,0,0,True,60.9
K140,Z12,,ins,1,9.85,11,0.0,8.2,11,140,0,151,75,0,140,32.0,True,0,0,0,True,64.6
K140,Z12,,ins,2,9.85,11,0.0,8.19,11,140,0,151,75,0,140,32.0,True,0,0,0,True,62.1
K140,Z12,,insreq,0,9.85,11,0.0,9.6,11,140,0,151,75,0,140,32.0,True,0,0,0,True,60.3
K140,Z12,,insreq,1,9.85,11,0.0,9.68,11,140,0,151,75,0,140,32.0,True,0,0,0,True,63.5
K140,Z12,,insreq,2,9.85,11,0.0,9.58,11,140,0,151,75,0,140,32.0,True,0,0,0,True,60.3
K140,Z12,,inscap,0,9.85,11,0.0,9.66,11,140,0,151,75,0,140,32.0,True,0,0,0,True,60.8
K140,Z12,,inscap,1,9.85,11,0.0,9.84,11,140,0,151,75,0,140,32.0,True,0,0,0,True,64.2
K140,Z12,,inscap,2,9.85,11,0.0,9.68,11,140,0,151,75,0,140,32.0,True,0,0,0,True,61.9
K140,Z12,,reqL4,0,9.85,11,0.0,9.39,11,140,0,151,75,0,140,32.0,True,0,0,0,True,58.6
K140,Z12,,reqL4,1,9.85,11,0.0,9.55,11,140,0,151,75,0,140,32.0,True,0,0,0,True,60.9
K140,Z12,,reqL4,2,9.85,11,0.0,9.69,11,140,0,151,75,0,140,32.0,True,0,0,0,True,62.4
ER100_d10,Z12,,default,0,5.42,8,0.05,3.65,17,347,1,364,12,253,95,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,default,1,4.6,8,0.05,3.65,17,347,1,364,12,253,95,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,default,2,4.57,8,0.05,3.65,17,347,1,364,12,253,95,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,ins,0,5.42,8,0.05,3.54,17,347,1,364,12,253,95,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,ins,1,4.6,8,0.05,3.52,17,347,1,364,12,253,95,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,ins,2,4.57,8,0.05,3.57,17,347,1,364,12,253,95,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,insreq,0,5.42,8,0.05,4.12,17,347,1,364,12,253,95,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,insreq,1,4.6,8,0.05,4.07,17,347,1,364,12,253,95,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,insreq,2,4.57,8,0.05,4.09,17,347,1,364,12,253,95,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,inscap,0,5.44,8,0.05,4.33,16,355,0,371,9,251,105,18.0,True,0,0,3,False,60.0
ER100_d10,Z12,,inscap,1,5.44,8,0.05,4.29,16,355,0,371,9,251,105,18.0,True,0,0,3,False,60.0
ER100_d10,Z12,,inscap,2,5.44,8,0.05,4.37,16,355,0,371,9,251,105,18.0,True,0,0,3,False,60.0
