cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,width_x,width_y,pmiss,subm,time
K100,Z12,,default,0,7.84,9,0.0,0.98,0,0,0,0,0,0,23.0,True,0,,,,False,26.7
K100,Z12,,default,1,7.84,9,0.0,0.98,0,0,0,0,0,0,23.0,True,0,,,,False,27.3
K100,Z12,,default,2,7.84,9,0.0,0.99,0,0,0,0,0,0,23.0,True,0,,,,False,28.6
K100,Z12,,subm,0,7.84,9,0.0,0.97,0,0,0,0,0,0,23.0,True,0,,,,False,26.0
K100,Z12,,subm,1,7.84,9,0.0,0.97,0,0,0,0,0,0,23.0,True,0,,,,False,26.6
K100,Z12,,subm,2,7.84,9,0.0,0.98,0,0,0,0,0,0,23.0,True,0,,,,False,28.1
K100,Z12,,unb,0,7.84,9,0.0,1.01,0,0,0,0,0,0,23.0,True,0,13,13,0,False,23.2
K100,Z12,,unb,1,7.84,9,0.0,1.01,0,0,0,0,0,0,23.0,True,0,13,13,0,False,26.0
K100,Z12,,unb,2,7.84,9,0.0,1.51,0,0,0,0,0,0,23.0,True,0,13,13,0,False,28.9
K100,Z12,,both,0,7.84,9,0.0,0.99,0,0,0,0,0,0,23.0,True,0,13,13,0,False,25.4
K100,Z12,,both,1,7.84,9,0.0,1.0,0,0,0,0,0,0,23.0,True,0,13,13,0,False,25.4
K100,Z12,,both,2,7.84,9,0.0,0.99,0,0,0,0,0,0,23.0,True,0,13,13,0,False,27.7
K140,Z12,,default,0,10.229,11,0.0,2.65,0,0,0,0,0,0,31.0,True,0,,,,False,62.0
K140,Z12,,default,1,10.229,11,0.0,2.64,0,0,0,0,0,0,31.0,True,0,,,,False,63.8
K140,Z12,,default,2,10.229,11,0.0,2.6,0,0,0,0,0,0,31.0,True,0,,,,False,63.5
K140,Z12,,subm,0,10.229,11,0.0,2.62,0,0,0,0,0,0,31.0,True,0,,,,False,68.2
K140,Z12,,subm,1,10.229,11,0.0,2.64,0,0,0,0,0,0,31.0,True,0,,,,False,61.9
K140,Z12,,subm,2,10.229,11,0.0,2.6,0,0,0,0,0,0,31.0,True,0,,,,False,62.9
K140,Z12,,unb,0,10.229,11,0.0,2.62,0,0,0,0,0,0,31.0,True,0,18,18,0,False,66.1
K140,Z12,,unb,1,10.229,11,0.0,2.64,0,0,0,0,0,0,31.0,True,0,18,18,0,False,61.9
K140,Z12,,unb,2,10.229,11,0.0,2.69,0,0,0,0,0,0,31.0,True,0,18,18,0,False,70.9
K140,Z12,,both,0,10.229,11,0.0,2.68,0,0,0,0,0,0,31.0,True,0,18,18,0,False,62.2
K140,Z12,,both,1,10.229,11,0.0,2.69,0,0,0,0,0,0,31.0,True,0,18,18,0,False,67.8
K140,Z12,,both,2,10.229,11,0.0,2.65,0,0,0,0,0,0,31.0,True,0,18,18,0,False,61.7
ER100_d10,Z12,,default,0,4.66,8,0.06,0.99,3,41,1,0,0,0,17.0,False,0,,,,False,60.1
ER100_d10,Z12,,default,1,5.06,9,0.06,1.02,3,41,1,0,0,0,17.0,False,0,,,,False,60.0
ER100_d10,Z12,,default,2,4.75,8,0.06,1.0,3,41,1,0,0,0,17.0,False,0,,,,False,60.0
ER100_d10,Z12,,subm,0,4.66,8,0.06,1.01,3,41,1,0,0,0,17.0,False,0,,,,False,60.0
ER100_d10,Z12,,subm,1,5.06,9,0.06,1.04,3,41,1,0,0,0,17.0,False,0,,,,False,60.0
ER100_d10,Z12,,subm,2,4.75,8,0.06,1.01,3,41,1,0,0,0,17.0,False,0,,,,False,60.0
ER100_d10,Z12,,unb,0,4.66,8,0.07,1.11,3,41,1,0,0,0,17.0,False,0,12,11,0,False,60.0
ER100_d10,Z12,,unb,1,5.06,9,0.06,1.09,3,41,1,0,0,0,17.0,False,0,12,11,0,False,60.0
ER100_d10,Z12,,unb,2,4.75,8,0.06,1.11,3,41,1,0,0,0,17.0,False,0,12,11,0,False,60.0
ER100_d10,Z12,,both,0,4.66,8,0.06,1.12,3,41,1,0,0,0,17.0,False,0,12,11,0,False,60.0
ER100_d10,Z12,,both,1,5.06,9,0.06,1.1,3,41,1,0,0,0,17.0,False,0,12,11,0,False,60.0
ER100_d10,Z12,,both,2,4.75,8,0.06,1.09,3,41,1,0,0,0,17.0,False,0,12,11,0,False,60.0
turan_n162,Z12,2647,default,0,6.0,6,0.0,8.52,20,87,1,0,0,0,22.0,True,0,,,,False,60.3
turan_n162,Z12,2647,default,1,6.228,7,0.0,8.44,19,128,3,0,0,0,28.0,True,0,,,,False,60.2
turan_n162,Z12,2647,default,2,6.0,6,0.0,8.56,20,87,1,0,0,0,22.0,True,0,,,,False,60.5
turan_n162,Z12,2647,default,3,6.0,6,0.0,8.67,20,87,1,0,0,0,22.0,True,0,,,,False,60.4
turan_n162,Z12,2647,default,4,6.0,6,0.0,8.66,20,87,1,0,0,0,22.0,True,0,,,,False,60.1
turan_n162,Z12,2647,default,5,6.0,6,0.0,8.55,19,128,3,0,0,0,28.0,True,0,,,,False,60.1
turan_n162,Z12,2647,default,6,6.0,6,0.0,8.5,20,87,1,0,0,0,22.0,True,0,,,,False,60.4
turan_n162,Z12,2647,default,7,6.0,6,0.0,8.61,19,128,3,0,0,0,28.0,True,0,,,,False,60.1
turan_n162,Z12,2647,default,8,6.228,7,0.0,8.5,19,128,3,0,0,0,28.0,True,0,,,,False,60.1
turan_n162,Z12,2647,default,9,6.0,6,0.0,8.16,20,87,1,0,0,0,22.0,True,0,,,,False,60.5
turan_n162,Z12,2647,subm,0,6.0,6,0.0,8.16,20,87,1,0,0,0,22.0,True,0,,,,False,60.2
turan_n162,Z12,2647,subm,1,6.228,7,0.0,7.9,19,128,3,0,0,0,28.0,True,0,,,,False,60.4
turan_n162,Z12,2647,subm,2,6.0,6,0.0,7.34,20,87,1,0,0,0,22.0,True,0,,,,False,60.1
turan_n162,Z12,2647,subm,3,6.0,6,0.0,7.32,20,87,1,0,0,0,22.0,True,0,,,,False,60.1
turan_n162,Z12,2647,subm,4,6.0,6,0.0,7.26,20,87,1,0,0,0,22.0,True,0,,,,False,60.3
turan_n162,Z12,2647,subm,5,6.0,6,0.0,7.39,19,128,3,0,0,0,28.0,True,0,,,,False,60.4
turan_n162,Z12,2647,subm,6,6.0,6,0.0,7.27,20,87,1,0,0,0,22.0,True,0,,,,False,60.0
turan_n162,Z12,2647,subm,7,6.0,6,0.0,7.3,19,128,3,0,0,0,28.0,True,0,,,,False,60.3
turan_n162,Z12,2647,subm,8,6.228,7,0.0,7.37,19,128,3,0,0,0,28.0,True,0,,,,False,60.2
turan_n162,Z12,2647,subm,9,6.0,6,0.0,7.41,20,87,1,0,0,0,22.0,True,0,,,,False,60.1
turan_n162,Z12,2647,unb,0,6.0,6,0.0,7.69,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.6
turan_n162,Z12,2647,unb,1,6.0,6,0.0,7.66,19,128,3,0,0,0,28.0,False,0,12,18,0,False,60.8
turan_n162,Z12,2647,unb,2,6.0,6,0.0,7.63,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.0
turan_n162,Z12,2647,unb,3,6.0,6,0.0,7.51,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.3
turan_n162,Z12,2647,unb,4,6.0,6,0.0,8.08,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.5
turan_n162,Z12,2647,unb,5,6.0,6,0.0,8.31,19,128,3,0,0,0,28.0,False,0,12,18,0,False,60.1
turan_n162,Z12,2647,unb,6,6.0,6,0.0,8.1,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.3
turan_n162,Z12,2647,unb,7,6.0,6,0.0,8.24,19,128,3,0,0,0,28.0,False,0,12,18,0,False,60.2
turan_n162,Z12,2647,unb,8,6.0,6,0.0,8.2,19,128,3,0,0,0,28.0,False,0,12,18,0,False,60.1
turan_n162,Z12,2647,unb,9,6.0,6,0.0,8.21,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.1
turan_n162,Z12,2647,both,0,6.0,6,0.0,8.21,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.3
turan_n162,Z12,2647,both,1,6.0,6,0.0,8.1,19,128,3,0,0,0,28.0,False,0,12,18,0,False,60.5
turan_n162,Z12,2647,both,2,6.0,6,0.0,8.24,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.6
turan_n162,Z12,2647,both,3,6.0,6,0.0,8.26,20,87,1,0,0,0,24.0,True,0,12,12,0,False,61.2
turan_n162,Z12,2647,both,4,6.0,6,0.0,8.12,20,87,1,0,0,0,24.0,True,0,12,12,0,False,61.1
turan_n162,Z12,2647,both,5,6.0,6,0.0,8.54,19,128,3,0,0,0,28.0,False,0,12,18,0,False,60.7
turan_n162,Z12,2647,both,6,6.0,6,0.0,8.51,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.3
turan_n162,Z12,2647,both,7,6.0,6,0.0,8.34,19,128,3,0,0,0,28.0,False,0,12,18,0,False,60.4
turan_n162,Z12,2647,both,8,6.0,6,0.0,8.82,19,128,3,0,0,0,28.0,False,0,12,18,0,False,60.6
turan_n162,Z12,2647,both,9,6.0,6,0.0,8.37,20,87,1,0,0,0,24.0,True,0,12,12,0,False,60.2
spin_glass_n163,Z12,37309,default,0,11.417,13,0.77,9.78,9,133,1,0,0,0,37.0,True,0,,,,False,47.4
