cell,fabric,gid,arm,seed,final_acl,max_chain,cl_acc,cl_rev,wall
K100,Z12,,tau,0,7.79,10,0,0,15.3
K100,Z12,,tau,1,7.79,10,0,0,17.5
K100,Z12,,tau,2,7.79,10,0,0,18.5
K100,Z12,,units,0,7.79,10,0,0,15.2
K100,Z12,,units,1,7.79,10,0,0,17.4
K100,Z12,,units,2,7.79,10,0,0,18.5
K140,Z12,,tau,0,10.521,12,0,0,51.4
K140,Z12,,tau,1,10.521,12,0,0,53.0
K140,Z12,,tau,2,10.521,12,0,0,55.1
K140,Z12,,units,0,10.521,12,0,0,51.0
K140,Z12,,units,1,10.521,12,0,0,52.7
K140,Z12,,units,2,10.521,12,0,0,53.3
ER100_d10,Z12,,tau,0,4.88,9,0,0,4.9
ER100_d10,Z12,,tau,1,4.98,9,0,0,3.1
ER100_d10,Z12,,tau,2,4.69,8,0,0,6.6
ER100_d10,Z12,,units,0,4.58,8,3,15,4.0
ER100_d10,Z12,,units,1,4.67,9,3,15,5.5
ER100_d10,Z12,,units,2,4.69,9,3,15,4.1
turan_n162,Z12,2647,tau,0,6.698,7,1,1,63.3
turan_n162,Z12,2647,tau,1,6.228,7,1,1,26.4
turan_n162,Z12,2647,tau,2,6.5,7,1,1,41.9
turan_n162,Z12,2647,tau,3,6.691,7,1,1,60.8
turan_n162,Z12,2647,tau,4,6.796,8,1,1,38.7
turan_n162,Z12,2647,tau,5,6.228,7,1,1,26.6
turan_n162,Z12,2647,tau,6,6.698,7,1,1,60.4
turan_n162,Z12,2647,tau,7,6.228,7,1,1,24.9
turan_n162,Z12,2647,tau,8,6.0,6,1,1,26.1
turan_n162,Z12,2647,tau,9,6.5,7,1,1,41.8
turan_n162,Z12,2647,units,0,6.698,7,1,1,60.6
turan_n162,Z12,2647,units,1,6.228,7,1,1,26.5
turan_n162,Z12,2647,units,2,6.5,7,1,1,42.2
turan_n162,Z12,2647,units,3,6.691,7,1,1,63.1
turan_n162,Z12,2647,units,4,6.796,8,1,1,38.0
turan_n162,Z12,2647,units,5,6.228,7,1,1,26.5
turan_n162,Z12,2647,units,6,6.698,7,1,1,61.8
turan_n162,Z12,2647,units,7,6.228,7,1,1,25.2
turan_n162,Z12,2647,units,8,6.0,6,1,1,26.0
turan_n162,Z12,2647,units,9,6.5,7,1,1,40.7
spin_glass_n163,Z12,37309,tau,0,13.282,23,0,0,28.3
spin_glass_n163,Z12,37309,tau,1,11.712,20,0,0,16.4
spin_glass_n163,Z12,37309,tau,2,11.706,24,0,0,14.8
spin_glass_n163,Z12,37309,units,0,11.988,16,5,3,36.9
spin_glass_n163,Z12,37309,units,1,11.914,17,5,3,19.6
spin_glass_n163,Z12,37309,units,2,12.08,18,5,3,19.5
regular_n316,Z12,13096,tau,0,2.63,6,0,0,4.0
regular_n316,Z12,13096,tau,1,2.845,7,0,0,3.5
regular_n316,Z12,13096,tau,2,2.968,7,0,0,3.5
regular_n316,Z12,13096,units,0,2.674,6,24,34,5.9
regular_n316,Z12,13096,units,1,2.788,7,24,34,5.4
regular_n316,Z12,13096,units,2,2.896,7,24,34,5.2
ws_n486,Z12,17188,tau,0,2.512,9,14,26,11.2
ws_n486,Z12,17188,tau,1,2.714,9,14,26,11.2
ws_n486,Z12,17188,tau,2,2.63,9,14,26,11.1
ws_n486,Z12,17188,units,0,2.49,9,30,167,18.4
ws_n486,Z12,17188,units,1,2.605,9,30,167,18.0
ws_n486,Z12,17188,units,2,2.521,9,30,167,17.9
K100,P16,,tau,0,12.68,20,0,0,24.8
K100,P16,,tau,1,13.27,20,0,0,61.6
K100,P16,,tau,2,13.61,21,0,0,21.8
K100,P16,,units,0,12.68,20,0,0,25.3
K100,P16,,units,1,13.27,20,0,0,60.9
K100,P16,,units,2,13.61,21,0,0,22.3
turan_n162,P16,2647,tau,0,8.5,9,1,0,44.5
turan_n162,P16,2647,tau,1,8.5,9,1,0,44.0
turan_n162,P16,2647,tau,2,8.593,9,1,0,61.5
turan_n162,P16,2647,units,0,8.5,9,1,0,41.6
turan_n162,P16,2647,units,1,8.5,9,1,0,42.8
