cell,arm,seed,final_acl,skips,deficit,time
K100,base,0,8.13,1,0,28.2
K100,base,1,8.12,1,0,33.2
K100,base,2,8.12,1,0,28.9
K100,vc,0,8.05,0,1,13.5
K100,vc,1,8.77,0,1,60.6
K100,vc,2,8.05,0,1,12.2
K100,vc_c,0,8.05,0,1,13.5
K100,vc_c,1,8.77,0,1,60.3
K100,vc_c,2,8.05,0,1,12.4
K140,base,0,10.929,0,4,49.0
K140,base,1,10.793,0,4,62.1
K140,base,2,11.014,0,4,40.9
K140,vc,0,10.493,1,0,63.8
K140,vc,1,10.486,1,0,61.4
K140,vc,2,10.493,1,0,66.2
K140,vc_c,0,10.493,1,0,67.1
K140,vc_c,1,10.486,1,0,60.3
K140,vc_c,2,10.493,1,0,61.1
ER100_d10,base,0,4.97,0,367,2.7
ER100_d10,base,1,4.48,0,367,6.1
ER100_d10,base,2,4.83,0,367,3.3
ER100_d10,vc,0,4.67,0,355,4.3
ER100_d10,vc,1,5.18,0,355,4.1
ER100_d10,vc,2,4.53,0,355,5.3
ER100_d10,vc_c,0,4.95,0,389,2.8
ER100_d10,vc_c,1,5.51,0,389,2.7
ER100_d10,vc_c,2,4.58,0,389,3.7
turan_n162,base,0,9.13,0,15,15.3
turan_n162,base,1,9.062,0,15,15.3
turan_n162,base,2,8.988,0,15,61.0
turan_n162,vc,0,7.407,1,0,33.9
turan_n162,vc,1,9.463,0,41,60.5
turan_n162,vc,2,7.5,1,0,34.2
turan_n162,vc_c,0,7.0,1,0,28.7
turan_n162,vc_c,1,10.42,1,0,49.5
turan_n162,vc_c,2,7.0,1,0,29.1
spin_glass_n163,base,0,12.73,0,1,14.0
spin_glass_n163,base,1,13.049,0,1,16.7
spin_glass_n163,base,2,12.853,0,1,15.4
spin_glass_n163,vc,0,12.337,0,7,18.1
spin_glass_n163,vc,1,12.712,0,7,25.8
spin_glass_n163,vc,2,12.221,0,7,15.2
spin_glass_n163,vc_c,0,11.65,0,1,17.9
spin_glass_n163,vc_c,1,11.638,0,1,18.6
spin_glass_n163,vc_c,2,11.644,0,1,18.0
regular_n316,base,0,2.759,0,95,5.8
regular_n316,base,1,2.674,0,95,5.7
regular_n316,base,2,3.136,0,95,5.1
regular_n316,vc,0,2.728,0,132,4.2
regular_n316,vc,1,2.956,0,132,3.9
regular_n316,vc,2,2.658,0,132,4.3
regular_n316,vc_c,0,2.763,0,127,6.3
regular_n316,vc_c,1,2.813,0,127,6.7
regular_n316,vc_c,2,2.924,0,127,6.1
ws_n486,base,0,3.019,0,762,5.6
ws_n486,base,1,2.792,0,762,6.8
ws_n486,base,2,3.545,0,762,4.7
ws_n486,vc,0,2.829,0,495,10.2
ws_n486,vc,1,2.7,0,495,10.1
ws_n486,vc,2,2.998,0,495,9.8
ws_n486,vc_c,0,3.706,0,752,3.0
ws_n486,vc_c,1,3.216,0,752,2.9
ws_n486,vc_c,2,3.185,0,752,3.7
