cell,arm,seed,final_acl,skips,deficit,time
K100,base,0,8.13,1,0,26.9
K100,base,1,8.12,1,0,33.1
K100,base,2,8.12,1,0,29.1
K100,vc,0,9.93,0,6,10.1
K100,vc,1,9.32,0,6,9.6
K100,vc,2,9.61,0,6,16.1
K140,base,0,10.929,0,4,53.3
K140,base,1,10.793,0,4,61.6
K140,base,2,11.014,0,4,40.1
K140,vc,0,10.879,1,0,36.4
K140,vc,1,10.871,1,0,41.1
K140,vc,2,10.864,1,0,44.6
ER100_d10,base,0,4.97,0,367,2.7
ER100_d10,base,1,4.48,0,367,6.2
ER100_d10,base,2,4.83,0,367,3.3
ER100_d10,vc,0,4.67,0,355,4.3
ER100_d10,vc,1,5.18,0,355,4.1
ER100_d10,vc,2,4.53,0,355,5.3
turan_n162,base,0,9.13,0,15,15.5
turan_n162,base,1,9.062,0,15,15.1
turan_n162,base,2,8.988,0,15,60.2
turan_n162,vc,0,7.407,1,0,34.9
turan_n162,vc,1,9.463,0,41,60.6
turan_n162,vc,2,7.5,1,0,33.6
spin_glass_n163,base,0,12.73,0,1,14.1
spin_glass_n163,base,1,13.049,0,1,17.0
spin_glass_n163,base,2,12.853,0,1,15.3
spin_glass_n163,vc,0,12.337,0,7,17.6
spin_glass_n163,vc,1,12.712,0,7,26.0
spin_glass_n163,vc,2,12.221,0,7,15.2
regular_n316,base,0,2.759,0,95,5.6
regular_n316,base,1,2.674,0,95,5.7
regular_n316,base,2,3.136,0,95,5.2
regular_n316,vc,0,2.728,0,132,4.1
regular_n316,vc,1,2.956,0,132,3.9
regular_n316,vc,2,2.658,0,132,4.5
ws_n486,base,0,3.019,0,762,5.6
ws_n486,base,1,2.792,0,762,6.8
ws_n486,base,2,3.545,0,762,4.7
ws_n486,vc,0,2.829,0,495,10.2
ws_n486,vc,1,2.7,0,495,9.9
ws_n486,vc,2,2.998,0,495,9.8
