cell,arm,seed,final_acl,skips,deficit,time
K100,base,0,8.13,1,0,28.8
K100,base,1,8.12,1,0,33.4
K100,base,2,8.12,1,0,29.2
K100,vc,0,7.79,1,0,14.6
K100,vc,1,7.79,1,0,15.7
K100,vc,2,7.79,1,0,17.2
K140,base,0,10.929,0,4,53.0
K140,base,1,10.793,0,4,60.6
K140,base,2,11.014,0,4,40.7
K140,vc,0,10.521,1,0,45.9
K140,vc,1,10.521,1,0,46.9
K140,vc,2,10.521,1,0,45.8
ER100_d10,base,0,4.97,0,367,2.7
ER100_d10,base,1,4.48,0,367,6.1
ER100_d10,base,2,4.83,0,367,3.3
ER100_d10,vc,0,4.66,1,0,4.8
ER100_d10,vc,1,4.74,1,0,4.2
ER100_d10,vc,2,4.74,1,0,2.9
turan_n162,base,0,9.13,0,15,15.5
turan_n162,base,1,9.062,0,15,15.0
turan_n162,base,2,8.988,0,15,61.0
turan_n162,vc,0,10.395,1,0,49.8
turan_n162,vc,1,7.377,1,0,28.0
turan_n162,vc,2,9.796,1,0,25.2
spin_glass_n163,base,0,12.73,0,1,14.1
spin_glass_n163,base,1,13.049,0,1,16.6
spin_glass_n163,base,2,12.853,0,1,15.1
spin_glass_n163,vc,0,12.939,1,0,18.7
spin_glass_n163,vc,1,12.564,1,0,19.6
spin_glass_n163,vc,2,12.834,1,0,20.7
regular_n316,base,0,2.759,0,95,5.6
regular_n316,base,1,2.674,0,95,5.7
regular_n316,base,2,3.136,0,95,5.1
regular_n316,vc,0,3.62,0,25,6.6
regular_n316,vc,1,3.462,0,26,8.2
regular_n316,vc,2,3.301,0,27,7.7
ws_n486,base,0,3.019,0,762,5.7
ws_n486,base,1,2.792,0,762,7.1
ws_n486,base,2,3.545,0,762,4.7
ws_n486,vc,0,3.331,0,182,16.4
ws_n486,vc,1,3.177,0,179,18.7
ws_n486,vc,2,3.138,0,177,17.6
