cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,wave_ct,wave_q,wave_stop,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,plane,0,7.26,8,0.0,29.74,2,138|0,,138,0,10723,139,0,1.61,98,0,4,0,0,0,False,0,1153.0,21.0,True,0,0,0,True,64.4
K100,Z12,,plane,1,7.26,8,0.0,29.75,2,138|0,,138,0,10534,139,0,1.79,98,0,4,0,0,0,False,0,1153.0,21.0,True,0,0,0,True,63.6
K100,Z12,,plane,2,7.26,8,0.0,29.7,2,138|0,,138,0,10613,139,0,1.47,98,0,4,0,0,0,False,0,1153.0,21.0,True,0,0,0,True,61.0
K100,Z12,,wave,0,7.26,8,0.0,29.76,1,138,,138,0,9990,139,0,1.61,98,0,4,0,1,10128,False,0,1153.0,21.0,True,0,0,0,True,63.9
K100,Z12,,wave,1,7.26,8,0.0,29.73,2,138|0,,138,0,10540,139,0,1.58,98,0,4,0,2,10678,False,0,1153.0,21.0,True,0,0,0,True,62.5
K100,Z12,,wave,2,7.26,8,0.0,29.73,2,138|0,,138,0,10810,139,0,1.52,98,0,4,0,2,10948,False,0,1153.0,21.0,True,0,0,0,True,61.3
K140,Z12,,plane,0,9.757,10,0.0,29.76,1,188,,188,0,6216,189,0,3.5,159,0,3,0,0,0,False,0,2312.0,31.0,True,0,0,0,True,68.4
K140,Z12,,plane,1,9.757,10,0.01,29.73,1,188,,188,0,6127,189,0,4.37,159,0,3,0,0,0,False,0,2312.0,31.0,True,0,0,0,True,67.3
K140,Z12,,plane,2,9.757,10,0.0,29.73,1,188,,188,0,6145,189,0,3.41,159,0,3,0,0,0,False,0,2312.0,31.0,True,0,0,0,True,66.5
K140,Z12,,wave,0,9.757,10,0.0,29.75,1,188,,188,0,6387,189,0,3.34,159,0,3,0,1,6575,False,0,2312.0,31.0,True,0,0,0,True,67.1
K140,Z12,,wave,1,9.757,10,0.0,29.72,1,188,,188,0,6319,189,0,3.55,159,0,3,0,1,6507,False,0,2312.0,31.0,True,0,0,0,True,67.6
K140,Z12,,wave,2,9.757,10,0.0,29.73,1,188,,188,0,6122,189,0,3.48,159,0,3,0,1,6310,False,0,2312.0,31.0,True,0,0,0,True,65.9
ER100_d10,Z12,,plane,0,4.56,8,0.11,13.42,6,375|103|39|71|4|0,,592,0,8708,593,0,5.07,474,0,202,0,0,0,False,0,651.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane,1,4.43,8,0.14,13.8,6,375|103|39|71|4|0,,592,0,8708,593,0,5.24,474,0,202,0,0,0,False,0,651.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane,2,4.27,7,0.13,13.71,6,375|103|39|71|4|0,,592,0,8708,593,0,5.26,474,0,202,0,0,0,False,0,651.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,wave,0,4.56,8,0.14,13.58,6,375|103|39|71|4|0,,592,0,7261,593,0,5.69,474,0,202,0,6,7853,True,0,651.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,wave,1,4.43,8,0.07,13.03,6,375|103|39|71|4|0,,592,0,7261,593,0,5.14,474,0,202,0,6,7853,True,0,651.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,wave,2,4.27,7,0.11,12.96,6,375|103|39|71|4|0,,592,0,7261,593,0,5.17,474,0,202,0,6,7853,True,0,651.0,17.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,plane,0,9.253,12,0.0,29.6,1,203,,203,0,6968,204,0,4.45,204,0,0,0,0,0,False,0,2598.0,28.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,plane,1,9.593,13,0.0,29.44,1,190,,190,0,7004,191,0,3.33,183,0,0,0,0,0,False,0,2700.0,32.0,True,0,0,0,True,62.6
turan_n162,Z12,2647,plane,2,9.253,12,0.0,29.36,1,203,,203,0,7321,204,0,4.42,204,0,0,0,0,0,False,0,2598.0,28.0,True,0,0,0,True,60.2
turan_n162,Z12,2647,plane,3,9.253,12,0.0,29.56,1,203,,203,0,7349,204,0,4.48,204,0,0,0,0,0,False,0,2598.0,28.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,plane,4,9.222,12,0.0,29.41,1,203,,203,0,7350,204,0,4.36,204,0,0,0,0,0,False,0,2598.0,28.0,True,0,0,0,True,62.9
turan_n162,Z12,2647,plane,5,9.611,13,0.0,29.58,1,190,,190,0,7028,191,0,3.5,183,0,0,0,0,0,False,0,2700.0,32.0,True,0,0,0,True,62.9
turan_n162,Z12,2647,plane,6,9.253,12,0.0,29.94,1,203,,203,0,6944,204,0,4.02,204,0,0,0,0,0,False,0,2598.0,28.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,plane,7,9.611,13,0.0,29.93,1,190,,190,0,6540,191,0,2.96,183,0,0,0,0,0,False,0,2700.0,32.0,True,0,0,0,True,63.3
turan_n162,Z12,2647,plane,8,9.611,13,0.0,29.94,1,190,,190,0,6399,191,0,2.97,183,0,0,0,0,0,False,0,2700.0,32.0,True,0,0,0,True,74.1
turan_n162,Z12,2647,plane,9,9.253,12,0.0,29.94,1,203,,203,0,6905,204,0,4.19,204,0,0,0,0,0,False,0,2598.0,28.0,True,0,0,0,True,60.1
