cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,int_acc,int_dec,int_noop,readouts,bm_wall,bm_ro,hier_acc,pair_acc,widen_asked,widen_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,plane,0,7.26,8,0.0,29.72,2,138|0,138,0,10707,139,1.52,98,0,4,0,0,0,1153.0,21.0,True,0,0,0,True,62.7
K100,Z12,,plane,1,7.26,8,0.0,29.73,2,138|0,138,0,10482,139,1.61,98,0,4,0,0,0,1153.0,21.0,True,0,0,0,True,60.8
K100,Z12,,plane,2,7.26,8,0.0,29.74,2,138|0,138,0,10573,139,1.59,98,0,4,0,0,0,1153.0,21.0,True,0,0,0,True,63.2
K100,Z12,,inner,0,7.26,8,0.01,29.69,2,138|0,138,0,10485,139,1.68,98,0,4,0,0,0,1153.0,21.0,True,0,0,0,True,62.9
K100,Z12,,inner,1,7.26,8,0.0,29.74,2,138|0,138,0,10573,139,1.49,98,0,4,0,0,0,1153.0,21.0,True,0,0,0,True,61.3
K100,Z12,,inner,2,7.26,8,0.0,29.76,2,138|0,138,0,10637,139,1.65,98,0,4,0,0,0,1153.0,21.0,True,0,0,0,True,63.7
K100,Z12,,widen,0,7.27,8,0.0,29.63,2,123|0,123,0,10591,124,2.45,122,0,5,41,30,0,1154.0,20.0,True,0,0,0,True,60.3
K100,Z12,,widen,1,7.27,8,0.0,29.63,2,123|0,123,0,10400,124,2.45,122,0,5,41,30,0,1154.0,20.0,True,0,0,0,True,64.0
K100,Z12,,widen,2,7.27,8,0.0,29.67,1,123,123,0,10230,124,2.63,122,0,5,41,30,0,1154.0,20.0,True,0,0,0,True,62.0
K140,Z12,,plane,0,9.757,10,0.0,29.72,1,188,188,0,6363,189,3.47,159,0,3,0,0,0,2312.0,31.0,True,0,0,0,True,65.0
K140,Z12,,plane,1,9.757,10,0.01,29.65,1,188,188,0,6488,189,3.25,159,0,3,0,0,0,2312.0,31.0,True,0,0,0,True,60.3
K140,Z12,,plane,2,9.757,10,0.0,29.75,1,188,188,0,6390,189,3.47,159,0,3,0,0,0,2312.0,31.0,True,0,0,0,True,60.9
K140,Z12,,inner,0,9.757,10,0.0,29.67,1,188,188,0,6374,189,3.42,159,0,3,0,0,0,2312.0,31.0,True,0,0,0,True,61.6
K140,Z12,,inner,1,9.757,10,0.0,29.73,1,188,188,0,6465,189,3.35,159,0,3,0,0,0,2312.0,31.0,True,0,0,0,True,65.1
K140,Z12,,inner,2,9.757,10,0.0,29.7,1,188,188,0,6454,189,3.21,159,0,3,0,0,0,2312.0,31.0,True,0,0,0,True,61.7
K140,Z12,,widen,0,9.793,11,0.0,29.72,1,171,171,0,6423,172,3.73,154,0,1,60,46,0,2316.0,25.0,True,0,0,0,True,61.5
K140,Z12,,widen,1,9.793,11,0.0,29.73,1,171,171,0,6468,172,3.82,154,0,1,60,46,0,2316.0,25.0,True,0,0,0,True,64.5
K140,Z12,,widen,2,9.793,11,0.02,29.46,1,171,171,0,6407,172,3.7,154,0,1,60,46,0,2316.0,25.0,True,0,0,0,True,60.8
ER100_d10,Z12,,plane,0,4.56,8,0.05,14.1,6,375|103|39|71|4|0,592,0,8708,593,5.3,474,0,202,0,0,0,651.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane,1,4.43,8,0.42,13.54,6,375|103|39|71|4|0,592,0,8708,593,5.02,474,0,202,0,0,0,651.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane,2,4.27,7,0.07,13.62,6,375|103|39|71|4|0,592,0,8708,593,5.07,474,0,202,0,0,0,651.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane,3,4.95,8,0.18,13.56,6,375|103|39|71|4|0,592,0,8708,593,5.09,474,0,202,0,0,0,651.0,17.0,True,0,0,0,True,60.0
