cell,arm,seed,final_acl,rounds,time,diag
wsc_c3_sz32_n96,default,0,6.25,1,8.4,"{'assigned': 96, 'extent_mean': 4.585, 'extent_max': 13.155}"
wsc_c3_sz32_n96,rounds,0,5.146,10,24.5,"{'assigned': 96, 'extent_mean': 2.743, 'extent_max': 8.015}"
wsc_c3_sz32_n96,mm,0,4.604,,5.5,
wsc_c3_sz32_n96,default,1,5.99,1,14.0,"{'assigned': 96, 'extent_mean': 4.807, 'extent_max': 18.86}"
wsc_c3_sz32_n96,rounds,1,5.448,10,28.7,"{'assigned': 96, 'extent_mean': 2.545, 'extent_max': 9.281}"
wsc_c3_sz32_n96,mm,1,4.615,,4.9,
wsc_c3_sz32_n96,default,2,6.188,1,7.7,"{'assigned': 96, 'extent_mean': 5.282, 'extent_max': 16.217}"
wsc_c3_sz32_n96,rounds,2,4.948,10,23.3,"{'assigned': 96, 'extent_mean': 2.684, 'extent_max': 7.562}"
wsc_c3_sz32_n96,mm,2,4.812,,3.6,
wsc_c5_sz32_n160,default,0,5.662,1,11.0,"{'assigned': 160, 'extent_mean': 2.854, 'extent_max': 13.471}"
wsc_c5_sz32_n160,rounds,0,5.469,5,31.2,"{'assigned': 160, 'extent_mean': 2.869, 'extent_max': 7.0}"
wsc_c5_sz32_n160,mm,0,4.862,,7.3,
wsc_c5_sz32_n160,default,1,5.631,1,11.3,"{'assigned': 160, 'extent_mean': 3.774, 'extent_max': 8.864}"
wsc_c5_sz32_n160,rounds,1,5.2,5,31.3,"{'assigned': 160, 'extent_mean': 2.538, 'extent_max': 6.0}"
wsc_c5_sz32_n160,mm,1,5.075,,5.7,
wsc_c5_sz32_n160,default,2,5.744,1,8.7,"{'assigned': 160, 'extent_mean': 3.155, 'extent_max': 9.889}"
wsc_c5_sz32_n160,rounds,2,5.75,5,29.1,"{'assigned': 160, 'extent_mean': 3.214, 'extent_max': 7.0}"
wsc_c5_sz32_n160,mm,2,5.031,,7.7,
wsc_c8_sz32_n256,default,0,5.43,1,17.4,"{'assigned': 256, 'extent_mean': 2.872, 'extent_max': 9.051}"
wsc_c8_sz32_n256,rounds,0,5.43,2,29.6,"{'assigned': 256, 'extent_mean': 2.502, 'extent_max': 5.0}"
wsc_c8_sz32_n256,mm,0,4.852,,12.3,
wsc_c8_sz32_n256,default,1,5.449,1,16.3,"{'assigned': 256, 'extent_mean': 2.929, 'extent_max': 8.473}"
wsc_c8_sz32_n256,rounds,1,5.449,2,33.2,"{'assigned': 256, 'extent_mean': 2.012, 'extent_max': 9.0}"
wsc_c8_sz32_n256,mm,1,5.191,,17.0,
wsc_c8_sz32_n256,default,2,5.152,1,28.3,"{'assigned': 256, 'extent_mean': 2.934, 'extent_max': 6.833}"
wsc_c8_sz32_n256,rounds,2,5.152,2,39.2,"{'assigned': 256, 'extent_mean': 2.362, 'extent_max': 7.0}"
wsc_c8_sz32_n256,mm,2,5.41,,20.8,
wsc_c3_sz64_n192,default,0,10.26,1,43.5,"{'assigned': 192, 'extent_mean': 5.623, 'extent_max': 10.627}"
wsc_c3_sz64_n192,rounds,0,9.641,2,55.3,"{'assigned': 192, 'extent_mean': 6.202, 'extent_max': 11.62}"
wsc_c3_sz64_n192,mm,0,9.229,,42.8,
wsc_c3_sz64_n192,default,1,9.589,1,60.6,"{'assigned': 192, 'extent_mean': 5.253, 'extent_max': 13.157}"
wsc_c3_sz64_n192,rounds,1,9.833,2,61.1,"{'assigned': 192, 'extent_mean': 4.636, 'extent_max': 12.0}"
wsc_c3_sz64_n192,mm,1,9.177,,58.3,
wsc_c3_sz64_n192,default,2,9.526,1,41.0,"{'assigned': 192, 'extent_mean': 5.43, 'extent_max': 13.039}"
wsc_c3_sz64_n192,rounds,2,9.526,2,60.5,"{'assigned': 192, 'extent_mean': 4.653, 'extent_max': 11.0}"
wsc_c3_sz64_n192,mm,2,11.25,,26.9,
